,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,667.93,905.28,563.07,330.53,-,340.29,-
1,Short-Term Investments,-,340.24,-,424.29,-,327.63,-
2,Trading Asset Securities,970.95,805.92,1034,181.94,-,21.05,-
3,Cash & Short-Term Investments,1639,2051,1598,936.76,-,688.97,449.17
4,Cash Growth,-,197.75%,255.66%,-,-,-,-
5,Accounts Receivable,356.95,355.63,361.72,424.8,-,381.8,-
6,Other Receivables,16.18,12.57,11.64,10.93,-,12.25,-
7,Receivables,373.13,368.2,373.36,435.72,-,394.06,-
8,Inventory,1433,1309,1195,1114,-,1182,-
9,Prepaid Expenses,-,0.9,-,-,-,0.47,-
10,Other Current Assets,567.85,147.84,628.75,118.81,-,103.84,-
11,Total Current Assets,4013,3878,3794,2605,-,2370,-
12,"Property, Plant & Equipment",217.37,142.26,111.6,74.78,-,63.09,-
13,Long-Term Investments,1025,973.81,-,681.31,-,532.22,-
14,Other Intangible Assets,103.64,104.19,102.29,14.97,-,15.24,-
15,Long-Term Deferred Tax Assets,16.08,15.73,13.94,11.08,-,10.45,-
16,Long-Term Deferred Charges,-,0.05,-,0.05,-,0.69,-
17,Other Long-Term Assets,-,0.79,692.38,89.3,-,0.78,-
18,Total Assets,5375,5115,4715,3477,-,2992,-
19,Accounts Payable,469.66,352.42,231.63,261.08,-,252.35,-
20,Accrued Expenses,28.51,26.24,16.6,64.77,-,39.44,-
21,Short-Term Debt,7.32,-,-,-,-,-,-
22,Current Portion of Leases,4.57,4.05,3.9,2.61,-,-,-
23,Current Income Taxes Payable,25.83,10.81,21.21,18.07,-,1.37,-
24,Current Unearned Revenue,2444,2320,2078,1901,-,1619,-
25,Other Current Liabilities,32.05,107.9,58.86,68.6,-,74.63,-
26,Total Current Liabilities,3012,2822,2410,2316,-,1987,-
27,Long-Term Leases,7.53,8.61,5.82,1.49,-,0.73,-
28,Long-Term Unearned Revenue,9.45,9.5,8.54,0.09,-,0.1,-
29,Long-Term Deferred Tax Liabilities,4.72,5.01,4.48,3.06,-,2.67,-
30,Other Long-Term Liabilities,4.6,4.61,4.21,5.59,-,5.06,-
31,Total Liabilities,3038,2850,2433,2326,-,1996,-
32,Common Stock,66.67,66.67,66.67,50,-,50,-
33,Additional Paid-In Capital,1408,1408,1408,320.4,-,320.4,-
34,Retained Earnings,863.57,792.81,809.05,780.87,-,626.49,-
35,Comprehensive Income & Other,-1.1,-2.39,-2.13,-0.78,-,-0.53,-
36,Shareholders' Equity,2337,2265,2282,1150,-,996.35,860.55
37,Total Liabilities & Equity,5375,5115,4715,3477,-,2992,-
38,Total Debt,19.42,12.66,9.72,4.09,-,0.73,1.85
39,Net Cash (Debt),1619,2039,1588,932.67,-,688.24,447.32
40,Net Cash Growth,-,196.23%,254.96%,-,-,-,-
41,Net Cash Per Share,24.29,30.58,25.98,18.65,-,13.77,8.95
42,Filing Date Shares Outstanding,66.67,66.67,66.67,66.67,50,50,50
43,Total Common Shares Outstanding,66.67,66.67,66.67,50,50,50,50
44,Working Capital,1001,1056,1384,289.22,-,382.44,-
45,Book Value Per Share,35.06,33.97,34.22,23.01,-,19.93,17.21
46,Tangible Book Value,2234,2161,2179,1136,-,981.11,845.19
47,Tangible Book Value Per Share,33.50,32.41,32.69,22.71,-,19.62,16.90
48,Buildings,-,54.56,-,54.56,-,-,-
49,Machinery,-,41.36,-,36.95,-,-,-
50,Construction In Progress,-,66.78,-,9.09,-,-,-
