,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-0.3,0.3,-,-,-0.04,0.04,-
1,Revenue,213.53,225.75,142.05,329.26,195.44,133.36,431.26
2,Revenue Growth (YoY),9.25%,69.27%,-67.06%,-,-,-,-
3,Cost of Revenue,120.02,159.58,102.3,-,127.32,95.71,291.1
4,Gross Profit,93.51,66.16,39.75,106.08,68.12,37.65,140.15
5,"Selling, General & Admin",11.16,12.53,12.08,-,10.23,9.81,9.08
6,Research & Development,11.43,10.14,9.83,-,11.15,9.18,9.28
7,Other Operating Expenses,-16.28,1.42,-2.43,-,4.35,4.25,-5.48
8,Operating Expenses,6.57,25.45,18.48,-,26.39,24.74,12.56
9,Operating Income,86.94,40.71,21.27,-,41.73,12.92,127.59
10,Interest Expense,-0.18,-0.15,-0.16,-,-0.02,-0.32,-0.01
11,Interest & Investment Income,14.88,18.24,12.53,-,9.25,7.45,6.26
12,Currency Exchange Gain (Loss),1.19,-1.19,-,-,-3.07,3.07,-
13,Other Non Operating Income (Expenses),1.03,0.21,-1.26,-,1.74,-0.22,-0.48
14,EBT Excluding Unusual Items,103.87,57.82,32.39,88.93,49.63,22.9,133.37
15,Gain (Loss) on Sale of Investments,0.72,-0.62,0.81,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0,0,-0.01,-,-0.02,-0.11,0.06
17,Asset Writedown,-3.47,1.71,-1.71,-,-3.46,1.25,-1.25
18,Other Unusual Items,-20.56,21.14,-0.05,-,3.49,-3.49,-
19,Pretax Income,80.55,80.05,31.43,-,49.64,20.56,132.17
20,Income Tax Expense,9.79,9.6,3.26,-,5.47,1.38,18.25
21,Net Income to Company,70.76,70.44,28.18,-,44.17,19.18,113.92
22,Net Income,70.76,70.44,28.18,77.19,44.17,19.18,113.92
23,Net Income to Common,70.76,70.44,28.18,-,44.17,19.18,113.92
24,Net Income Growth,60.20%,267.29%,-75.27%,-,-,-,-
25,Shares Outstanding (Basic),67,67,61,50,50,50,50
26,Shares Outstanding (Diluted),67,67,61,50,50,50,50
27,Shares Change (YoY),33.35%,33.33%,22.23%,-,-,-,-
28,EPS (Basic),1.06,1.06,0.46,-,0.88,0.38,2.28
29,EPS (Diluted),1.06,1.06,0.46,1.54,0.88,0.38,2.28
30,EPS Growth,20.13%,175.47%,-79.77%,-,-,-,-
31,Free Cash Flow,72.8,230.15,59.79,190.69,233.78,261.73,-88.24
32,Free Cash Flow Per Share,1.09,3.45,0.98,3.81,4.68,5.23,-1.76
33,Dividend Per Share,-,0.600,-,-,-,-,-
34,Gross Margin,43.79%,29.31%,27.98%,32.22%,34.85%,28.23%,32.50%
35,Operating Margin,40.72%,18.03%,14.97%,-,21.35%,9.69%,29.59%
36,Profit Margin,33.14%,31.20%,19.83%,-,22.60%,14.38%,26.42%
37,Free Cash Flow Margin,34.09%,101.95%,42.09%,57.91%,119.62%,196.26%,-20.46%
38,EBITDA,88.64,42.63,22.98,81.43,43.11,14.52,128.97
39,EBITDA Margin,41.51%,18.88%,16.17%,24.73%,22.06%,10.89%,29.91%
40,D&A For EBITDA,1.7,1.92,1.7,1.7,1.38,1.61,1.38
41,EBIT,86.94,40.71,21.27,79.72,41.73,12.92,127.59
42,EBIT Margin,40.72%,18.03%,14.97%,24.21%,21.35%,9.69%,29.59%
43,Effective Tax Rate,12.16%,12.00%,10.36%,-,11.02%,6.70%,13.81%
44,Revenue as Reported,213.53,225.75,142.05,-,195.44,133.36,431.26
