,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Operating Revenue,448.32,456.84,497.29,431.23,414.56,470.84,522.49,522.64,433.74,543.31,Upgrade
1,Other Revenue,7.6,-15.87,15.87,-5.17,5.17,-6.5,6.5,-5.07,5.07,1.62,Upgrade
2,Revenue,455.92,440.97,513.15,426.06,419.74,464.34,528.98,517.56,438.82,544.93,Upgrade
3,Revenue Growth (YoY),-11.15%,3.50%,22.26%,-8.24%,-20.65%,-10.28%,20.55%,-5.02%,-48.21%,-38.94%,Upgrade
4,Cost of Revenue,321.42,308.07,346.94,323.69,288.49,355.15,360.04,366.9,319.16,446.32,Upgrade
5,Gross Profit,134.5,132.91,166.22,102.37,131.25,109.2,168.94,150.67,119.66,98.61,Upgrade
6,"Selling, General & Admin",22.42,21.51,22.56,21.87,24.27,21.37,18.8,22.47,15.69,16.16,Upgrade
7,Other Operating Expenses,45.55,51.41,46.71,22.22,45.92,41.03,54.48,92.59,53.1,55.45,Upgrade
8,Operating Expenses,131.44,137.54,139.34,107.69,181.54,187.21,195.12,247.78,201.55,228.26,Upgrade
9,Operating Income,3.06,-4.63,26.88,-5.32,-50.3,-78.02,-26.18,-97.11,-81.89,-129.64,Upgrade
10,Interest Expense,-4.75,-5.39,-5.15,-6.49,-8.01,-9.58,-10.25,-11.97,-13.12,-12.92,Upgrade
11,Interest & Investment Income,-,7.92,-,1.28,-,0.56,-,1.17,-,3.2,Upgrade
12,Earnings From Equity Investments,17.52,18.26,19.78,8.5,0.66,1.61,5.11,6.13,-5.34,6.8,Upgrade
13,Currency Exchange Gain (Loss),0.08,-0.5,-0.57,0.46,-0.7,0.22,-2.26,0.38,-3.19,-5.6,Upgrade
14,Other Non Operating Income (Expenses),-,7.05,-,5.8,-,7.71,-,5.69,-,-,Upgrade
15,EBT Excluding Unusual Items,15.9,22.7,40.94,4.24,-58.35,-77.5,-33.57,-95.71,-103.55,-138.17,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-4.35,Upgrade
17,Gain (Loss) on Sale of Assets,-,-,-,-,84.24,-0.02,0.02,-,-,-,Upgrade
18,Asset Writedown,-12.55,-9.87,-36.58,-44.29,-2.16,-35.04,-,-5.09,-31.9,-118.2,Upgrade
19,Other Unusual Items,0.45,17.37,0.18,59.75,18.42,25.52,3.19,56.27,62.21,-,Upgrade
20,Pretax Income,3.8,30.21,4.54,19.7,42.15,-87.04,-30.36,-44.54,-73.24,-260.72,Upgrade
21,Income Tax Expense,0.79,0.06,1.72,6.34,-0.36,6.65,0,4.74,3.58,13.6,Upgrade
22,Earnings From Continuing Operations,3.01,30.15,2.82,13.37,42.51,-93.68,-30.37,-49.28,-76.82,-274.32,Upgrade
23,Minority Interest in Earnings,3.42,2.19,3.93,6.34,-1.65,5.86,-0.06,2.81,-0.83,1.43,Upgrade
24,Net Income,6.42,32.34,6.75,19.71,40.87,-87.83,-30.43,-46.47,-77.65,-272.89,Upgrade
25,Net Income to Common,6.42,32.34,6.75,19.71,40.87,-87.83,-30.43,-46.47,-77.65,-272.89,Upgrade
26,Net Income Growth,-4.80%,64.07%,-83.49%,-,-,-,-,-,-,-,Upgrade
27,Shares Outstanding (Basic),1365,1367,1367,1366,1382,1379,1379,1346,1411,1411,Upgrade
28,Shares Outstanding (Diluted),1365,1375,1367,1380,1382,1379,1379,1346,1411,1411,Upgrade
29,Shares Change (YoY),-0.18%,-0.37%,-1.06%,0.11%,0.22%,2.42%,-2.31%,-4.62%,-,-,Upgrade
30,EPS (Basic),0.00,0.02,0.00,0.01,0.03,-0.06,-0.02,-0.03,-0.06,-0.19,Upgrade
31,EPS (Diluted),0.00,0.02,0.00,0.01,0.03,-0.06,-0.02,-0.03,-0.06,-0.19,Upgrade
32,EPS Growth,-4.62%,65.44%,-83.32%,-,-,-,-,-,-,-,Upgrade
33,Free Cash Flow,28.81,77.26,74.1,10.62,96.97,32.12,57.47,46.27,60.45,-18.51,Upgrade
34,Free Cash Flow Per Share,0.02,0.06,0.05,0.01,0.07,0.02,0.04,0.03,0.04,-0.01,Upgrade
35,Dividend Per Share,0.010,0.025,0.010,-,-,-,-,-,-,-,Upgrade
36,Operating Margin,0.67%,-1.05%,5.24%,-1.25%,-11.98%,-16.80%,-4.95%,-18.76%,-18.66%,-23.79%,Upgrade
37,Profit Margin,1.41%,7.33%,1.31%,4.63%,9.74%,-18.91%,-5.75%,-8.98%,-17.69%,-50.08%,Upgrade
38,Free Cash Flow Margin,6.32%,17.52%,14.44%,2.49%,23.10%,6.92%,10.86%,8.94%,13.78%,-3.40%,Upgrade
39,EBITDA,25.22,20.78,48.61,18.12,-24.1,-49.65,6.94,-67.46,-47.87,-81.79,Upgrade
40,D&A For EBITDA,22.16,25.41,21.73,23.44,26.2,28.37,33.12,29.65,34.03,47.85,Upgrade
41,EBIT,3.06,-4.63,26.88,-5.32,-50.3,-78.02,-26.18,-97.11,-81.89,-129.64,Upgrade
