,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3676,2517,2259,2509,2554,2512,2823,2967,2063,1844,2029,2386,2573,2485,-,-,-,-,-,-
1,Market Cap Growth,0.22%,0.22%,-19.99%,-15.43%,23.78%,36.22%,39.17%,24.37%,-19.82%,-25.79%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3890,2713,2448,2677,2722,2637,2934,3016,2141,1899,2088,2366,2553,2727,-,-,-,-,-,-
3,Last Close Price,34.13,23.37,20.74,22.77,23.18,22.80,25.62,26.79,18.63,16.65,18.32,21.43,23.12,22.32,-,-,-,-,-,-
4,PE Ratio,49.01,36.50,35.63,42.96,46.04,46.36,44.38,54.97,37.34,32.59,51.00,58.47,49.86,48.28,-,-,-,-,-,-
5,Forward PE,-,21.58,21.58,21.58,21.58,23.45,26.36,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.56,2.65,2.38,2.75,2.72,2.76,3.30,3.55,2.58,2.41,2.96,4.14,4.88,5.19,-,-,-,-,-,-
7,PB Ratio,4.42,3.02,2.75,3.08,3.09,3.12,3.54,3.75,2.62,2.41,2.71,3.20,3.47,3.45,-,-,-,-,-,-
8,P/TBV Ratio,3.36,3.36,3.07,3.44,3.45,3.48,3.94,4.13,2.89,2.66,2.88,3.40,3.70,3.68,-,-,-,-,-,-
9,P/FCF Ratio,304.01,-,-285.57,-,-297.23,-,-240.02,-,-65.44,-57.38,-63.66,-,-73.89,-39.24,-,-,-,-,-,-
10,P/OCF Ratio,72.10,-,130.17,-,106.41,-,94.69,-,32.98,21.28,27.28,-,33.43,39.64,-,-,-,-,-,-
11,EV/Sales Ratio,4.10,2.86,2.58,2.93,2.90,2.90,3.42,3.60,2.68,2.49,3.05,4.11,4.84,5.70,-,-,-,-,-,-
12,EV/EBITDA Ratio,35.83,23.80,23.52,25.17,26.79,27.77,28.52,36.24,27.88,28.00,46.06,48.85,40.05,42.21,-,-,-,-,-,-
13,EV/EBIT Ratio,55.89,35.40,36.58,38.19,41.52,44.61,41.60,58.83,44.26,44.23,84.98,69.59,47.76,46.64,-,-,-,-,-,-
14,EV/FCF Ratio,321.68,-,-309.44,-,-316.80,-,-249.42,-,-67.91,-59.11,-65.51,-,-73.31,-43.07,-,-,-,-,-,-
15,Debt / Equity Ratio,0.36,0.36,0.33,0.31,0.30,0.28,0.25,0.23,0.19,0.19,0.17,0.14,0.15,0.42,0.59,0.47,0.47,-,-,0.31
16,Debt / EBITDA Ratio,2.76,2.52,2.10,2.92,1.82,2.85,1.50,2.70,1.47,1.32,2.32,2.56,1.68,14.39,4.30,2.08,3.03,-,-,1.64
17,Debt / FCF Ratio,24.80,-,-33.81,-,-28.83,-,-17.26,-,-4.86,-4.54,-3.90,-,-3.19,-4.74,-,-,-1.37,-,-,-
18,Asset Turnover,0.80,0.84,0.50,0.76,0.82,0.74,0.61,0.73,0.72,0.75,0.52,0.59,0.45,-,-,-,-,-,-,
19,Inventory Turnover,22.98,24.66,28.24,22.02,29.60,26.50,23.96,18.93,25.52,20.46,23.58,16.99,23.78,26.58,-,-,-,-,-,-
20,Quick Ratio,1.93,1.93,1.92,2.07,1.93,1.91,1.91,1.98,1.98,1.91,1.94,2.30,1.90,2.49,1.82,-,1.84,-,-,-
21,Current Ratio,2.08,2.08,2.09,2.22,2.06,2.08,2.09,2.21,2.17,2.11,2.16,2.54,2.09,2.63,1.97,-,1.98,-,-,-
22,Return on Equity (ROE),6.74%,13.12%,3.52%,10.35%,4.34%,11.03%,2.24%,10.04%,9.48%,6.49%,3.06%,11.38%,0.78%,11.31%,14.65%,-,-,-,-,
23,Return on Assets (ROA),3.87%,4.02%,2.35%,4.37%,2.11%,4.75%,1.56%,3.40%,4.68%,1.02%,1.04%,2.21%,0.82%,-,-,-,-,-,-,
24,Return on Capital (ROIC),4.65%,4.82%,2.85%,5.47%,2.69%,6.07%,2.00%,4.48%,6.26%,1.35%,1.40%,2.99%,1.11%,4.94%,9.15%,-,-,-,-,
