,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,275.68,260.8,160.96,251.28,273.19,226.91,186.12,224.3,216.27,210.13,149.35,184.19,136.58,102.37,100.7,136.96,144.01,97.63,97.63
1,Other Revenue,-9.26,9.26,-,-,-6.29,6.29,-,-,-3.1,3.1,-,3.65,-1.63,1.63,-,1.9,-0.82,0.41,0.41
2,Revenue,266.42,270.06,160.96,251.28,266.91,233.19,186.12,224.3,213.18,213.22,149.35,187.84,134.95,104,100.7,138.86,143.19,98.04,98.04
3,Revenue Growth (YoY),-0.18%,15.81%,-13.52%,12.03%,25.20%,9.37%,24.62%,19.41%,57.97%,105.02%,48.31%,35.27%,-5.75%,6.08%,2.72%,-,-,-,-
4,Cost of Revenue,215.9,209.1,128.67,209.74,214.66,201.38,146.4,178.95,163.85,171.2,113.94,148.93,95.39,74.74,66.94,99.49,91.57,66.72,66.72
5,Gross Profit,50.52,60.96,32.29,41.54,52.25,31.81,39.72,45.35,49.33,42.03,35.41,38.9,39.56,29.26,33.76,39.37,51.61,31.31,31.31
6,"Selling, General & Admin",15.87,16.67,15.68,20.28,18.17,14.01,14.47,21.4,15.85,11.98,12.57,15.52,11.59,9.26,9.53,9.52,8.77,7.8,7.8
7,Research & Development,4.22,4.18,4.04,6.54,8.47,7.01,4.31,6.75,6.03,7.1,5.78,8.75,9.58,3.56,1.39,4.49,3.3,2.69,2.69
8,Other Operating Expenses,-6.02,4.25,-0.79,1.33,-1.24,-1.86,-0.76,3.95,-0.77,0.16,-0.84,13.01,-1.1,-8.08,-0.78,7.07,-6.09,-1.38,-1.38
9,Operating Expenses,29.88,40.21,20.09,18.5,41.32,7.89,32.07,28.74,26.99,37.37,30.64,27.72,35.6,15.18,9.53,23.18,16.75,15.08,15.08
10,Operating Income,20.64,20.75,12.2,23.05,10.93,23.93,7.65,16.6,22.34,4.66,4.76,11.18,3.96,14.08,24.23,16.2,34.86,16.23,16.23
11,Interest Expense,-2.49,-2.41,-2.18,-3.01,-2.12,-2.15,-1.46,-2.37,-1.38,-1.51,-1.05,-2.17,-3.62,-2.36,-1,-1.49,-0.92,-0.9,-0.9
12,Interest & Investment Income,0.1,0.45,-,1.23,0.32,0.53,-,1.19,-,0.64,-,1.38,-,0.07,0.06,0.55,-,0.15,0.15
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-0,-0,0,-,0,-0,0,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.02,-0.06,-,-0.93,0.16,-0.21,-0,-3.93,0.19,2.26,0.63,0.52,-0.73,0.5,-0,-1.06,0.1,0.19,0.19
15,EBT Excluding Unusual Items,18.28,18.73,10.02,20.34,9.28,22.1,6.19,11.5,21.15,6.05,4.35,10.91,-0.39,12.29,23.28,14.2,34.04,15.68,15.68
16,Gain (Loss) on Sale of Assets,0.08,-0.09,-0.01,-0.71,0,-0.02,-0.02,-,-,-0,-0,-0.3,-0.9,-7.29,-,-0,0.01,4.16,4.16
17,Asset Writedown,-3.34,1.97,-1.97,2.97,-2.97,3.89,-3.89,3.94,-3.88,2.5,-2.5,1.79,-1.79,1.85,-1.85,1.71,-1.71,-,-
18,Other Unusual Items,-4.09,4.28,-0,2.61,-,-,-,11.56,-,-,-,11.79,-,-,-,10.01,-,-,-
19,Pretax Income,10.93,24.89,8.04,25.21,6.32,25.98,2.28,27,17.27,8.56,1.84,24.2,-3.08,6.86,21.43,25.93,32.34,19.84,19.84
20,Income Tax Expense,-3,-1.91,0.83,4.09,-2.37,4.08,-2.13,7.52,-0.69,-3.57,-3.85,3.41,-4.24,-6.3,4.94,5.28,6.46,3.52,3.52
