,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,16.98,0.87,95.44,126.16,236.94,197.15,241.2,164.9,103.2,57.97,Upgrade
1,Revenue Growth (YoY),-82.21%,-99.31%,-59.72%,-36.01%,-1.77%,19.56%,133.72%,184.46%,14.72%,-,Upgrade
2,Cost of Revenue,14.23,-1.3,93.54,122.96,197.39,183.11,220.56,165.87,96.02,50.16,Upgrade
3,Gross Profit,2.75,2.17,1.9,3.2,39.54,14.04,20.64,-0.97,7.18,7.81,Upgrade
4,"Selling, General & Admin",25.36,5.8,8.12,-3.62,21.19,12.29,6.99,10.18,10.64,14.9,Upgrade
5,Other Operating Expenses,-,-1.15,-2.01,15.19,-15.77,-2.45,-0.99,-0.05,-0.38,-0.09,Upgrade
6,Operating Expenses,24.94,11.6,24.61,12.85,10.67,11.76,6.01,10.13,10.26,14.81,Upgrade
7,Operating Income,-22.19,-9.43,-22.71,-9.65,28.87,2.29,14.63,-11.1,-3.08,-6.99,Upgrade
8,Interest Expense,-1.58,-1.73,-2.72,-3.14,-1.53,-0.02,-0,-0.06,-0.07,-0.63,Upgrade
9,Interest & Investment Income,0.05,-,0,0,0,-,0,0.01,-,0,Upgrade
10,Currency Exchange Gain (Loss),-0.28,1.24,-3.64,4.1,-9.49,-1.14,-2.52,1.98,-0.29,-0.15,Upgrade
11,Other Non Operating Income (Expenses),-0.85,-1.75,-,-0.03,-,-,-,-,-,-,Upgrade
12,EBT Excluding Unusual Items,-24.86,-11.67,-29.07,-8.72,17.86,1.13,12.11,-9.18,-3.44,-7.77,Upgrade
13,Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-0.1,Upgrade
14,Impairment of Goodwill,-,-2.16,-,-,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-0.34,-1.79,-3.21,-14.07,0.5,-,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,0,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Writedown,0.52,-0.47,-,0.05,1.3,1.4,-,-2.41,-,-,Upgrade
18,Other Unusual Items,-,-,-,0.02,0.16,-,-,0.33,0.1,-,Upgrade
19,Pretax Income,-24.67,-16.1,-32.28,-22.73,19.81,2.53,12.11,-11.26,-3.34,-7.86,Upgrade
20,Income Tax Expense,0.18,-11.46,1.41,-3.54,3.08,0.87,2.02,0.39,-,0.02,Upgrade
21,Earnings From Continuing Operations,-24.85,-4.64,-33.69,-19.18,16.73,1.66,10.09,-11.65,-3.34,-7.88,Upgrade
22,Earnings From Discontinued Operations,-,-,-,-,3.77,-29.07,-14.33,-,-,7.83,Upgrade
23,Net Income to Company,-24.85,-4.64,-33.69,-19.18,20.5,-27.41,-4.24,-11.65,-3.34,-0.05,Upgrade
24,Minority Interest in Earnings,0.27,-,-,-,-,-,-,-,-,-,Upgrade
25,Net Income,-24.57,-4.64,-33.69,-19.18,20.5,-27.41,-4.24,-11.65,-3.34,-0.05,Upgrade
26,Net Income to Common,-24.57,-4.64,-33.69,-19.18,20.5,-27.41,-4.24,-11.65,-3.34,-0.05,Upgrade
27,Shares Outstanding (Basic),349,349,349,349,342,314,314,314,310,290,Upgrade
28,Shares Outstanding (Diluted),349,349,349,349,342,314,314,314,310,290,Upgrade
29,Shares Change (YoY),-,0.05%,2.19%,11.05%,8.73%,-0.00%,1.42%,8.44%,1.60%,-,Upgrade
30,EPS (Basic),-0.07,-0.01,-0.10,-0.05,0.06,-0.09,-0.01,-0.04,-0.01,-0.00,Upgrade
31,EPS (Diluted),-0.07,-0.01,-0.10,-0.05,0.06,-0.09,-0.01,-0.04,-0.01,-0.00,Upgrade
32,Free Cash Flow,-1.76,45.3,-1.48,15.31,-111.76,-17.07,-31.57,14.93,31.64,-4.55,Upgrade
33,Free Cash Flow Per Share,-0.01,0.13,-0.00,0.04,-0.33,-0.05,-0.10,0.05,0.10,-0.02,Upgrade
34,Operating Margin,-130.70%,-1085.16%,-23.80%,-7.65%,12.19%,1.16%,6.07%,-6.73%,-2.98%,-12.07%,Upgrade
35,Profit Margin,-144.72%,-533.49%,-35.29%,-15.20%,8.65%,-13.90%,-1.76%,-7.06%,-3.24%,-0.08%,Upgrade
36,Free Cash Flow Margin,-10.34%,5212.31%,-1.55%,12.13%,-47.17%,-8.66%,-13.09%,9.05%,30.66%,-7.85%,Upgrade
37,EBITDA,-21.46,-9.42,-22.71,-9.64,28.89,2.3,14.64,-11.05,-3.03,-6.95,Upgrade
38,D&A For EBITDA,0.73,0.01,0.01,0.01,0.02,0.02,0.01,0.05,0.04,0.05,Upgrade
39,EBIT,-22.19,-9.43,-22.71,-9.65,28.87,2.29,14.63,-11.1,-3.08,-6.99,Upgrade
