,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,577086,465791,476979,417504,401604,412204,379228,376283,388061,408671,400427,448393,471388,410452,367912,326522,349517,366762,375960,356415,359864,Upgrade
1,Market Cap Growth,13.00%,13.00%,25.78%,10.95%,3.49%,0.86%,-5.29%,-16.08%,-17.68%,-0.43%,8.84%,37.32%,34.87%,11.91%,-2.14%,-8.39%,-2.88%,-11.39%,-7.89%,-22.50%,-26.35%,Upgrade
2,Enterprise Value,437040,380606,414665,369930,344987,330391,341800,362190,334158,374612,410425,493665,527781,474258,418671,364914,379936,401465,397930,396417,393205,Upgrade
3,Last Close Price,49000.00,39550.00,40500.00,35450.00,34100.00,33157.89,30505.26,29288.86,30205.57,30090.36,29483.35,32975.77,34666.83,29335.22,26294.87,23336.70,24980.13,25393.55,26030.38,24677.12,24915.93,Upgrade
4,PE Ratio,7.06,5.70,6.86,6.42,6.73,7.14,6.84,7.00,6.78,7.34,6.25,8.48,21.26,13.09,18.29,15.32,11.70,26.72,27.65,11.85,10.08,Upgrade
5,PS Ratio,1.01,0.81,0.83,0.75,0.76,0.77,0.71,0.67,0.64,0.66,0.66,0.87,1.14,1.20,1.28,1.11,1.15,1.15,1.25,1.15,1.08,Upgrade
6,PB Ratio,1.06,0.86,0.91,0.83,0.84,0.84,0.79,0.80,0.85,0.87,0.87,1.00,1.11,0.98,0.88,0.78,0.84,0.89,0.91,0.87,0.89,Upgrade
7,P/TBV Ratio,0.87,0.87,0.93,0.84,0.86,0.86,0.81,0.82,0.87,0.89,0.89,1.02,1.13,1.01,0.90,0.81,0.86,0.92,0.94,0.90,0.92,Upgrade
8,P/FCF Ratio,11.44,9.24,20.78,7.46,-,8.62,6.20,6.12,-,3.70,4.03,14.24,162.47,-12.85,-,-,-,-50.19,-,-18.27,-,Upgrade
9,P/OCF Ratio,5.31,5.31,8.88,5.82,-,6.88,5.23,4.27,-,3.05,3.08,8.60,12.30,-214.58,-,-,-,38.18,-,-50.91,-,Upgrade
10,EV/Sales Ratio,0.76,0.66,0.72,0.67,0.65,0.62,0.64,0.64,0.55,0.61,0.68,0.96,1.28,1.39,1.45,1.24,1.25,1.26,1.32,1.27,1.18,Upgrade
