,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,111.54,40.58,257.31,126.5,-
1,Short-Term Investments,13.45,8.66,9.58,9.57,-
2,Trading Asset Securities,207.16,-,-,-,-
3,Cash & Short-Term Investments,332.14,49.23,266.89,136.07,-
4,Cash Growth,24.45%,-63.82%,-,-,-
5,Accounts Receivable,69.9,75.98,84.51,109.35,-
6,Other Receivables,83.05,45.53,390.46,386.86,-
7,Receivables,152.95,121.52,474.96,496.2,-
8,Inventory,39.83,40.35,42.69,84.84,-
9,Restricted Cash,100,30,-,-,-
10,Other Current Assets,52.24,118.71,119.16,69.42,-
11,Total Current Assets,677.16,359.8,903.71,786.53,-
12,"Property, Plant & Equipment",3754,3835,3546,3548,-
13,Long-Term Investments,191.66,89.68,90.2,91.41,-
14,Goodwill,-,511.78,511.78,511.78,-
15,Other Intangible Assets,830.07,339.89,339.08,362.98,-
16,Long-Term Deferred Tax Assets,19.43,21.32,21.52,19.6,-
17,Long-Term Deferred Charges,-,-,11.06,-,-
18,Other Long-Term Assets,247.75,78.93,87.86,91.06,-
19,Total Assets,5720,5236,5511,5412,-
20,Accounts Payable,121.32,127.07,128.67,145.86,-
21,Accrued Expenses,449.49,471,224.24,244.73,-
22,Short-Term Debt,214.02,157.67,366.45,271.68,-
23,Current Portion of Long-Term Debt,449.96,369.06,264.31,159.43,-
24,Current Portion of Leases,10.96,21.32,23.48,14.63,-
25,Current Income Taxes Payable,2.27,2.47,2.47,2.5,-
26,Current Unearned Revenue,38.17,55.94,82.51,97.28,-
27,Total Current Liabilities,1286,1205,1092,936.12,-
28,Long-Term Debt,2060,1910,2076,2220,-
29,Long-Term Leases,151.68,184.31,191.64,187.67,-
30,Long-Term Deferred Tax Liabilities,64.83,68.09,70.37,72.64,-
31,Total Liabilities,3562,3367,3430,3416,-
32,Common Stock,716.34,676.92,676.92,648.72,-
33,Additional Paid-In Capital,4641,4191,4187,3919,-
34,Retained Earnings,-3451,-3303,-3112,-2917,-
35,Comprehensive Income & Other,-,34.74,34.74,34.74,-
36,Total Common Equity,1906,1599,1788,1685,-
37,Minority Interest,250.99,270.1,293.82,310.31,-
38,Shareholders' Equity,2157,1869,2081,1996,-
39,Total Liabilities & Equity,5720,5236,5511,5412,-
40,Total Debt,2886,2643,2922,2853,-
41,Net Cash (Debt),-2554,-2593,-2655,-2717,-
42,Net Cash Per Share,-3.57,-3.97,-4.07,-,-
43,Filing Date Shares Outstanding,716.34,716.34,716.34,648.72,-
44,Total Common Shares Outstanding,716.34,676.92,676.92,648.72,-
45,Working Capital,-609.02,-844.72,-188.41,-149.59,-
46,Book Value Per Share,2.66,2.36,2.64,2.60,-
47,Tangible Book Value,1076,747.42,936.65,810.51,-
48,Tangible Book Value Per Share,1.50,1.10,1.38,1.25,-
49,Buildings,-,780.19,754.97,754.97,-
50,Machinery,-,658.98,656.43,656.02,-
51,Construction In Progress,-,2207,1888,1844,-
52,Leasehold Improvements,-,45.54,42.6,41.66,-
