,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,218.99,253.47,285.18,328.36,143.81
1,Revenue Growth (YoY),-23.21%,-22.81%,98.30%,-,-
2,Cost of Revenue,253.49,283.59,320.12,384.6,230.17
3,Gross Profit,-34.5,-30.12,-34.94,-56.24,-86.36
4,"Selling, General & Admin",104.06,132.84,119.9,147.75,126.25
5,Research & Development,14.13,17.93,18.52,23.66,17.66
6,Other Operating Expenses,-0.47,4.51,-1.19,23.27,-31.04
7,Operating Expenses,120.07,164.19,134.32,214.33,112.87
8,Operating Income,-154.57,-194.31,-169.26,-270.57,-199.24
9,Interest Expense,-53.7,-53.15,-54.86,-52.02,-222.46
10,Interest & Investment Income,0.46,3.24,4.04,3.97,3.81
11,Earnings From Equity Investments,-0.8,-0.52,-1.22,-0.12,-0.1
12,Currency Exchange Gain (Loss),-1.47,0.17,-0.21,-0.27,-0.37
13,Other Non Operating Income (Expenses),-1.47,30.57,0.72,41.68,-
14,EBT Excluding Unusual Items,-211.55,-213.99,-220.79,-277.32,-418.35
15,Gain (Loss) on Sale of Investments,2.55,-,-,-,-
16,Gain (Loss) on Sale of Assets,41.01,-,-,-1.31,0.17
17,Asset Writedown,-0.15,-0.22,-0.03,-0.75,-0.02
18,Other Unusual Items,-36.38,-0,2.43,50.4,-
19,Pretax Income,-204.52,-214.21,-218.39,-228.97,-418.2
20,Income Tax Expense,-2.5,-2.07,-4.13,-6.81,-3.13
21,Earnings From Continuing Operations,-202.02,-212.14,-214.26,-222.16,-415.07
22,Minority Interest in Earnings,20.14,33.32,19.98,61.96,33.86
23,Net Income,-181.88,-178.81,-194.28,-160.2,-381.21
24,Net Income to Common,-181.88,-178.81,-194.28,-160.2,-381.21
25,Shares Outstanding (Basic),715,653,652,-,-
26,Shares Outstanding (Diluted),715,653,652,-,-
27,Shares Change (YoY),9.56%,-,-,-,-
28,EPS (Basic),-0.25,-0.27,-0.30,-,-
29,EPS (Diluted),-0.25,-0.27,-0.30,-,-
30,Free Cash Flow,-346.84,157.72,-133.79,15.59,-191.25
31,Free Cash Flow Per Share,-0.49,0.24,-0.21,-,-
32,Operating Margin,-70.59%,-76.66%,-59.35%,-82.40%,-138.54%
33,Profit Margin,-83.05%,-70.55%,-68.12%,-48.79%,-265.08%
34,Free Cash Flow Margin,-158.38%,62.22%,-46.92%,4.75%,-132.99%
35,EBITDA,-94.09,-137.13,-107.21,-216.2,-139.31
36,D&A For EBITDA,60.48,57.18,62.05,54.36,59.92
37,EBIT,-154.57,-194.31,-169.26,-270.57,-199.24
