,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,171.02,179.52,171.3,177.64,170.42,167.7,191.5,182.89,174.18,184.35,192.82,190.2,170.16,175.54,172.07,126.76,99.31,104.98,105.46,125.15
1,Other Revenue,-1.51,1.51,-,1.86,-1.15,1.15,-,3.06,-,-,-,2,-0.9,0.9,-,1.19,-0.6,0.6,-,1.76
2,Revenue,169.51,181.04,171.3,179.5,169.27,168.85,191.5,185.95,174.18,184.35,192.82,192.2,169.27,176.44,172.07,127.95,98.71,105.58,105.46,126.91
3,Revenue Growth (YoY),0.14%,7.21%,-10.55%,-3.47%,-2.82%,-8.40%,-0.69%,-3.25%,2.90%,4.48%,12.06%,50.21%,71.47%,67.11%,63.16%,0.82%,-,-,-,-
4,Cost of Revenue,145.58,153.4,142.62,148.65,136.24,136.79,147.47,161.17,142.37,153.56,148.09,155.08,137.37,141.37,134.21,100.43,71.75,76.78,82.87,57.61
5,Gross Profit,23.92,27.64,28.67,30.85,33.02,32.07,44.02,24.77,31.81,30.79,44.73,37.11,31.9,35.07,37.86,27.52,26.96,28.8,22.59,69.3
6,"Selling, General & Admin",11.9,10.71,9.71,10.43,9.94,11.68,9.97,7.44,14.81,8.62,11.18,8.51,12.94,8.95,10.15,8.1,9.49,6.88,5.6,49.62
7,Research & Development,1.17,1.18,1.22,2.87,1.68,1.77,1.68,1.49,1.75,1.76,1.39,1.78,1.92,1.71,1.46,2.45,1.47,1.99,1.14,6.77
8,Other Operating Expenses,1.16,1.14,1.15,1.4,1.19,1.11,1.08,1.18,0.89,0.87,0.86,1.38,0.89,0.98,0.4,0.66,0.52,0.66,0.8,2.29
9,Operating Expenses,13.89,13.09,12.39,14.42,13.72,13.09,13.41,10.57,17.12,10.64,13.91,12.38,14.98,11.4,12.47,12.41,11.06,9.22,7.8,58.04
10,Operating Income,10.04,14.55,16.28,16.43,19.3,18.98,30.61,14.2,14.68,20.15,30.82,24.74,16.92,23.66,25.39,15.11,15.9,19.57,14.78,11.27
