,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2671,2919,1973,2238,2432,2363,2363,2411,2376,2024,2497,2184,2718,3042,2436,2534,-,-,-,-,-
1,Market Cap Growth,23.52%,23.52%,-16.49%,-7.19%,2.37%,16.76%,-5.38%,10.39%,-12.58%,-33.47%,2.54%,-13.83%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2427,2653,1691,1974,2169,2176,2086,2144,2109,1778,2248,2052,2586,2903,2262,2573,-,-,-,-,-
3,Last Close Price,18.50,20.22,13.67,15.35,16.69,16.21,16.21,16.40,16.16,13.76,16.98,14.72,18.32,20.50,16.41,16.96,-,-,-,-,-
4,PE Ratio,54.98,60.08,36.29,38.47,35.49,35.30,37.24,38.35,37.25,28.12,33.49,28.00,35.84,45.28,36.97,39.70,-,-,-,-,-
5,PS Ratio,3.81,4.16,2.81,3.25,3.43,3.30,3.28,3.28,3.22,2.72,3.38,2.99,3.83,4.71,4.23,5.03,-,-,-,-,-
6,PB Ratio,3.81,4.16,2.85,3.20,3.55,3.52,3.60,3.65,3.73,3.24,4.08,3.52,4.56,5.29,4.34,4.53,-,-,-,-,-
7,P/TBV Ratio,4.89,4.89,3.35,3.75,4.18,4.17,4.29,3.73,3.81,3.31,4.16,3.60,4.66,5.42,4.45,4.65,-,-,-,-,-
8,P/FCF Ratio,-,-,-45.82,-,-60.90,-77.04,-,-,36.93,18.21,28.74,-,85.53,-69.52,-,-,-,-,-,-,-
9,P/OCF Ratio,71.24,71.24,31.71,-,27.90,26.37,28.26,24.81,30.06,17.26,27.30,38.53,70.61,-647.04,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.46,3.78,2.41,2.87,3.06,3.04,2.90,2.91,2.86,2.39,3.04,2.81,3.64,4.50,3.93,5.10,-,-,-,-,-
11,EV/EBITDA Ratio,25.34,28.51,16.63,18.45,17.97,18.47,18.44,18.81,18.48,14.27,18.34,16.29,22.24,28.34,22.05,27.32,-,-,-,-,-
12,EV/EBIT Ratio,42.52,46.29,25.41,27.80,25.42,26.18,26.59,26.92,26.42,19.67,24.27,21.34,28.51,35.79,28.25,33.86,-,-,-,-,-
13,EV/FCF Ratio,-23.82,-,-39.26,-,-54.30,-70.92,-,-,32.78,16.00,25.86,-,81.38,-66.33,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.40,0.40,0.25,0.24,0.08,0.09,0.06,0.03,0.03,0.06,0.06,0.08,0.08,0.10,0.11,0.13,0.15,-,0.38,0.42,0.42
15,Debt / EBITDA Ratio,2.93,3.64,1.93,1.62,0.52,0.52,0.34,0.14,0.24,0.37,0.30,0.30,0.36,0.65,0.46,0.59,1.04,-,1.12,1.40,1.70
16,Debt / FCF Ratio,-,-,-4.07,-,-1.34,-1.91,-,-,0.33,0.31,0.40,-,1.49,-1.26,-,-,-,-,15.56,-,-
17,Asset Turnover,0.51,0.59,0.63,0.75,0.78,0.83,0.95,0.94,0.89,0.93,0.97,1.03,0.95,0.97,0.91,-,-,-,-,-,
18,Inventory Turnover,13.32,11.74,11.59,12.09,12.50,11.20,10.33,10.81,13.35,11.55,11.27,12.47,15.33,15.23,17.25,16.45,-,-,-,-,-
19,Quick Ratio,2.23,2.23,2.26,3.02,2.10,3.13,3.28,3.97,4.00,4.17,3.97,3.71,3.87,3.08,2.99,2.61,2.14,-,0.78,-,0.83
20,Current Ratio,2.40,2.40,2.53,3.32,2.37,3.59,3.84,4.56,4.55,4.67,4.62,4.23,4.28,3.54,3.31,2.91,2.36,-,1.03,-,1.11
21,Return on Equity (ROE),5.10%,7.28%,7.18%,8.60%,8.84%,9.99%,14.08%,8.24%,7.24%,10.28%,15.63%,14.46%,9.70%,13.76%,15.76%,-,-,25.01%,19.10%,-,
