,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,274.07,241.41,277.46,322.4,187.34,196.1,183.33,304.83,287.38,280.33,176.31,185.44,159.96,198.4,243.71,284.9,-,68.2,-,64.27
1,Trading Asset Securities,250,200,170,-,135,30,115,-,14,-,121,112,27,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,524.07,441.41,447.46,322.4,322.34,226.1,298.33,304.83,301.38,280.33,297.31,297.44,186.96,198.4,243.71,284.9,-,68.2,64.27,64.27
3,Cash Growth,62.58%,95.23%,49.99%,5.76%,6.95%,-19.34%,0.34%,2.48%,61.20%,41.30%,21.99%,4.40%,-,190.89%,279.22%,343.31%,-,-,-,-
4,Accounts Receivable,92.03,96.97,123.61,98.32,95.45,115.98,108.98,99.84,100.48,102.39,124.16,100.65,131.57,131.55,113.08,90.6,-,64.46,-,80.09
5,Other Receivables,-,0.63,-,-,-,-,4.94,1.7,-,0.04,-,-,-,0.15,-,-,-,-,-,-
6,Receivables,92.03,97.59,123.61,98.32,95.45,115.98,113.92,101.54,100.48,102.43,124.16,100.65,131.57,131.71,113.08,90.6,-,64.46,-,80.09
7,Inventory,40.61,58.58,47.27,47.12,48.01,49.29,56.6,52.58,44.03,54.62,54.42,40.6,40.31,31.86,33.71,31.56,-,35.81,-,44.8
8,Prepaid Expenses,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0.55,-,-
