,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,61.19,210.41,131.06,220.23,29.82,47.5,103.68,144,36.94,73.62
1,Cash & Short-Term Investments,61.19,210.41,131.06,220.23,29.82,47.5,103.68,144,36.94,73.62
2,Cash Growth,-53.31%,-4.46%,339.51%,363.70%,-71.24%,-67.02%,180.67%,95.61%,-,-
3,Accounts Receivable,3020,2883,2469,2616,1613,1733,1526,1467,1232,1120
4,Other Receivables,109.43,106.35,44,629.87,20.01,135.77,0.31,22.68,10.34,56.59
5,Receivables,3130,2989,2513,3246,1633,1869,1527,1490,1243,1176
6,Inventory,20.82,62.99,63.28,151.48,26.24,39.13,32.79,41.56,50.27,25.39
7,Other Current Assets,140.68,99.77,501.71,71.44,71.19,38.24,66.37,24.61,22.24,31.88
8,Total Current Assets,3352,3362,3209,3689,1761,1994,1729,1700,1352,1307
9,"Property, Plant & Equipment",52.32,47.18,46.1,46.15,10.75,15.97,14.64,10.96,11.02,19.4
10,Long-Term Investments,340.44,340.29,347.03,348.79,298.75,288.46,283.56,278.44,253.7,237.89
11,Other Intangible Assets,7.7,1.94,2.2,2.44,2.69,2.93,1.64,1.82,2.01,2.19
12,Long-Term Accounts Receivable,0.61,0.6,9.74,18.99,26.07,34.63,37.32,43.4,97.35,97.42
13,Long-Term Deferred Tax Assets,103.67,93.92,82.93,77.42,53.6,43.87,40.59,31.62,43.32,36
14,Total Assets,3857,3846,3697,4183,2152,2380,2107,2066,1760,1700
15,Accounts Payable,1354,1389,1131,1237,713.31,943.45,673,703.42,531.06,502.71
16,Accrued Expenses,243.79,121.59,127.41,158.68,54.7,68.73,45.34,41.25,27.12,41.97
17,Short-Term Debt,-,-,-,-,-,-,-,-,1,16.1
18,Current Portion of Long-Term Debt,775.7,726.26,741.49,974.78,561.79,479.57,467.58,430,454.14,420
19,Current Portion of Leases,2.61,2.02,1.31,2.61,1.23,3.25,2.38,0.64,0.5,3.95
20,Current Income Taxes Payable,33.32,54.21,28.65,26.27,4.28,11.46,6.08,15.28,6,12.66
21,Current Unearned Revenue,555.85,602.07,428.89,583.04,114.68,154.66,193.28,191.27,79.69,66.55
22,Other Current Liabilities,-,89.95,485.58,189.61,111.96,77.09,76.37,141.7,145.35,141.88
23,Total Current Liabilities,2965,2985,2945,3172,1562,1738,1464,1524,1245,1206
24,Long-Term Debt,80.56,79.95,77.93,78.93,25,25,50,50,75,75
25,Long-Term Leases,5.58,1.25,1.08,0.82,1.24,2.18,2.78,0.27,0.26,4.17
26,Long-Term Deferred Tax Liabilities,9.87,10.48,12.07,12.76,11.31,10.34,9.88,8.51,6.51,7.68
27,Other Long-Term Liabilities,1.74,-,-,-,-,-,-,-,-,-
28,Total Liabilities,3063,3077,3036,3265,1599,1776,1527,1582,1327,1293
29,Common Stock,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0,0,0
30,Additional Paid-In Capital,70.32,90.06,90.06,90.06,90.06,90.06,90.06,10.56,10.56,10.56
31,Retained Earnings,313.3,262.39,167.97,142.48,130.87,178.29,159.78,143.45,96.13,74.94
32,Comprehensive Income & Other,280.77,296.91,293.65,634.98,324.78,326.04,320.67,320.23,317.08,316.79
33,Total Common Equity,664.61,649.6,551.91,867.75,545.94,594.63,570.74,474.24,423.77,402.3
34,Minority Interest,129.23,119.87,108.96,50.26,7.04,9.45,9.73,9.58,9.26,5.13
35,Shareholders' Equity,793.84,769.47,660.87,918.02,552.98,604.08,580.47,483.81,433.03,407.43
36,Total Liabilities & Equity,3857,3846,3697,4183,2152,2380,2107,2066,1760,1700
37,Total Debt,864.45,809.48,821.81,1057,589.26,509.99,522.74,480.91,530.9,519.22
38,Net Cash (Debt),-803.26,-599.07,-690.75,-836.91,-559.44,-462.49,-419.06,-336.91,-493.96,-445.61
39,Net Cash Per Share,-0.97,-0.73,-0.84,-1.01,-0.68,-0.56,-0.51,-0.51,-0.75,-
40,Filing Date Shares Outstanding,825,825,825,825,825,825,825,2.46,825,656.66
41,Total Common Shares Outstanding,825,825,825,825,825,825,825,2.46,825,656.66
42,Working Capital,386.83,377.21,263.96,516.73,198.66,255.72,265.38,176.35,107.39,101.39
43,Book Value Per Share,0.81,0.79,0.67,1.05,0.66,0.72,0.69,192.54,0.51,0.61
44,Tangible Book Value,656.91,647.66,549.71,865.31,543.24,591.7,569.1,472.41,421.76,400.1
45,Tangible Book Value Per Share,0.80,0.79,0.67,1.05,0.66,0.72,0.69,191.80,0.51,0.61
46,Buildings,-,4.42,-,4.42,-,-,-,-,-,-
47,Machinery,-,75.31,-,68.78,-,24.44,-,22.46,21.95,21.55
