,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,24.32,44.26,23.02,24.02,73.4,71.36,69.78,84.97,118.25,125.42
1,Short-Term Investments,41.37,28.23,47.78,48.74,-,2.98,-,1.05,-,1.29
2,Cash & Short-Term Investments,65.68,72.49,70.8,72.76,73.4,74.34,69.78,86.02,118.25,126.7
3,Cash Growth,-7.23%,-0.37%,-3.55%,-2.14%,5.19%,-13.57%,-40.98%,-32.11%,1.05%,-13.74%
4,Accounts Receivable,18.24,23.44,21.05,19.9,21.97,50.05,36.72,40.21,48.3,51.97
5,Other Receivables,-,2.03,-,2.62,-,6.39,-,8.03,-,7.24
6,Receivables,18.24,25.48,21.05,22.52,21.97,56.44,36.72,48.24,48.3,59.21
7,Inventory,271.38,220.2,182.53,160.95,140.58,122.04,110.52,90.72,72,59.93
8,Restricted Cash,-,-,1.48,-,3.33,5.63,4.92,2.37,2.59,2.12
9,Other Current Assets,18.69,6.94,12.25,4.67,11.42,4.92,15.95,5.56,17.44,0.67
10,Total Current Assets,373.99,325.11,288.11,260.89,250.7,263.36,237.9,232.91,258.57,248.62
11,"Property, Plant & Equipment",48.41,45.78,49.45,53.05,58.4,61.21,61.99,74.59,57.91,59.58
12,Long-Term Investments,0.12,0.12,0.12,0.11,0.1,0.09,-,-,0.6,-
13,Other Intangible Assets,-,-,-,-,-,-,-,2.86,3.32,3.76
14,Other Long-Term Assets,0.05,0.13,0.47,0.35,1.19,1.14,0.33,5.38,0.02,0.14
15,Total Assets,422.56,371.13,338.15,314.4,310.39,325.79,300.22,315.73,320.41,312.09
16,Accounts Payable,56.45,23.18,29.22,11.22,12.08,13.05,14.23,15.67,8.87,6.85
17,Accrued Expenses,8.53,4.92,6.02,4.14,7.8,4.88,4.57,4.03,6.17,3.68
18,Short-Term Debt,-,-,-,-,-,-,-,0.61,-,0.61
19,Current Portion of Long-Term Debt,11.25,2.75,-,-,-,-,-,-,-,-
20,Current Portion of Leases,1.35,1.46,0.41,1.27,1.8,1.97,1.72,0.51,1.05,1.05
21,Current Income Taxes Payable,3.7,3.7,3.7,3.7,3.7,3.7,3.7,7.55,7.45,7.38
22,Current Unearned Revenue,179.3,161.48,113.55,97.62,78.54,82.63,46.77,43.97,37.74,23.76
23,Other Current Liabilities,-,5.55,-,3.75,-,5.4,-,3.38,-,6.15
24,Total Current Liabilities,260.58,203.04,152.89,121.69,103.92,111.63,70.99,75.72,61.27,49.48
25,Long-Term Debt,1.74,1.74,-,-,-,-,-,-,-,-
26,Long-Term Leases,0.01,0.32,2.19,1.68,2.6,3.97,5.41,3.28,0.54,0.54
27,Long-Term Unearned Revenue,1.9,2.05,2.21,2.36,2.52,2.67,-,-,-,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,1.29,1.42,1.55
29,Total Liabilities,264.23,207.16,157.29,125.72,109.03,118.27,76.41,80.29,63.22,51.56
30,Common Stock,38.51,31.42,31.42,31.42,31.42,31.42,31.42,31.42,31.42,31.51
31,Additional Paid-In Capital,845.82,849.82,849.82,849.82,849.82,849.82,849.82,849.82,849.82,850.1
32,Retained Earnings,-208.75,-199.1,-183.44,-173.66,-158.57,-150.13,-135.44,-138.67,-122.25,-117.58
33,Treasury Stock,-,-,-,-,-,-,-,-,-,-0.36
34,Comprehensive Income & Other,-517.24,-518.19,-516.95,-518.91,-521.32,-523.6,-521.99,-521.13,-516.2,-517.5
35,Total Common Equity,158.34,163.97,180.85,188.68,201.36,207.52,223.81,221.45,242.8,246.17
36,Minority Interest,-,-,-,-,-,-,-,13.99,14.39,14.36
37,Shareholders' Equity,158.34,163.97,180.85,188.68,201.36,207.52,223.81,235.44,257.19,260.53
38,Total Liabilities & Equity,422.56,371.13,338.15,314.4,310.39,325.79,300.22,315.73,320.41,312.09
39,Total Debt,14.35,6.27,2.6,2.94,4.39,5.93,7.13,4.4,1.58,2.19
40,Net Cash (Debt),51.34,66.22,68.2,69.81,69.01,68.41,62.65,81.62,116.67,124.51
41,Net Cash Growth,-24.73%,-5.15%,-1.17%,2.05%,10.15%,-16.18%,-46.30%,-34.45%,1.63%,-14.75%
42,Net Cash Per Share,0.09,0.13,0.14,0.14,0.14,0.14,0.13,0.17,0.24,0.25
43,Filing Date Shares Outstanding,592.84,494.04,494.04,494.04,494.04,494.04,494.04,494.04,494.04,494.04
44,Total Common Shares Outstanding,592.84,494.04,494.04,494.04,494.04,494.04,494.04,494.04,494.04,494.04
45,Working Capital,113.41,122.06,135.22,139.21,146.77,151.72,166.91,157.19,197.3,199.14
46,Book Value Per Share,0.27,0.33,0.37,0.38,0.41,0.42,0.45,0.45,0.49,0.50
47,Tangible Book Value,158.34,163.97,180.85,188.68,201.36,207.52,223.81,218.59,239.48,242.41
48,Tangible Book Value Per Share,0.27,0.33,0.37,0.38,0.41,0.42,0.45,0.44,0.48,0.49
49,Buildings,-,26.72,-,26.72,-,26.72,-,35.16,-,39.68
50,Machinery,-,81.45,-,80.88,-,80.12,-,80.56,-,67.75
51,Construction In Progress,-,-,-,0.46,-,0.46,-,0.55,-,0.5
52,Leasehold Improvements,-,0.79,-,0.79,-,0.79,-,2.31,-,0.42
