,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,46,47,32,35,38,60,97,124,92,89,141
1,Market Cap Growth,35.43%,35.43%,-14.47%,-42.15%,-61.42%,-51.60%,5.35%,38.89%,-34.39%,-43.01%,-43.15%
2,Enterprise Value,-10,-26,-42,-44,-43,-24,22,43,-20,-34,26
3,Last Close Price,0.08,0.08,0.07,0.07,0.08,0.12,0.20,0.25,0.19,0.18,0.28
4,PE Ratio,-,-,-,-,-,-,-,-7.67,-,-,-
5,PS Ratio,0.31,0.34,0.23,0.40,0.53,0.68,1.11,1.40,1.20,1.19,2.05
6,PB Ratio,0.27,0.28,0.18,0.18,0.18,0.25,0.38,0.46,0.33,0.32,0.48
7,P/TBV Ratio,0.28,0.28,0.18,0.18,0.18,0.25,0.38,0.46,0.36,0.34,0.52
8,P/FCF Ratio,-,-,-,-,-,-,-2.47,-,-,-,-6.61
9,P/OCF Ratio,-,-,-,-,-,-,-2.87,-,-28.14,-,-13.77
10,EV/Sales Ratio,-,-,-,-,-,-,0.25,0.49,-,-,0.38
11,EV/FCF Ratio,0.45,-,-,-,-,-,-0.56,-,-,-,-1.23
12,Debt / Equity Ratio,0.09,0.09,0.04,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0.01
13,Debt / FCF Ratio,-,-,-,-,-,-,-0.19,-,-,-,-0.12
14,Earnings Yield,-59.57%,-58.06%,-87.26%,-77.72%,-70.85%,-46.53%,-15.51%,-13.04%,-27.03%,-33.37%,-31.83%
15,FCF Yield,-45.84%,-44.68%,-14.22%,-25.12%,-24.09%,-1.10%,-40.42%,-51.28%,-34.77%,3.14%,-15.12%
16,Buyback Yield / Dilution,-10.00%,-20.00%,-,-,-,-,-0.26%,0.26%,0.50%,0.01%,0.54%
17,Total Shareholder Return,-10.00%,-20.00%,-,-,-,-,-0.26%,0.26%,0.50%,0.01%,0.54%
