,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020,H2 2019
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1101,1311,966.97,1152,885.64,1036,710.96,786.5,641.17,588.2
1,Revenue Growth (YoY),13.85%,13.77%,9.18%,11.20%,24.57%,31.74%,10.88%,33.71%,27.97%,88.15%
2,Cost of Revenue,745.98,789.6,613.7,699.44,551.78,619.56,400.55,429.74,303.38,314.19
3,Gross Profit,354.92,521.22,353.27,452.73,333.87,416.55,310.4,356.76,337.78,274.01
4,"Selling, General & Admin",78.3,75.68,69.18,62.36,42.22,74.18,44.86,60.02,32.35,63.22
5,Operating Expenses,78.3,75.68,69.18,62.36,42.22,74.18,44.86,60.02,32.35,63.22
6,Operating Income,276.62,445.54,284.09,390.37,291.65,342.37,265.55,296.74,305.43,210.79
7,Interest Expense,-68.91,-58.96,-75.38,-68.19,-48.75,-65.92,-76.85,-65.25,-55,-51.69
8,Interest & Investment Income,11.26,9.96,5.7,16.59,8.53,14.62,17.81,14.79,8.85,11.75
9,Currency Exchange Gain (Loss),-0.94,1.98,-24.95,-,-41.69,-,-1.77,-,-,-
10,Other Non Operating Income (Expenses),165.02,131.49,193.15,123.33,123.83,122.99,131.74,95.11,17.3,76.42
11,EBT Excluding Unusual Items,383.05,530.01,382.6,462.1,333.57,414.07,336.47,341.39,276.58,247.27
12,Gain (Loss) on Sale of Investments,-,-,1.14,-,-,-,-2.35,2.35,-,-
13,Other Unusual Items,-,-,-,-,-,-,-,-,19.77,-
14,Pretax Income,383.05,530.01,383.74,462.1,333.57,414.07,334.12,343.74,296.36,247.27
15,Income Tax Expense,58.96,98.03,70.96,71.6,58.97,58.46,47.33,38.72,30.65,42.58
16,Earnings From Continuing Operations,324.09,431.99,312.79,390.5,274.6,355.61,286.79,305.01,265.71,204.69
17,Net Income to Company,324.09,431.99,312.79,390.5,274.6,355.61,286.79,305.01,265.71,204.69
18,Minority Interest in Earnings,-,-,-,-,-,-10.21,-13.57,-10.41,-27.03,-19.26
19,Net Income,324.09,431.99,312.79,390.5,274.6,345.4,273.22,294.6,238.69,185.43
20,Net Income to Common,324.09,431.99,312.79,390.5,274.6,345.4,273.22,294.6,238.69,185.43
21,Net Income Growth,3.61%,10.62%,13.91%,13.06%,0.51%,17.24%,14.47%,58.88%,18.74%,100.46%
22,Shares Outstanding (Basic),1553,1555,1554,1560,1558,1582,1578,1578,1541,1541
23,Shares Outstanding (Diluted),1553,1555,1554,1560,1579,1582,1703,1682,1541,1541
24,Shares Change (YoY),-0.05%,-0.30%,-1.59%,-1.37%,-7.28%,-5.99%,10.52%,9.17%,4.34%,7.51%
25,EPS (Basic),0.21,0.28,0.20,0.25,0.18,0.22,0.17,0.19,0.15,0.12
26,EPS (Diluted),0.21,0.28,0.20,0.25,0.17,0.22,0.17,0.17,0.15,0.12
27,EPS Growth,4.55%,10.96%,15.72%,14.63%,1.08%,30.61%,13.75%,38.96%,10.21%,86.15%
28,Free Cash Flow,814.6,39.84,560.19,247.31,435.94,533.41,-113.14,544.26,-303.04,604.15
29,Free Cash Flow Per Share,0.52,0.03,0.36,0.16,0.28,0.34,-0.07,0.32,-0.20,0.39
30,Dividend Per Share,-,-,0.096,0.119,0.093,0.106,0.083,0.054,0.042,0.032
31,Dividend Growth,-,-,3.23%,12.26%,12.05%,96.30%,97.62%,68.75%,16.67%,68.42%
32,Operating Margin,25.13%,33.99%,29.38%,33.88%,32.93%,33.04%,37.35%,37.73%,47.64%,35.84%
33,Profit Margin,29.44%,32.96%,32.35%,33.89%,31.01%,33.34%,38.43%,37.46%,37.23%,31.53%
34,Free Cash Flow Margin,73.99%,3.04%,57.93%,21.46%,49.22%,51.48%,-15.91%,69.20%,-47.26%,102.71%
35,EBITDA,388.29,579.92,387.19,498.03,370.73,443.38,343.92,365.34,372.9,274.63
36,D&A For EBITDA,111.67,134.38,103.1,107.66,79.08,101.01,78.37,68.6,67.46,63.84
37,EBIT,276.62,445.54,284.09,390.37,291.65,342.37,265.55,296.74,305.43,210.79
