,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1435,2332,3841,3873,4946,3859,4468,6645,7341,7890,4670
1,Market Cap Growth,-39.78%,-39.78%,-22.33%,0.35%,10.68%,-41.92%,-39.13%,-15.79%,57.21%,68.42%,-4.59%
2,Enterprise Value,3751,4991,5769,6459,7442,6252,7119,7342,8807,9278,6441
3,Last Close Price,0.93,1.51,2.32,2.21,2.73,2.12,2.25,3.29,3.60,3.94,2.32
4,PE Ratio,1.74,2.80,4.74,5.10,6.57,5.46,5.83,9.72,11.49,16.96,10.80
5,Forward PE,1.73,2.58,4.41,4.66,5.79,4.69,4.79,7.38,5.73,5.73,8.92
6,PS Ratio,0.54,0.88,1.55,1.69,2.14,1.76,2.07,3.69,4.29,5.85,3.83
7,PB Ratio,0.32,0.52,0.93,1.01,1.23,1.07,1.12,1.73,2.01,2.59,1.41
8,P/TBV Ratio,0.70,0.70,1.32,1.43,1.71,1.53,1.64,2.30,2.54,3.46,1.98
9,P/FCF Ratio,1.53,2.48,5.88,4.44,6.40,3.49,8.58,-,25.40,-,8.48
10,P/OCF Ratio,1.37,1.37,2.76,2.52,3.81,2.21,4.33,7.57,11.60,-,5.02
11,PEG Ratio,0.76,0.76,0.76,0.76,0.76,0.26,0.18,0.52,0.36,0.36,0.56
12,EV/Sales Ratio,1.41,1.88,2.33,2.82,3.23,2.86,3.29,4.07,5.15,6.88,5.29
13,EV/EBITDA Ratio,3.39,4.69,5.48,6.75,7.57,6.74,7.30,8.60,9.96,13.06,10.28
14,EV/EBIT Ratio,4.72,6.28,7.26,8.86,9.64,8.66,9.46,10.85,12.20,16.38,12.97
15,EV/FCF Ratio,3.99,5.31,8.83,7.40,9.62,5.66,13.68,-,30.47,-,11.69
16,Debt / Equity Ratio,0.86,0.86,0.73,0.77,0.78,1.05,0.81,0.94,0.67,0.70,0.50
17,Debt / FCF Ratio,4.12,4.12,4.61,3.37,4.06,3.44,6.24,-,8.44,-,3.02
18,Return on Capital Employed (ROCE),10.80%,10.80%,12.67%,12.07%,11.26%,10.73%,10.84%,10.56%,14.70%,12.82%,11.45%
19,Earnings Yield,57.96%,35.66%,21.11%,19.62%,15.22%,18.30%,17.15%,10.29%,8.71%,5.90%,9.26%
20,FCF Yield,65.51%,40.30%,17.01%,22.53%,15.64%,28.62%,11.65%,7.81%,3.94%,4.19%,11.80%
21,Dividend Yield,26.91%,-,-,10.50%,8.77%,10.67%,10.42%,5.01%,3.20%,2.06%,3.29%
22,Buyback Yield / Dilution,0.18%,0.05%,0.30%,1.59%,1.37%,7.28%,5.99%,-10.52%,-9.17%,-4.34%,-7.51%
23,Total Shareholder Return,27.09%,0.05%,0.30%,12.09%,10.15%,17.96%,16.41%,-5.50%,-5.98%,-2.29%,-4.22%
