,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,100.52,99.76,139.45,281.61,199.58,54.86,89.07,134.51,136.08,60.74,180.3,69.5,62.53,47.28,88.1,128.99
1,Revenue Growth (YoY),-49.64%,81.86%,56.56%,109.36%,46.66%,-9.69%,-50.60%,93.55%,117.62%,28.46%,104.64%,-46.12%,-,-,-,-
2,Cost of Revenue,-99.2,19.74,33.13,46.33,61.44,-10.07,43.12,46.02,60.66,24.37,64.95,23.96,17.44,13.5,19.32,26.99
3,Gross Profit,199.72,80.02,106.32,235.28,138.14,64.92,45.95,88.49,75.43,36.37,115.35,45.53,45.1,33.78,68.79,102
4,"Selling, General & Admin",-87.86,30.37,26.36,31.13,33.76,23.67,21.05,20.63,30.86,24.88,18.93,16.16,22.48,18.72,23.42,19.35
5,Research & Development,-60.99,16.78,22.23,21.98,18.71,11.74,12.68,9.99,23.7,14.36,23.24,10.88,8.25,6.81,9.85,6.2
6,Other Operating Expenses,345.76,-0.14,0.75,0.66,6.27,0.01,-2.42,-2.42,2.47,2.22,2.29,-11.93,3.18,0.29,-1.68,1.08
7,Operating Expenses,183.86,44.04,46.36,72.78,62.26,34.92,33.51,27.87,59.65,38.12,47.6,15.31,33.58,25.82,31.7,26.48
8,Operating Income,15.86,35.98,59.96,162.5,75.88,30,12.43,60.62,15.77,-1.75,67.75,30.22,11.51,7.96,37.08,75.53
9,Interest Expense,-22.85,-0.03,-0.03,-0.04,-0.04,-0.05,-0.05,-0.06,-0.18,-2.06,-0.07,-0.09,-0.02,-0.02,-0.02,-0.07
10,Interest & Investment Income,0.09,7.92,8.75,6.18,6.02,7.17,4.83,6.55,6.54,0.17,1.82,1.04,0.3,0.84,1.43,1.01
11,Currency Exchange Gain (Loss),-,-0.5,0.5,-,0.57,-1.92,1.92,-,42.65,-22.68,22.68,-,-9.76,-,-2.57,2.57
