,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,543.76,473.61,234.03,166.46,-,300.97,456.14,388.67,469.21,494.77,445.89,479.74,-,-,-
1,Trading Asset Securities,-,1318,1327,1585,1531,-,1149,977.73,1115,983.04,130.95,137.06,87.25,-,-,-
2,Cash & Short-Term Investments,1862,1862,1801,1819,1697,-,1450,1434,1503,1452,625.73,582.95,566.99,-,-,596.32
3,Cash Growth,9.71%,-,24.23%,26.85%,12.89%,-,131.65%,145.97%,165.14%,-,-,-2.24%,-,-,-,-
4,Accounts Receivable,-,51.94,65.44,77.24,105.17,-,111.68,123.45,124.31,71.06,70.38,5.04,4.13,-,-,-
5,Other Receivables,-,3.93,3.82,2.55,1.68,-,3.18,3.92,10.63,4.01,6.52,-,0.27,-,-,-
6,Receivables,-,55.88,69.27,79.79,106.86,-,114.86,127.37,134.95,75.08,76.9,5.04,4.4,-,-,-
7,Inventory,-,45.4,43.95,67.14,61.51,-,44.21,75.08,74.8,47.04,53.94,41.43,43.63,-,-,-
8,Other Current Assets,-,8.4,9,10.99,7.2,-,9.64,21.56,24.46,40.28,38.51,48.25,32.81,-,-,-
9,Total Current Assets,-,1971,1923,1977,1873,-,1618,1658,1738,1615,795.09,677.66,647.83,-,-,-
10,"Property, Plant & Equipment",-,108.86,111.58,115.7,118.39,-,145.57,148.63,130.29,125.82,118.6,113.25,116.93,-,-,-
11,Long-Term Investments,-,35,31.72,21,34.26,-,22.58,23.51,6.94,6,5,5,5,-,-,-
12,Other Intangible Assets,-,6.85,6.9,6.96,7.02,-,7.14,7.2,7.25,7.31,7.37,7.43,7.49,-,-,-
13,Long-Term Deferred Tax Assets,-,18.58,20.08,16.18,13.41,-,5.95,2.64,2.26,1.82,1.81,1.23,1.22,-,-,-
14,Long-Term Deferred Charges,-,12.41,13.23,14.15,8.65,-,9.31,10.62,12.02,3.82,5.19,5.79,7.31,-,-,-
15,Other Long-Term Assets,-,16.97,15.72,26.32,11.31,-,23.1,14.44,46.3,18.99,22.46,16.07,12.1,-,-,-
16,Total Assets,-,2170,2122,2177,2066,-,1832,1865,1943,1778,955.52,826.44,797.87,-,-,-
17,Accounts Payable,-,45.67,47.62,65.15,63.57,-,41.47,60.19,71.56,39.79,52.17,16.04,21.16,-,-,-
18,Accrued Expenses,-,28.93,28,20.8,25.37,-,12.41,7.74,27.44,15.64,9.48,14.62,20.31,-,-,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,17.62,17.59,10.01,10.01,-,-,-,-
20,Current Portion of Leases,-,1.6,1.72,1.62,1.96,-,2.86,3.21,3.01,2.58,2.01,0.75,0.88,-,-,-
21,Current Income Taxes Payable,-,0.92,2.62,14.53,16.34,-,8.08,14.63,4.31,16.75,17.94,1.16,2.64,-,-,-
22,Current Unearned Revenue,-,32.46,31.6,66.33,100.66,-,9.95,22.84,105.1,9.02,7.55,10.97,5.9,-,-,-
23,Other Current Liabilities,-,10.69,9.87,10.71,7.34,-,2.91,4,14.06,1.64,1.71,1.36,1.27,-,-,-
24,Total Current Liabilities,-,120.28,121.43,179.13,215.23,-,77.69,112.6,243.11,103.01,100.87,54.91,52.15,-,-,-
