,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4721,4948,5992,5185,5044,3403,2844,3306,3378,3241,2931,-,-,-,-,-,-
1,Market Cap Growth,45.41%,45.41%,110.71%,56.83%,49.30%,5.00%,-2.97%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2862,3088,4194,3369,3562,1921,1398,1878,1898,1811,2319,-,-,-,-,-,-
3,Last Close Price,34.60,36.26,43.91,38.11,36.70,24.76,20.69,24.06,24.42,23.42,21.18,-,-,-,-,-,-
4,PE Ratio,19.12,20.14,18.05,17.12,18.95,19.56,25.96,27.66,18.96,21.51,20.49,-,-,-,-,-,-
5,PS Ratio,7.56,7.96,8.32,7.68,8.07,7.12,6.86,7.86,6.60,7.26,7.86,-,-,-,-,-,-
6,PB Ratio,2.31,2.42,2.93,2.60,2.54,1.85,-,1.89,1.94,1.92,1.76,-,-,-,-,-,-
7,P/TBV Ratio,2.43,2.43,2.94,2.61,2.54,1.85,-,1.90,1.95,1.93,1.77,-,-,-,-,-,-
8,P/FCF Ratio,-,-,14.75,13.49,12.93,14.01,31.69,72.63,-,47.17,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,13.85,12.69,12.22,13.10,22.53,36.46,-,25.64,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.61,4.97,5.82,4.99,5.70,4.02,3.37,4.47,3.71,4.06,6.22,-,-,-,-,-,-
11,EV/EBITDA Ratio,9.66,10.45,11.80,9.68,11.82,9.69,10.19,17.93,11.98,14.17,18.99,-,-,-,-,-,-
12,EV/EBIT Ratio,10.43,11.26,12.54,10.26,12.68,10.73,11.77,21.56,13.33,16.17,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,10.33,8.77,9.13,7.91,15.58,41.25,-,26.36,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.01,0.01,0.02,0.01,0.00,-,-,0.01
15,Debt / EBITDA Ratio,0.01,0.02,0.01,0.01,0.00,0.01,-,0.06,0.02,0.28,8.82,0.05,0.08,0.02,-,-,0.03
16,Debt / FCF Ratio,-,-,0.01,0.01,0.01,0.01,-,0.10,-,0.34,-,0.21,0.23,0.03,-,-,3.82
17,Asset Turnover,-,0.19,0.26,-,-,-,0.19,0.28,0.29,0.18,0.81,0.34,-,-,-,-,
18,Inventory Turnover,-,-,1.77,2.39,-,-,-,2.89,2.46,3.98,1.93,5.45,2.25,-,-,-,-
19,Quick Ratio,-,-,15.94,15.40,10.60,8.38,-,20.14,13.86,6.74,14.83,6.97,10.71,10.96,-,-,-
20,Current Ratio,-,-,16.39,15.84,11.04,8.70,-,20.83,14.72,7.15,15.67,7.88,12.34,12.42,-,-,-
21,Return on Equity (ROE),0.21%,7.60%,12.09%,-,-,-,5.41%,12.54%,5.48%,6.09%,40.82%,14.03%,-,-,-,-,
22,Return on Assets (ROA),-,4.19%,6.97%,-,-,-,1.68%,7.96%,2.12%,-0.32%,19.01%,9.30%,-,-,-,-,
23,Return on Capital (ROIC),1.94%,4.45%,7.52%,-,-,-,1.78%,8.76%,2.32%,-0.34%,20.70%,9.97%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,16.31%,16.41%,14.06%,9.67%,-,4.96%,8.13%,6.59%,-,13.74%,11.25%,17.71%,-,-,-
25,Earnings Yield,5.20%,4.97%,5.54%,5.84%,5.28%,5.11%,3.85%,3.62%,5.27%,4.65%,4.88%,-,-,-,-,-,-
26,FCF Yield,-,6.78%,7.41%,7.74%,7.14%,3.16%,1.38%,0.80%,2.12%,2.12%,-,-,-,-,-,-,
27,Dividend Yield,1.17%,-,-,-,-,1.62%,-,-,-,0.71%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,1.55%,89.45%,-,-,-,103.30%,0.04%,0.19%,0.24%,0.08%,0.24%,-,18.80%,182.52%,0.10%
29,Buyback Yield / Dilution,0.11%,1.92%,-1.67%,0.30%,-1.47%,-39.14%,26.39%,-32.46%,-32.74%,2.91%,-77.99%,-1.83%,0.23%,-,-,-,-
30,Total Shareholder Return,1.28%,1.92%,-1.67%,0.30%,-1.47%,-37.53%,26.39%,-32.46%,-32.74%,3.62%,-77.99%,-1.83%,0.23%,-,-,-,-
