,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,366.18,321.8,324.63,428.9,725.01,829.69,1193,1163,1153,1194,1428,1163,1255,1319,2104,157.91,150.73,202.19,-,202.64
1,Cash & Short-Term Investments,366.18,321.8,324.63,428.9,725.01,829.69,1193,1163,1153,1194,1428,1163,1255,1319,2104,157.91,150.73,202.19,202.64,202.64
2,Cash Growth,-49.49%,-61.21%,-72.78%,-63.13%,-37.12%,-30.53%,-16.50%,0.00%,-8.15%,-9.45%,-32.11%,636.68%,732.83%,552.40%,938.22%,-22.07%,-,-,-,-
3,Accounts Receivable,1483,1332,1152,1112,1123,1075,877.06,1059,1058,1086,1107,1178,1149,1063,918.28,942.8,1136,1232,-,1091
4,Other Receivables,2.41,0.35,3.94,9.18,21.5,9.49,13.22,42.08,6.1,-,5.2,0,5.65,0.81,6.6,0.07,9.38,0.03,-,3.2
5,Receivables,1485,1332,1156,1121,1144,1085,890.28,1101,1065,1086,1112,1178,1155,1064,924.88,942.87,1146,1232,-,1094
6,Inventory,984.6,825.44,666.64,639.93,589.19,552.35,620.66,674.11,662.99,683.8,703.38,677.29,702.65,664.11,597.88,554.95,643.67,700.07,-,524
7,Other Current Assets,19.04,39.02,15.1,52.54,6.88,14.15,30.58,50.75,20.44,29.85,17.8,28.08,16.12,108.85,93.85,101.92,68.76,53.34,-,25.14
8,Total Current Assets,2855,2518,2163,2242,2465,2481,2734,2989,2901,2994,3261,3047,3129,3156,3720,1758,2009,2188,-,1846
9,"Property, Plant & Equipment",3788,3800,3790,3767,3787,3793,3748,3781,3540,3286,3089,3074,2997,2928,2849,2691,2565,2277,-,1794
10,Long-Term Investments,21.98,21.96,22.37,22.33,22.5,22.5,22.5,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Other Intangible Assets,180.14,173.36,176.85,93.81,96.98,98.62,99.74,102.86,97.98,99.23,87.5,86.81,87.28,87.15,85.36,85.95,81.16,78.56,-,86.5
12,Long-Term Deferred Tax Assets,118.59,123.4,126.08,122.53,121.44,108.93,100.47,87.13,48.88,50.67,50.49,52.5,49.66,45.7,42.07,35,26.13,20.15,-,18.77
13,Other Long-Term Assets,1.25,2.05,-,36.06,0.54,0.98,1,1.12,18.78,111.78,169.77,168.45,21.24,0.09,0.44,1.83,17.46,9.71,-,6.95
14,Total Assets,6965,6639,6278,6284,6493,6505,6706,6961,6607,6542,6658,6428,6284,6217,6697,4571,4699,4573,-,3751
15,Accounts Payable,1346,986.72,971.43,747.27,851.48,505.51,834.55,524.77,848.03,705.9,1025,921.45,1103,992.45,956.06,1000,1134,834.51,-,847.86
16,Accrued Expenses,102.87,189.88,78,195.16,88.18,230.18,77.62,307.91,116.43,228.23,118.31,199.32,101.86,150.91,151.97,211.43,231.43,211.33,-,208.6
17,Short-Term Debt,1126,966.4,854.74,862.34,824.13,754.87,619.05,645.69,795.73,775.41,759.86,731.53,886.65,1078,1315,1165,1199,1069,-,641.95
18,Current Portion of Long-Term Debt,6.47,6.26,6.15,0.15,280.16,372.42,466.45,456.37,85.52,2.5,14.44,0.7,110.15,100.18,110.84,171.84,74.9,77.77,-,105.31
19,Current Portion of Leases,-,0.27,-,4.85,-,8.97,-,10.18,-,12.83,-,11.71,-,9.53,-,-,-,-,-,-
20,Current Income Taxes Payable,18.79,0.18,5.04,0.13,14.06,0.09,8.14,-,11.3,-,5.32,3.07,14.36,0.13,23.68,-,8.47,23.8,-,21.42
21,Current Unearned Revenue,2.81,1.66,3.14,3.87,3.63,3,1.63,0.98,1.03,2.01,1.46,1.65,1.89,2.78,2.33,16.85,19.97,1.72,-,-
22,Other Current Liabilities,109.42,242.62,96.02,236.24,142.54,276.37,180.2,503.34,166.9,238.4,107.68,206.73,73.64,11.64,50.37,21.46,19.69,437.9,-,25.98
23,Total Current Liabilities,2712,2394,2015,2050,2204,2151,2188,2449,2025,1965,2032,2076,2292,2345,2610,2587,2687,2656,-,1851
24,Long-Term Debt,41,188,180,180,219.7,254.7,304.21,304.21,467.42,537.37,546.78,346.83,70,-,-,-,100,100,-,176.08
25,Long-Term Leases,33.48,35.16,28.99,20.68,33.59,35.08,36.63,38.69,58.15,58.5,59.47,62.53,61.16,63.61,67.17,-,-,-,-,-
26,Long-Term Unearned Revenue,85.72,87.81,60,61.53,54.58,54.23,47.7,40.92,37.57,36.67,29.17,26.57,26.38,26.95,27.52,28.66,17.08,17.41,-,2.15
27,Long-Term Deferred Tax Liabilities,43.96,45.24,45.25,45.13,48.07,49.06,50.01,44.14,11.41,11.71,12.01,12.32,12.62,12.94,13.23,13.58,-,-,-,-
28,Total Liabilities,2916,2750,2329,2357,2560,2544,2626,2877,2599,2610,2679,2524,2462,2449,2718,2630,2805,2773,-,2029
29,Common Stock,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,665.46,665.46,665.46,-,665.46
30,Additional Paid-In Capital,2333,2273,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,444.8,444.8,444.8,-,444.8
31,Retained Earnings,1027,937.02,867.38,840.93,848.28,875.5,995.01,999.02,922.03,847.1,893.92,819.2,737.48,683.86,893.8,831.9,785.6,689.65,-,612.27
32,Treasury Stock,-149.97,-149.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,6.27,-3.47,-3.06,0.57,-0.15,-0.01,-0.13,-0.1,-0.05,-0.07,-0.34,-0.5,-0.55,-0.85,-0.25,-0.39,-1.69,-0.09,-,-0.42
34,Shareholders' Equity,4048,3889,3950,3927,3933,3961,4080,4084,4007,3932,3979,3904,3822,3768,3979,1942,1894,1800,1722,1722
35,Total Liabilities & Equity,6965,6639,6278,6284,6493,6505,6706,6961,6607,6542,6658,6428,6284,6217,6697,4571,4699,4573,-,3751
36,Total Debt,1207,1196,1070,1068,1358,1426,1426,1455,1407,1387,1381,1153,1128,1251,1493,1337,1374,1247,923.34,923.34
37,Net Cash (Debt),-840.71,-874.29,-745.25,-639.13,-632.57,-596.35,-233.79,-291.81,-253.82,-192.26,47.63,10.02,127.36,68.11,610.54,-1179,-1223,-1045,-720.7,-720.7
38,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-92.20%,-,-,-,-,-,-,-,-,-
39,Net Cash Per Share,-1.01,-1.21,-0.85,-0.93,-0.86,-0.72,-0.28,-0.38,-0.30,-0.22,0.06,0.01,0.15,0.08,0.85,-1.78,-1.80,-1.61,-1.07,-1.06
40,Filing Date Shares Outstanding,816.3,816.3,822.92,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,665.46,665.46,665.46,671.02,665.46
41,Total Common Shares Outstanding,816.3,816.3,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,831.82,665.46,665.46,665.46,671.02,665.46
42,Working Capital,142.55,124.39,148,192.16,261.2,329.69,546.44,540.23,876.08,1029,1229,970.52,837.47,810.66,1110,-829.72,-678.67,-468.22,-,-5.43
43,Book Value Per Share,4.96,4.76,4.75,4.72,4.73,4.76,4.90,4.91,4.82,4.73,4.78,4.69,4.59,4.53,4.78,2.92,2.85,2.70,2.59,2.59
44,Tangible Book Value,3868,3715,3773,3833,3836,3862,3980,3981,3909,3833,3891,3817,3735,3681,3893,1856,1813,1721,1636,1636
45,Tangible Book Value Per Share,4.74,4.55,4.54,4.61,4.61,4.64,4.79,4.79,4.70,4.61,4.68,4.59,4.49,4.43,4.68,2.79,2.72,2.59,2.46,2.46
46,Buildings,-,1686,-,1654,-,1258,-,1231,-,1016,-,1008,-,988.77,-,667.95,654.62,533.37,-,555.69
47,Machinery,-,3259,-,3155,-,2889,-,2540,-,2355,-,2424,-,2359,-,1961,1884,1789,-,1805
48,Construction In Progress,-,279.14,-,242.85,-,775.6,-,1011,-,697.18,-,413.68,-,244.62,-,747.01,769.64,671.89,-,125.37
