,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,1299,995.41,884.61,745.12,868.45,780.04,742.6,731.22,944.77,870.55,860.36,847.13,1037,827.72,802.28,751.67,934.74,1104,771.96,976.63
1,Other Revenue,-93.14,93.14,-,136.79,-60.39,60.39,-,127.79,-68.15,68.15,-,133.26,-58.75,58.75,-,71.25,-30.31,30.31,-,5.28
2,Revenue,1206,1089,884.61,881.92,808.06,840.43,742.6,859.01,876.61,938.7,860.36,980.39,978.26,886.47,802.28,822.92,904.43,1134,771.96,981.91
3,Revenue Growth (YoY),49.27%,29.52%,19.12%,2.67%,-7.82%,-10.47%,-13.69%,-12.38%,-10.39%,5.89%,7.24%,19.14%,8.16%,-21.84%,3.93%,-16.19%,-,-,-,-
4,Cost of Revenue,882.87,889.49,717.63,860.62,649.62,746.5,607.07,699.8,638.02,747.1,653.5,813.76,774.79,736.77,629.07,714.09,629.29,817.26,541.25,708.43
5,Gross Profit,323.3,199.06,166.98,21.3,158.44,93.92,135.54,159.21,238.59,191.59,206.87,166.63,203.47,149.7,173.21,108.83,275.14,316.93,230.72,273.48
6,"Selling, General & Admin",102.3,84.71,68.53,62.14,61.21,57.33,72.22,78.6,71.26,64.78,54.93,59.53,61.92,50.8,46.75,37.76,70.65,71.25,45.65,74.14
7,Research & Development,82.74,67.47,48.71,52.33,50.79,50.27,39.33,48.79,46.04,56.62,44.15,52.91,47.93,49.01,39.73,25.83,43.22,52.6,34.56,39.1
8,Other Operating Expenses,-3.66,1.39,1.38,20.25,1.76,0.31,-2.34,13.15,0.64,2.97,2.84,14.5,3.16,2.68,4.27,13.48,5.92,3.49,-1.02,5.72
9,Operating Expenses,181.67,153.48,116.93,135.43,114.25,107.45,111.37,139.82,116.38,123.98,102,127.02,112.86,102.55,91.16,77.22,118.4,129.9,77.91,117.67
