,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,23705,20120,15948,7636,9458,9142,10065,9649,7744,7378,9092,9017,11612,10847,12086,12760,-,-,-,-,-
1,Market Cap Growth,120.09%,120.09%,58.45%,-20.86%,22.13%,23.90%,10.70%,7.01%,-33.31%,-31.98%,-24.78%,-29.34%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,24546,20995,16693,8275,10090,9738,10299,9941,7998,7571,9044,9007,11485,10779,11476,13939,-,-,-,-,-
3,Last Close Price,29.04,24.45,19.38,9.18,11.37,10.99,12.10,11.42,9.17,8.73,10.76,10.51,13.54,12.65,14.09,14.52,-,-,-,-,-
4,PE Ratio,126.35,112.29,259.22,1397.77,-,-,62.32,-,24.75,23.23,30.68,32.83,43.94,47.40,44.57,32.20,-,-,-,-,-
5,Forward PE,35.72,18.75,18.75,18.75,18.75,18.75,18.75,18.75,17.04,17.04,17.04,17.04,17.04,17.04,18.63,21.01,-,-,-,-,-
6,PS Ratio,5.57,4.95,4.35,2.24,2.89,2.81,3.03,2.82,2.19,2.02,2.42,2.43,3.18,3.11,3.54,3.48,-,-,-,-,-
7,PB Ratio,5.86,4.97,4.10,1.93,2.41,2.32,2.54,2.36,1.90,1.84,2.31,2.27,2.97,2.84,3.21,3.21,-,-,-,-,-
8,P/TBV Ratio,5.20,5.20,4.29,2.02,2.47,2.38,2.61,2.42,1.95,1.89,2.37,2.32,3.04,2.90,3.28,3.28,-,-,-,-,-
9,P/FCF Ratio,-,-444.57,-180.55,-,-,-,-,156.02,-,-48.67,-84.72,-23.25,-,-41.90,-,-,-,-,-,-,-
10,P/OCF Ratio,49.89,49.89,42.98,29.19,21.92,18.84,16.22,12.57,10.45,10.92,13.01,19.37,27.55,16.47,-,19.27,-,-,-,-,-
11,EV/Sales Ratio,6.04,5.17,4.56,2.42,3.08,3.00,3.10,2.91,2.26,2.07,2.41,2.43,3.15,3.09,3.36,3.80,-,-,-,-,-
12,EV/EBITDA Ratio,58.46,52.27,56.13,36.70,-,30.49,26.30,21.34,14.79,13.64,17.74,18.77,25.91,25.48,23.56,22.61,-,-,-,-,-
13,EV/EBIT Ratio,199.36,170.52,649.93,-247.70,-,131.21,-,42.60,25.47,22.65,29.88,31.92,44.27,42.88,36.14,30.47,-,-,-,-,-
14,EV/FCF Ratio,-542.36,-463.89,-188.99,-,-,-,-,160.73,-,-49.94,-84.27,-23.22,-,-41.63,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.30,0.30,0.31,0.27,0.27,0.35,0.36,0.35,0.36,0.35,0.35,0.35,0.30,0.30,0.33,0.38,0.69,0.73,0.69,0.54,0.54
16,Debt / EBITDA Ratio,2.87,1.45,2.34,2.29,-,3.26,6.20,4.25,3.92,2.00,2.60,2.17,2.65,2.16,3.05,3.05,4.56,1.76,1.38,1.28,1.22
17,Debt / FCF Ratio,-,-26.67,-13.54,-,-,-,-,23.06,-,-9.28,-12.92,-3.56,-,-4.36,-,-,-5.89,-,-,169.86,-
18,Asset Turnover,0.71,0.67,0.56,0.55,0.50,0.51,0.43,0.51,0.53,0.57,0.53,0.62,0.63,0.55,0.57,0.71,0.78,-,-,-,
19,Inventory Turnover,4.26,3.90,4.77,4.39,5.60,4.55,5.09,3.75,4.19,3.79,4.31,3.79,4.72,4.54,4.67,4.37,4.77,3.75,-,-,-
20,Quick Ratio,0.68,0.68,0.69,0.74,0.76,0.85,0.89,0.95,0.92,1.10,1.16,1.25,1.13,1.05,1.02,1.16,0.43,0.48,0.54,-,0.70
21,Current Ratio,1.05,1.05,1.05,1.07,1.09,1.12,1.15,1.25,1.22,1.43,1.52,1.60,1.47,1.37,1.35,1.43,0.68,0.75,0.82,-,1.00
22,Return on Equity (ROE),9.12%,7.11%,2.69%,-0.75%,-2.76%,1.35%,-0.39%,7.61%,7.55%,8.72%,7.58%,8.46%,5.65%,6.67%,8.70%,9.66%,20.78%,43.07%,24.94%,-,
23,Return on Assets (ROA),5.21%,1.76%,1.99%,-4.47%,1.70%,-0.51%,0.88%,0.71%,4.65%,2.56%,4.01%,1.56%,3.62%,1.82%,3.64%,1.70%,8.45%,-,-,-,
24,Return on Capital (ROIC),6.85%,2.25%,2.50%,-5.55%,2.07%,-0.62%,1.09%,0.88%,5.69%,3.17%,5.03%,1.98%,4.54%,2.25%,4.69%,2.41%,12.41%,16.43%,14.44%,-,
25,Return on Capital Employed (ROCE),2.90%,2.90%,0.61%,-0.78%,-,1.73%,-,5.16%,6.96%,7.30%,6.61%,6.10%,5.96%,6.30%,8.20%,11.19%,26.62%,32.44%,25.85%,-,8.20%
26,Earnings Yield,0.76%,0.89%,0.39%,0.07%,-0.26%,0.65%,1.60%,2.43%,4.04%,4.31%,3.26%,3.05%,2.28%,2.11%,2.24%,3.11%,-,-,-,-,-
27,FCF Yield,-0.19%,-0.22%,-0.55%,-4.60%,-1.98%,-2.06%,-1.62%,0.64%,0.69%,-2.05%,-1.18%,-4.30%,-4.84%,-2.39%,-4.06%,-3.90%,-,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,1.75%,-,-,-,1.18%,-,-,-,-,-,-,-,-
