,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1844006,2628,8255,162197,67971,354821,2449,192274,14635,11115,853377,625448,1228829,1267565,537719,586112,1413496,1315902,552357,629456,Upgrade
1,Revenue Growth (YoY),2612.94%,-99.26%,237.08%,-15.64%,364.45%,3092.30%,-99.71%,-69.26%,-98.81%,-99.12%,58.70%,6.71%,-13.06%,-3.67%,-2.65%,-6.89%,36.42%,232.48%,109.75%,-63.08%,Upgrade
2,Cost of Revenue,1146847,1284,6563,943.82,9088,43638,715.78,20374,27799,4948,95226,99330,111997,411581,132046,201143,692401,677615,339113,380168,Upgrade
3,Gross Profit,697159,1344,1693,161253,58883,311183,1733,171900,-13165,6167,758151,526118,1116831,855984,405673,384969,721095,638287,213244,249288,Upgrade
4,"Selling, General & Admin",123388,48369,46415,46537,74884,48302,44525,46202,72489,74201,88598,65467,82173,60611,48810,47340,73388,68317,55022,51384,Upgrade
5,Operating Expenses,123388,48369,46415,46537,74884,48302,44525,46202,72489,74201,88598,65467,82173,60611,48810,47340,73388,68317,55022,51384,Upgrade
6,Operating Income,573771,-47025,-44722,114716,-16001,262881,-42792,125699,-85654,-68034,669553,460652,1034659,795373,356862,337629,647707,569970,158222,197904,Upgrade
7,Interest Expense,-71957,-74415,-72976,-65513,-636474,-92420,-78954,-96183,-1413311,-139385,-118404,-106097,-77143,-39355,-29258,-19991,-16110,-9723,-0.91,-,Upgrade
8,Interest & Investment Income,3732,987.48,395598,1141,-,550.57,531943,399.13,-,463.16,1249394,536.65,4.32,460.11,941.48,247.9,3863,999.08,843.42,416.78,Upgrade
9,Earnings From Equity Investments,-15828,-17162,-9153,-7688,-10550,-6794,-5369,-492.83,-12.55,-12.63,-16.05,-15.08,-113.32,-,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-34904,-,-,-,-22216,-20700,18600,2100,-24400,-18000,18000,-,2543,-,2318,225,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),-7064,23301,11488,33634,106645,-2631,-57732,-514.68,156719,-861.02,-156145,-1440,-12745,3539,-8662,-3182,1837,-7974,-7339,-395.79,Upgrade
12,EBT Excluding Unusual Items,447750,-114313,280235,76290,-578595,140886,365696,31008,-1366659,-225829,1662383,353636,947205,760017,322202,314928,637298,553272,151726,197925,Upgrade
13,Gain (Loss) on Sale of Investments,-,193055,-193055,-,942376,-,-,-,1163068,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,3942,-,-,-,-104218,1146624,-1146624,-,-,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,447750,78742,87179,76290,367723,140886,365696,31008,-307809,920794,515759,353636,947205,760017,322202,314928,637298,553272,151726,197925,Upgrade
16,Income Tax Expense,78593,27533,37401,23653,85049,39208,89985,8569,-69312,209590,107225,74246,195737,152932,71220,63856,134922,114346,30856,39843,Upgrade
