,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,343676,220698,1189922,19305,505107,52588,213743,218270,261762,50724,599076,349983,494030,290433,296824,7799,53166,46290,300162,39490,Upgrade
1,Short-Term Investments,115370,15370,15370,20554,15370,16753,15370,16753,9370,23018,22428,22428,21590,24400,24400,12180,12180,-,-,-,Upgrade
2,Cash & Short-Term Investments,459046,236069,1205293,39859,520477,69342,229113,235024,271133,73743,621505,372411,515621,314833,321224,19980,65347,46290,300162,39490,Upgrade
3,Cash Growth,-11.80%,240.44%,426.07%,-83.04%,91.96%,-5.97%,-63.14%,-36.89%,-47.42%,-76.58%,93.48%,1763.96%,689.05%,580.14%,7.02%,-49.41%,-89.89%,-79.90%,47.02%,101.88%,Upgrade
4,Accounts Receivable,3841806,2928461,2551432,2800491,2301457,2375887,2216406,2150704,2075830,1984902,1848622,398914,663370,834410,364147,246431,169191,333419,565460,587709,Upgrade
5,Other Receivables,832194,631732,639170,587250,897436,852221,866095,1483024,2571681,3626247,2008006,1398110,1125023,1218032,1143038,1257551,1346331,240966,260391,296617,Upgrade
6,Receivables,4699000,3590193,3190603,3417741,3228893,3258108,3112501,3633728,4677512,5611149,3856628,1797024,1788393,2052442,1507185,1503982,1515522,574385,825851,884326,Upgrade
7,Inventory,13400486,12853545,12524463,12302379,12199560,12157739,12170540,12131633,12181241,13377932,13106516,12225033,12192038,11920885,12016854,10632120,9331028,9780800,8018725,7768686,Upgrade
8,Prepaid Expenses,2721,2133,1352,2252,5089,4481,5668,8331,33744,64766,47510,6634,5578,4851,5801,3014,4700,2597,2508,2830,Upgrade
