,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2765,569.9,889.22,1190,456.77,1139,597.86,1031,1090,1313,Upgrade
1,Short-Term Investments,-,-,-,-,-,80.7,-,-,-,-,Upgrade
2,Trading Asset Securities,182.16,110.83,131.82,98.31,30.42,44.85,54.71,17.97,11.05,3.31,Upgrade
3,Cash & Short-Term Investments,2947,680.74,1021,1288,487.19,1265,652.57,1049,1101,1317,Upgrade
4,Cash Growth,188.64%,-47.15%,109.58%,1.82%,-25.34%,20.58%,-40.75%,-20.32%,-5.81%,7.28%,Upgrade
5,Accounts Receivable,2777,2417,871.36,936.34,1380,1061,311.48,88.73,41.09,54.74,Upgrade
6,Other Receivables,1326,2055,1158,1112,175.83,158.64,142.67,66.26,65.29,55.95,Upgrade
7,Receivables,4103,4472,2030,2049,2419,1220,454.15,154.99,106.38,110.7,Upgrade
8,Inventory,2.75,2.9,1.32,0.99,1.36,2.26,8.7,8.84,30.18,30.32,Upgrade
9,Prepaid Expenses,33.04,19.52,281.95,31.4,155.91,326.98,74.79,18.83,29.36,32.29,Upgrade
10,Other Current Assets,1954,1518,2011,1832,1451,1179,296.37,2.63,5.69,3.11,Upgrade
11,Total Current Assets,9040,6694,5345,5201,4515,3993,1487,1234,1273,1493,Upgrade
12,"Property, Plant & Equipment",154.65,133.54,79.77,72.7,70.19,77.43,44.96,26.29,35.45,33.82,Upgrade
13,Long-Term Investments,3127,3438,669.04,524.12,169.68,170.99,20.68,0.55,0.57,0.63,Upgrade
14,Goodwill,4215,4215,4215,4215,4215,4215,4215,-,-,-,Upgrade
15,Other Intangible Assets,2350,2160,2505,3133,2285,2088,2500,2.17,2.24,2.51,Upgrade
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,2.24,-,Upgrade
17,Long-Term Deferred Tax Assets,19.15,10.11,91.49,19.92,1.77,1.69,8.76,3.28,2.01,7.3,Upgrade
18,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,0.42,Upgrade
19,Other Long-Term Assets,93.11,30.53,143.58,53.83,94.4,74.4,30.99,6.6,3.24,0.1,Upgrade
20,Total Assets,18999,16681,13048,13219,11350,10620,8307,1273,1319,1538,Upgrade
21,Accounts Payable,484.11,357.42,355.47,560.46,159.98,50.42,218.63,8.12,12.45,15.55,Upgrade
22,Accrued Expenses,171.12,151,57.15,68.48,-,40.44,17.34,15.11,10.62,23.74,Upgrade
23,Current Portion of Long-Term Debt,176.39,108.91,50,50,150,150,-,-,27.27,53.57,Upgrade
24,Current Portion of Leases,24.93,22.45,14.77,14.49,7.88,13.53,17.19,4.93,12.7,13.47,Upgrade
25,Current Income Taxes Payable,578.75,412.62,205.71,198.98,145.47,168.43,56.15,0.92,1.44,4.63,Upgrade
26,Current Unearned Revenue,359.76,160.12,511.46,55.38,66.85,16.08,53.91,4.2,6.97,18.14,Upgrade
27,Other Current Liabilities,2684,2208,1874,1094,2180,1286,1966,45,73.93,260.49,Upgrade
28,Total Current Liabilities,4479,3421,3069,2042,2710,1725,2329,78.26,145.39,389.6,Upgrade
29,Long-Term Debt,1700,1646,1815,1720,1443,1373,150,-,-,-,Upgrade
30,Long-Term Leases,51.36,36.19,24.25,21.7,27.51,26.8,16.98,11.81,10.77,6.65,Upgrade
