,Fiscal Quarter,Q4 2024,Q4 2023,Q4 2016,Q4 2015,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Revenue,1723894,1470832,858952,741954,719254,359627,687734,1317622
1,Revenue Growth (YoY),139.68%,308.99%,24.90%,-43.69%,-,-,-,-
2,Cost of Revenue,1483952,1294013,740290,641527,632521,316261,616039,1132991
3,Gross Profit,239942,176818,118661,100427,86733,43366,71694,184631
4,"Selling, General & Admin",65259,69814,66596,71481,42550,21275,42527,82790
5,Operating Expenses,65259,69814,66596,71481,42550,21275,42527,82790
6,Operating Income,174682,107004,52065,28947,44183,22092,29167,101841
7,Interest Expense,-11760,-13324,-34801,-8320,-30160,-15080,-35031,-71331
8,Interest & Investment Income,66.07,62.09,194.29,619.82,2337,1169,5632,4651
9,Other Non Operating Income (Expenses),-434.68,-1855,6.66,-2745,-90.84,-45.42,517.04,3250
10,EBT Excluding Unusual Items,162554,91886,17466,18502,16270,8135,284.86,38412
11,Other Unusual Items,-58345,1026,-,-,-,-,-,-
12,Pretax Income,104209,92912,17466,18502,16270,8135,284.86,38412
13,Income Tax Expense,21726,19783,2984,4252,4067,2034,71.22,9675
14,Net Income,82483,73130,14481,14250,12202,6101,213.65,28737
15,Net Income to Common,82483,73130,14481,14250,12202,6101,213.65,28737
16,Net Income Growth,575.95%,1098.60%,6678.13%,-50.41%,-,-,-,-
17,Shares Outstanding (Basic),45,45,45,16,-,-,0,33
18,Shares Outstanding (Diluted),45,45,45,16,-,-,0,33
19,Shares Change (YoY),-,-,36827.40%,-51.10%,-,-,-,-
20,EPS (Basic),1834.00,1626.00,324.00,895.00,-,-,1765.16,882.58
21,EPS (Diluted),1834.00,1626.00,324.00,895.00,-,-,1765.16,882.58
22,EPS Growth,-,-,-81.64%,1.41%,-,-,-,-
23,Free Cash Flow,-,-,-,-,62016,62016,-4921,-4921
24,Free Cash Flow Per Share,-,-,-,-,-,-,-40659.40,-151.14
25,Gross Margin,13.92%,12.02%,13.81%,13.54%,12.06%,12.06%,10.42%,14.01%
26,Operating Margin,10.13%,7.28%,6.06%,3.90%,6.14%,6.14%,4.24%,7.73%
27,Profit Margin,4.78%,4.97%,1.69%,1.92%,1.70%,1.70%,0.03%,2.18%
28,Free Cash Flow Margin,-,-,-,-,8.62%,17.24%,-0.72%,-0.37%
29,EBITDA,229131,-,-,-,164201,142109,128238,200912
30,EBITDA Margin,13.29%,-,-,-,22.83%,39.52%,18.65%,15.25%
31,D&A For EBITDA,54448,-,-,-,120018,120018,99071,99071
32,EBIT,174682,107004,52065,28947,44183,22092,29167,101841
33,EBIT Margin,10.13%,7.28%,6.06%,3.90%,6.14%,6.14%,4.24%,7.73%
34,Effective Tax Rate,20.85%,21.29%,17.09%,22.98%,25.00%,25.00%,25.00%,25.19%
35,Revenue as Reported,1723894,1470832,858952,741954,719254,359627,687734,1317622
