,Fiscal Quarter,Q4 2024,Q4 2023,Q4 2016,Q4 2015,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,33583,50186,8615,-,95353,-,-,-
1,Cash & Short-Term Investments,33583,50186,8615,-,95353,-,-,-
2,Cash Growth,-64.78%,-,-,-,-,-,-,-
3,Accounts Receivable,1169691,830597,256647,-,172565,-,-,-
4,Other Receivables,14750,22454,11494,-,7666,-,-,-
5,Receivables,1184442,853051,268141,-,180231,-,-,-
6,Inventory,195957,226581,308173,-,131494,-,-,-
7,Prepaid Expenses,8203,7037,3705,-,-,-,-,-
8,Other Current Assets,6873,19161,47851,-,22488,-,-,-
9,Total Current Assets,1429058,1156015,636484,-,429566,-,-,-
10,"Property, Plant & Equipment",823022,737114,2119251,-,987479,-,-,-
11,Other Intangible Assets,-,127.88,-,-,104.15,-,-,-
12,Long-Term Deferred Tax Assets,56090,64007,269.09,-,-,-,-,-
13,Other Long-Term Assets,190562,176486,442928,-,23506,-,-,-
14,Total Assets,2498732,2133750,3198932,-,1440655,-,-,-
15,Accounts Payable,502754,320433,324208,-,56511,-,-,-
16,Accrued Expenses,427595,393401,170914,-,97329,-,-,-
17,Short-Term Debt,282081,175645,590549,-,-,-,-,-
18,Current Income Taxes Payable,915.35,11744,82520,-,30307,-,-,-
19,Other Current Liabilities,41954,16815,49415,-,28570,-,-,-
20,Total Current Liabilities,1255298,918038,1217606,-,212717,-,-,-
21,Long-Term Debt,559911,495676,1519342,-,874167,-,-,-
22,Other Long-Term Liabilities,6716,6716,-,-,487.78,-,-,-
23,Total Liabilities,1821925,1420431,2736948,-,1087371,-,-,-
24,Common Stock,449629,449629,449629,-,249973,-,-,-
25,Retained Earnings,227220,263732,421.48,-,37087,-,-,-
26,Comprehensive Income & Other,-41.28,-41.28,11934,-,66225,-,-,-
27,Shareholders' Equity,676807,713319,461984,-,353284,-,-,-
28,Total Liabilities & Equity,2498732,2133750,3198932,-,1440655,-,-,-
29,Total Debt,841991,671321,2109891,-,874167,-,-,-
30,Net Cash (Debt),-808408,-621136,-2101276,-,-778814,-,-,-
31,Net Cash Per Share,-17974.97,-13810.66,-47013.19,-,-,-,-,-
32,Filing Date Shares Outstanding,44.96,44.98,44.7,15.92,-,-,0.12,32.56
33,Total Common Shares Outstanding,44.96,44.98,44.7,15.92,-,-,0.12,32.56
34,Working Capital,173760,237977,-581122,-,216849,-,-,-
35,Book Value Per Share,15052.58,15860.32,10336.27,-,-,-,-,-
36,Tangible Book Value,676807,713192,461984,-,353180,-,-,-
37,Tangible Book Value Per Share,15052.58,15857.48,10336.27,-,-,-,-,-
38,Buildings,2690885,2640305,-,-,-,-,-,-
39,Machinery,3282053,3019527,-,-,-,-,-,-
40,Construction In Progress,63937,156058,691996,-,108507,-,-,-
