,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q4 2016,Q4 2015,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,557540,485599,638473,283266,340390,259971,269970,155864,171145
1,Market Cap Growth,-,86.79%,136.50%,81.74%,98.89%,-,-,-,-
2,Enterprise Value,1365948,2586875,2739748,1062080,1119205,-,-,-,-
3,Last Close Price,12400.00,10800.00,13293.62,3331.96,3634.93,2589.42,2314.89,2186.28,2096.32
4,PE Ratio,5.91,2.63,5.60,6.02,10.39,5.50,7.70,5.38,5.96
5,PS Ratio,0.09,0.10,0.17,0.11,0.14,0.08,0.11,0.08,0.13
6,PB Ratio,0.82,0.72,0.90,0.61,-,0.74,-,-,-
7,P/TBV Ratio,0.72,0.72,0.90,0.61,-,0.74,-,-,-
8,P/FCF Ratio,-,-,-,-,-,2.28,5.17,-,-
9,P/OCF Ratio,2.15,-,-,-,-,0.73,1.17,1.50,3.30
10,EV/Sales Ratio,0.21,0.54,0.72,0.40,0.45,-,-,-,-
11,EV/EBITDA Ratio,3.61,11.29,-,-,-,-,-,-,-
12,EV/EBIT Ratio,8.49,7.13,11.80,7.21,9.00,-,-,-,-
13,Debt / Equity Ratio,1.24,1.24,0.94,4.57,-,2.47,-,-,-
14,Debt / EBITDA Ratio,2.22,0.92,-,-,-,1.33,-,-,-
15,Debt / FCF Ratio,-,-,-,-,-,7.66,-,-,-
16,Quick Ratio,0.97,0.97,0.98,0.23,-,1.30,-,-,-
17,Current Ratio,1.14,1.14,1.26,0.52,-,2.02,-,-,-
18,Return on Capital Employed (ROCE),12.94%,29.17%,19.10%,7.43%,-,16.07%,-,-,-
19,Earnings Yield,16.92%,37.96%,17.86%,16.60%,9.63%,18.18%,12.98%,18.57%,16.79%
20,FCF Yield,-26.46%,-,-,-,-,43.92%,19.33%,-6.31%,-2.88%
21,Payout Ratio,42.92%,-,-,-,-,57.67%,115.33%,3080.93%,22.91%
22,Buyback Yield / Dilution,-,-,-36827.40%,51.10%,-,-,-,-,
23,Total Shareholder Return,7.26%,-,-,-36827.40%,51.10%,-,-,-,-
