,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,184.11,186.51,180.63,168.29,180.99,179.26,150.41,143.71,150.6,135.34,115.09,133.25,91.65,92.87,76.93,84.74,82.07,80.53,39.59,82.58
1,Other Revenue,-,-,-,0.44,-0.21,0.21,-,0.37,-0.28,0.28,-,-,-,-,-,-,-,-,-,-
2,Revenue,184.11,186.51,180.63,168.73,180.78,179.47,150.41,144.08,150.32,135.62,115.09,133.25,91.65,92.87,76.93,84.74,82.07,80.53,39.59,82.58
3,Revenue Growth (YoY),1.84%,3.92%,20.09%,17.11%,20.27%,32.34%,30.69%,8.12%,64.01%,46.03%,49.62%,57.25%,11.67%,15.32%,94.32%,2.61%,-,-,-,-
4,Cost of Revenue,73.17,72.3,77.58,78.03,67.91,71.74,61.19,71.31,59.57,53.8,49.7,58.52,39.28,34.52,31.3,33.77,29.89,30.77,20.91,33.6
5,Gross Profit,110.94,114.22,103.05,90.7,112.87,107.73,89.22,72.77,90.75,81.82,65.39,74.73,52.38,58.35,45.63,50.97,52.19,49.76,18.68,48.99
6,"Selling, General & Admin",36.57,38.88,38.85,43.89,38.53,41.85,37.56,40.77,36.78,34.41,33.75,41.26,23.83,28.2,27.64,28.11,21.43,20.37,16.35,25.53
7,Research & Development,15.74,14.96,14.83,16.14,14.52,12.42,13,13.14,12.13,11.16,10.6,11.37,6.62,6.35,6.4,6.26,5.3,4.17,3.64,5.26
8,Other Operating Expenses,-11.12,2.78,-2.89,-0.5,-10.37,1.5,-3.25,-4.72,-3.33,-4.38,-5.38,6.63,-2.3,-2.14,-2.15,4.31,-0.96,-4.01,-0.53,-0.39
9,Operating Expenses,44.93,60.59,53.45,59.93,45.08,56.83,51.23,50.14,47.64,43.38,39.96,60.82,27.81,34.32,32.39,38.95,26.35,21.79,19.92,31.08
10,Operating Income,66.01,53.63,49.6,30.77,67.8,50.89,37.99,22.62,43.1,38.44,25.43,13.91,24.57,24.04,13.23,12.02,25.83,27.98,-1.24,17.91
11,Interest Expense,-1.04,-0.96,-0.94,-1.06,-1.05,-1.07,-0.94,-0.98,-0.97,-1.07,-0.92,-1.14,-1.03,-1.08,-0.34,-0.09,-0.21,-0.12,-,-
