,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,238.1,197.9,226.34,352.51,411.2,491.05,478.08,428.64,477.7,385.54,414.35,407.95,330.85,335.99,381.14,88.2,74.83,105.34,-,87.39
1,Short-Term Investments,-,202.24,-,200.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,44.35,113,141.47,245.56,86.97,55.9,85.51,139.37,85.95,156.92,165.23,170.18,236.1,233.45,230.69,-,-,-,-,-
3,Cash & Short-Term Investments,282.45,513.13,367.81,798.51,498.17,546.95,563.59,568.01,563.65,542.46,579.59,578.13,566.94,569.44,611.83,88.2,74.83,105.34,87.39,87.39
4,Cash Growth,-43.30%,-6.18%,-34.74%,40.58%,-11.62%,0.83%,-2.76%,-1.75%,-0.58%,-4.74%,-5.27%,555.44%,657.65%,440.60%,600.10%,0.93%,-,-,-,-
5,Accounts Receivable,354.08,328.1,299.37,266.31,273.19,253.47,226.24,203.93,216.55,203.78,174.84,154.68,142.01,99.13,81,72.24,70.12,66.32,-,63.6
6,Other Receivables,5.29,28.01,6.41,25.59,5.65,20.85,5.18,18.36,3.97,12.82,5,21.33,6.45,1.31,1.97,13.47,2.19,9.32,-,1.75
7,Receivables,359.37,356.11,305.78,291.91,278.84,274.32,231.42,222.29,220.51,216.6,179.83,176.01,148.46,100.44,82.97,85.71,72.31,75.63,-,65.34
8,Inventory,47.44,46.54,44.19,56.39,57.64,56.44,55.27,51.7,52.27,46.93,43.01,36.61,31.53,-,-,-,-,-,-,-
