,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,6721,3278,3124,3808,3983,4534,4861,4486,3711,3475,3064,3266,3264,3004,3055,3019,-,-,-,-,-
1,Market Cap Growth,-27.70%,-27.70%,-35.73%,-15.11%,7.33%,30.47%,58.64%,37.36%,13.71%,15.66%,0.30%,8.17%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7094,3419,3396,3644,3638,4140,4440,4069,3294,3076,2628,2833,2827,2538,2483,2964,-,-,-,-,-
3,Last Close Price,44.00,21.46,19.88,23.48,24.51,27.90,29.91,27.40,22.67,21.19,18.77,19.88,19.37,18.28,18.59,18.26,-,-,-,-,-
4,PE Ratio,43.65,18.90,17.93,22.00,24.35,28.95,33.69,35.16,31.32,30.30,30.59,36.10,40.77,39.84,41.49,40.42,-,-,-,-,-
5,Forward PE,-,18.25,18.25,18.39,20.51,27.05,29.01,27.88,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,9.49,4.55,4.36,5.37,5.86,6.92,7.79,7.73,6.81,6.50,6.44,7.55,8.27,8.68,9.08,9.31,-,-,-,-,-
7,PB Ratio,5.70,2.65,2.55,3.05,2.87,3.42,3.83,3.64,3.11,2.98,2.73,2.96,3.03,2.89,3.15,3.13,-,-,-,-,-
8,P/TBV Ratio,2.98,2.98,2.88,3.43,3.19,3.82,4.29,4.08,3.49,3.36,3.09,3.36,3.45,3.21,3.24,3.21,-,-,-,-,-
9,P/FCF Ratio,370.52,180.71,175.99,-,53.44,77.94,82.82,228.36,192.96,110.10,-,-124.96,-65.18,-81.81,-,-,-,-,-,-,-
10,P/OCF Ratio,15.49,15.49,14.92,17.96,19.39,21.72,23.47,24.60,21.39,25.44,24.85,27.93,32.06,17.90,26.09,22.46,-,-,-,-,-
11,EV/Sales Ratio,9.85,4.75,4.74,5.14,5.35,6.32,7.11,7.01,6.04,5.76,5.53,6.54,7.16,7.33,7.38,9.14,-,-,-,-,-
12,EV/EBITDA Ratio,27.32,13.81,13.67,14.73,15.48,18.32,22.30,22.13,19.46,19.41,19.06,23.37,26.43,25.32,23.83,27.74,-,-,-,-,-
13,EV/EBIT Ratio,37.37,17.09,16.83,18.31,19.41,23.09,28.72,28.62,25.42,25.44,25.68,32.21,37.32,34.37,33.05,37.48,-,-,-,-,-
14,EV/FCF Ratio,391.09,188.47,191.29,-,48.80,71.16,75.65,207.10,171.25,97.45,-,-108.40,-56.46,-69.12,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.47,0.47,0.47,0.45,0.40,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.10,0.04,-,0.05,0.05,-,-
16,Debt / EBITDA Ratio,2.22,1.85,1.92,2.27,2.26,0.24,0.27,0.37,0.39,0.39,0.33,0.58,0.55,0.66,0.65,0.49,-,0.13,0.14,-,-
17,Debt / FCF Ratio,31.77,31.77,32.30,-,7.49,1.29,1.34,3.70,4.37,2.56,-,-3.08,-1.67,-2.26,-,-,-,-,-7.96,-,-
18,Asset Turnover,0.37,0.38,0.35,0.36,0.46,0.47,0.41,0.40,0.43,0.40,0.34,0.41,0.30,0.33,0.39,0.71,0.73,-,-,-,
19,Inventory Turnover,5.73,6.23,6.37,6.17,5.47,4.76,5.14,4.58,5.49,4.80,4.79,4.99,6.87,-,-,-,-,-,-,-,-
20,Quick Ratio,3.72,3.72,5.46,4.28,5.50,3.93,4.59,4.49,4.17,4.52,4.68,4.89,4.78,4.87,7.28,15.48,4.00,2.89,3.06,-,3.61
21,Current Ratio,5.34,5.34,5.78,6.01,5.81,4.34,4.95,4.92,4.50,4.91,5.00,5.28,5.08,5.24,7.49,15.98,4.18,3.23,3.18,-,3.95
22,Return on Equity (ROE),16.66%,17.04%,13.42%,9.15%,17.20%,17.42%,11.33%,8.54%,13.93%,12.86%,8.38%,8.32%,9.59%,10.00%,6.95%,14.77%,23.24%,27.75%,-2.81%,-,
23,Return on Assets (ROA),8.38%,6.83%,6.03%,4.10%,10.78%,8.39%,6.40%,3.90%,7.69%,7.05%,4.74%,2.67%,5.07%,5.39%,4.20%,6.32%,14.29%,-,-,-,
24,Return on Capital (ROIC),9.14%,7.43%,6.60%,4.60%,12.32%,9.58%,7.35%,4.48%,8.81%,8.06%,5.43%,3.05%,5.59%,5.79%,4.67%,7.24%,15.89%,18.69%,-0.88%,-,
25,Return on Capital Employed (ROCE),10.49%,11.05%,11.23%,10.98%,9.63%,12.71%,11.39%,10.79%,10.10%,9.64%,8.44%,7.34%,6.45%,6.56%,7.11%,7.62%,14.41%,17.29%,11.57%,-,4.91%
26,Earnings Yield,2.58%,5.29%,5.58%,4.55%,4.11%,3.45%,2.97%,2.84%,3.19%,3.30%,3.27%,2.77%,2.45%,2.51%,2.41%,2.47%,-,-,-,-,-
