,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,289.04,214.57,282.29,52.74,285.71,98.68,212.29,51.83,319.84,77.11,90.41,80.07,367.02
1,Other Revenue,-,-11.35,11.35,-,16.33,-6.72,6.72,-,17.36,-7.24,7.24,-,10.92
2,Revenue,289.04,203.22,293.64,52.74,302.03,91.96,219.01,51.83,337.2,69.87,97.65,80.07,377.94
3,Revenue Growth (YoY),-4.30%,121.00%,34.07%,1.77%,-10.43%,31.62%,124.27%,-35.27%,-10.78%,-,-,-,-
4,Cost of Revenue,382.13,159.38,219.19,33.85,225.99,69.68,172.87,40.21,248.61,48.15,71.77,62.93,267.85
5,Gross Profit,-93.09,43.84,74.45,18.89,76.04,22.28,46.14,11.62,88.58,21.71,25.89,17.14,110.09
6,"Selling, General & Admin",-62.08,23.81,22.38,15.89,24.34,16.73,19.47,14.48,17.98,15.65,15.04,9.95,18.02
7,Research & Development,-48.86,16.96,16.65,15.24,18.23,14.85,13.21,11.26,14.06,10.14,9.99,7.53,12.29
8,Other Operating Expenses,9.98,-4.46,-2.65,-2.87,1.78,-2.23,-7.94,-1.62,14.55,-1.67,-6.51,-14.61,4.86
9,Operating Expenses,-106.19,36.72,36.82,32.65,53.97,24.64,29.05,24.41,61.21,26.75,18.26,-2.66,47.59
10,Operating Income,13.1,7.11,37.63,-13.77,22.07,-2.36,17.09,-12.8,27.37,-5.04,7.62,19.8,62.51
11,Interest Expense,-4.64,-0.41,-0.3,-0.34,-,-0.33,-0.31,-0.22,-0.25,-0.13,-0.64,-0.71,-0.92
12,Interest & Investment Income,1.05,1.19,0.25,3.2,3.53,2.55,2.14,2.42,3.99,2.1,0.49,0.21,0.18
13,Currency Exchange Gain (Loss),-,-0.01,0.01,-,0.1,-0.01,0.01,-,1.23,-,-,-,-0.01
14,Other Non Operating Income (Expenses),-0.01,0.58,-0.57,-0.04,-1.38,0.33,-0.4,-0.17,-2.87,-0.18,2.43,-0.03,-0.2
15,EBT Excluding Unusual Items,9.49,8.46,37.02,-10.95,24.33,0.18,18.53,-10.77,29.47,-3.25,9.91,19.27,61.56
16,Gain (Loss) on Sale of Investments,-1.01,0.56,0.97,-0.51,-0.84,0.41,0.72,0.6,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-0.12,0,-0.02,-,-0.01,-,-,-,-
18,Asset Writedown,-0.4,0.4,-0.84,0.84,0.89,-0.89,-0.47,0.47,-0.05,0.05,0.56,-0.56,0.37
19,Legal Settlements,-,0,-0,-,-,0.08,-0.08,-,-,0.12,-0.12,-,-0.11
20,Other Unusual Items,0,-1.46,1.45,-,10.91,-,-,-,20.99,-,-,-,15.46
21,Pretax Income,8.09,7.97,38.59,-10.62,35.18,-0.21,18.68,-9.7,50.4,-3.08,10.35,18.72,77.29
22,Income Tax Expense,-2.84,0.61,2.85,-0.46,0.68,0.38,0.45,0.15,3.04,-1.08,0.98,2.55,8.12
23,Net Income,10.93,7.36,35.74,-10.16,34.5,-0.59,18.23,-9.85,47.37,-2,9.36,16.17,69.17
24,Net Income to Common,10.93,7.36,35.74,-10.16,34.5,-0.59,18.23,-9.85,47.37,-2,9.36,16.17,69.17
25,Net Income Growth,-68.32%,-,96.09%,-,-27.16%,-,94.74%,-,-31.52%,-,-,-,-
26,Shares Outstanding (Basic),84,88,86,87,85,86,89,84,80,85,72,65,67
27,Shares Outstanding (Diluted),84,88,86,87,85,86,89,84,80,85,72,65,67
28,Shares Change (YoY),-1.11%,1.68%,-4.03%,3.16%,6.43%,0.85%,24.17%,29.06%,18.31%,-,-,-,-
29,EPS (Basic),0.13,0.08,0.42,-0.12,0.41,-0.01,0.20,-0.12,0.59,-0.02,0.13,0.25,1.03
30,EPS (Diluted),0.13,0.08,0.42,-0.12,0.41,-0.01,0.20,-0.12,0.59,-0.02,0.13,0.25,1.03
31,EPS Growth,-67.96%,-,104.31%,-,-31.57%,-,56.83%,-,-42.12%,-,-,-,-
32,Free Cash Flow,-,-54.03,-25.36,-51.55,16.06,-0.35,-19.81,-31.19,12.38,-8.95,-6.29,-26.75,63.06
33,Free Cash Flow Per Share,-,-0.62,-0.30,-0.59,0.19,-0.00,-0.22,-0.37,0.16,-0.10,-0.09,-0.41,0.93
34,Dividend Per Share,-,-,0.058,-,0.152,-,-,-,0.069,-,-,-,-
35,Dividend Growth,-,-,-,-,119.86%,-,-,-,-,-,-,-,-
36,Gross Margin,-32.21%,21.57%,25.35%,35.81%,25.18%,24.23%,21.07%,22.42%,26.27%,31.08%,26.51%,21.41%,29.13%
