,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,123.05,273.54,207.66,256.31,260.27,285.88,273.22,383.69,289.73,-,-,133.49
1,Trading Asset Securities,-,190.6,90.07,70.38,70.89,72.41,101.32,100.6,-,100,-,-,-
2,Cash & Short-Term Investments,313.65,313.65,363.62,278.04,327.2,332.68,387.21,373.82,383.69,389.73,-,133.49,133.49
3,Cash Growth,-4.14%,-5.72%,-6.09%,-25.62%,-14.72%,-14.64%,-,180.05%,187.44%,-,-,-,-
4,Accounts Receivable,-,615.77,599.41,496.34,541.29,471.12,472.44,400.12,418.1,337.03,-,-,388.53
5,Other Receivables,-,11.22,14.64,12.27,11.43,11.89,12.42,12,9.8,12.49,-,-,6.55
6,Receivables,-,626.99,614.05,508.61,552.72,483.01,484.86,412.12,427.9,349.53,-,-,395.07
7,Inventory,-,451.7,389.96,340.55,268.79,285.45,232.41,287.98,195.98,319.06,-,-,169.2
8,Other Current Assets,-,45.58,60.66,130.2,68.07,70,51.42,42.06,15.55,158.2,-,-,25.92
9,Total Current Assets,-,1438,1428,1257,1217,1171,1156,1116,1023,1217,-,-,723.68
10,"Property, Plant & Equipment",-,117.44,113.91,111.62,106.38,104.71,101.83,95.55,95.3,88.5,-,-,88.07
11,Long-Term Investments,-,5.82,55.83,5.82,180.06,5.82,4.8,4.8,141.81,-,-,-,-
12,Other Intangible Assets,-,13.04,13.13,13.24,13.22,13.34,13.46,13.57,13.69,13.81,-,-,13.95
13,Long-Term Deferred Tax Assets,-,13.67,13.78,13.5,13.05,10.7,11.23,10.62,10.73,7.06,-,-,7.75
14,Long-Term Deferred Charges,-,0.31,0.34,0.38,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,-,55.97,5.43,180.6,4.41,175.85,132.68,142.99,1.74,-,-,-,-
16,Total Assets,-,1644,1631,1583,1534,1482,1420,1384,1286,1326,-,-,833.44
17,Accounts Payable,-,410.12,359.82,311.63,371.53,360.18,353.29,327.49,285.09,284.69,-,-,260.53
18,Accrued Expenses,-,10.54,14.05,9.15,21.49,8.85,9.26,7.08,23.19,6.67,-,-,20.46
19,Short-Term Debt,-,52.04,52.04,52.04,52.04,20.01,50.03,30.02,30.02,-,-,-,65.07
20,Current Portion of Leases,-,1.33,1.31,1.07,1.06,1.19,1.18,1.31,1.29,0.34,-,-,0.53
21,Current Income Taxes Payable,-,7.62,3.15,0.56,3.85,1.5,0.99,-5.87,6.26,0.23,-,-,7.74
22,Current Unearned Revenue,-,303.94,351.09,382.14,254.03,278.89,195.43,227.9,141.23,273.63,-,-,197.5
23,Other Current Liabilities,-,18.19,25.64,26.24,17.88,25.09,23.92,21.9,15.38,26.14,-,-,25.66
24,Total Current Liabilities,-,803.79,807.08,782.82,721.88,695.71,634.1,609.84,502.46,591.69,-,-,577.5
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,10.01
26,Long-Term Leases,-,0.43,0.78,0.63,0.91,1.13,1.41,1.59,1.97,0.25,-,-,0.28
27,Long-Term Unearned Revenue,-,1.35,1.67,1.98,2.29,2.6,2.92,3.23,3.54,3.85,-,-,4.79
28,Long-Term Deferred Tax Liabilities,-,0.16,0.16,0.15,0.15,1.24,0.37,0.27,0.19,-,-,-,-
29,Other Long-Term Liabilities,-,9.32,8.34,7.29,8.05,6.79,6.67,6.67,6.67,6.14,-,-,6.64
30,Total Liabilities,-,815.05,818.02,792.87,733.29,707.48,645.47,621.6,514.83,601.94,-,-,599.23
31,Common Stock,-,86.85,86.01,59.43,59.43,59.43,59.43,59.43,59.43,59.43,-,-,44.57
32,Additional Paid-In Capital,-,486.85,488.71,515.05,514.81,514.58,514.34,514.1,513.86,513.62,-,-,62.28
33,Retained Earnings,-,254.57,247.2,224.45,234.62,200.08,200.67,188.38,198.27,150.89,-,-,127.37
34,Treasury Stock,-,-,-10.1,-10.1,-9.12,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,0.87,0.87,0.87,0.87,-,-,-,-,-,-,-,-
36,Shareholders' Equity,829.13,829.13,812.69,789.7,800.61,774.08,774.43,761.91,771.56,723.95,-,234.21,234.21
37,Total Liabilities & Equity,-,1644,1631,1583,1534,1482,1420,1384,1286,1326,-,-,833.44
38,Total Debt,53.79,53.79,54.13,53.74,54.01,22.33,52.62,32.92,33.29,0.59,-,75.89,75.89
39,Net Cash (Debt),259.86,259.86,309.49,224.31,273.19,310.35,334.58,340.9,350.4,389.14,-,57.59,57.59
40,Net Cash Growth,-4.88%,-16.27%,-7.50%,-34.20%,-22.03%,-20.25%,-,491.93%,508.42%,-,-,-,-
41,Net Cash Per Share,3.09,2.97,3.61,2.59,3.22,3.60,3.74,4.06,4.39,4.56,-,0.88,0.85
42,Filing Date Shares Outstanding,86.85,86.85,85.64,85.64,85.7,86.17,86.17,86.17,86.17,86.17,71.99,65.13,64.63
43,Total Common Shares Outstanding,86.85,86.85,85.64,85.64,85.7,86.17,86.17,86.17,86.17,86.17,71.99,65.13,64.63
44,Working Capital,-,634.14,621.2,474.59,494.9,475.43,521.81,506.14,520.66,624.82,-,-,146.18
45,Book Value Per Share,9.55,9.55,9.49,9.22,9.34,8.98,8.99,8.84,8.95,8.40,-,3.62,3.62
46,Tangible Book Value,816.09,816.09,799.56,776.46,787.39,760.74,760.98,748.33,757.87,710.14,-,220.26,220.26
47,Tangible Book Value Per Share,9.40,9.40,9.34,9.07,9.19,8.83,8.83,8.68,8.79,8.24,-,3.41,3.41
