,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,1727,1403,1461,1097,1294,1728,1789,1813,2043,1767,1883,2485,-,-
1,Market Cap Growth,-18.79%,-18.79%,-18.34%,-39.49%,-36.66%,-2.19%,-4.99%,-27.07%,-,-,-,-,-,-
2,Enterprise Value,1467,1144,1151,872,983,1418,1454,1472,1653,1378,1825,2428,-,-
3,Last Close Price,19.88,16.11,17.03,12.61,14.79,19.75,20.45,20.72,23.26,20.12,21.44,28.31,-,-
4,PE Ratio,38.98,31.99,21.66,18.44,-,40.87,-,33.73,-,24.92,-,26.24,-,-
5,PS Ratio,2.04,1.67,1.72,1.48,1.94,2.60,2.56,2.67,3.67,3.02,3.01,4.47,-,-
6,PB Ratio,2.08,1.69,1.76,1.35,1.64,2.16,2.31,2.34,2.68,2.29,2.60,-,-,-
7,P/TBV Ratio,1.72,1.72,1.79,1.37,1.67,2.19,2.35,2.38,2.73,2.33,2.65,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-48.98,-,-,-,-59.67,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-134.44,-115.98,-,-,-89.94,-,-,-,-
10,EV/Sales Ratio,1.75,1.36,1.35,1.18,1.48,2.13,2.08,2.17,2.97,2.36,2.92,4.37,-,-
11,EV/EBITDA Ratio,28.52,22.12,18.97,17.11,-,45.96,-,44.41,-,24.60,-,25.67,-,-
12,EV/EBIT Ratio,33.27,25.94,21.70,20.02,-,59.05,-,55.26,-,27.69,-,26.99,-,-
13,EV/FCF Ratio,-,-,-,-,-,-40.18,-,-,-,-46.52,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.06,0.07,0.07,0.07,0.03,0.07,0.04,0.04,0.00,-,0.32,0.32
15,Debt / EBITDA Ratio,1.05,0.90,1.50,0.34,-,0.54,-,0.68,-,0.28,-,-,0.89,0.29
16,Debt / FCF Ratio,-,-,-,-,-,-1.53,-,-,-,-1.12,-,-,-,1.20
17,Asset Turnover,-,0.50,0.73,0.14,0.80,0.25,0.62,0.16,1.03,-,-,-,-,
18,Inventory Turnover,-,-,1.51,2.40,0.44,3.26,1.08,2.66,0.66,3.86,-,-,-,-
19,Quick Ratio,-,-,1.17,1.21,1.00,1.22,1.17,1.38,1.29,1.62,1.25,-,-,0.92
20,Current Ratio,-,-,1.79,1.77,1.61,1.69,1.68,1.82,1.83,2.04,2.06,-,-,1.25
21,Return on Equity (ROE),5.27%,3.59%,17.85%,-5.11%,17.53%,-0.30%,9.49%,-5.14%,25.34%,-,-,27.62%,-,
22,Return on Assets (ROA),-,1.09%,5.86%,-2.21%,3.66%,-0.41%,3.05%,-2.40%,5.24%,-,-,-,-,
23,Return on Capital (ROIC),3.71%,2.03%,11.00%,-4.05%,6.68%,-0.73%,5.27%,-4.00%,8.95%,-,-,15.96%,-,
24,Return on Capital Employed (ROCE),-,-,6.31%,5.29%,-,2.96%,-,3.39%,-,6.35%,-,-,-,24.42%
25,Earnings Yield,2.54%,3.13%,4.62%,5.42%,3.24%,2.45%,3.08%,2.96%,2.20%,4.01%,4.92%,3.81%,-,-
26,FCF Yield,-,-7.86%,-5.58%,-4.30%,-2.04%,-2.18%,-2.62%,-1.67%,-1.68%,1.12%,1.21%,-,-,
27,Dividend Yield,0.56%,-,-,1.66%,-,0.77%,-,-,-,0.34%,-,-,-,-
28,Payout Ratio,0.00%,-,5.35%,37.14%,-,0.79%,-,34.07%,-,0.36%,-,6.84%,4.39%,1.17%
29,Buyback Yield / Dilution,0.38%,1.11%,-1.68%,4.03%,-3.16%,-6.43%,-0.85%,-24.17%,-29.06%,-18.31%,-,-,-,-
30,Total Shareholder Return,0.94%,1.11%,-1.68%,5.69%,-3.16%,-5.67%,-0.85%,-24.17%,-29.06%,-17.96%,-,-,-,-
