,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,79.87,81.15,22.9,93.27,42.27,86.27,52.14,56.65,42.62,101.63,Upgrade
1,Short-Term Investments,1.25,5.54,59.99,10.71,40.26,7.57,8.82,13.05,3.17,3.65,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,36.46,-,-,Upgrade
3,Cash & Short-Term Investments,81.12,86.69,82.89,103.97,82.53,93.83,60.96,106.17,45.79,105.28,Upgrade
4,Cash Growth,-2.13%,-16.63%,0.44%,10.81%,35.38%,-11.62%,33.14%,0.84%,-60.91%,-14.04%,Upgrade
5,Accounts Receivable,31.81,38.91,52.83,46.27,54.67,44.76,49.65,65.51,35.87,24.24,Upgrade
6,Other Receivables,1.3,0.72,0.49,0.39,0.21,0.21,0.23,0.14,2.43,0.49,Upgrade
7,Receivables,33.11,39.63,53.32,46.67,54.88,44.97,49.88,65.65,38.3,24.73,Upgrade
8,Inventory,2.41,1.19,2.95,1.94,2.11,3.18,0.27,0.28,0.89,0.93,Upgrade
9,Prepaid Expenses,0.62,0.49,0.43,0.42,2.27,0.52,0.76,0.42,0.33,0.47,Upgrade
10,Total Current Assets,117.25,127.99,139.59,153.01,141.79,142.5,111.87,172.51,85.31,131.41,Upgrade
11,"Property, Plant & Equipment",165.15,168.43,172,176.9,180.6,182.5,185.89,3.82,7.17,9.97,Upgrade
12,Long-Term Investments,31.3,20.68,15.45,16.07,17.77,21.9,32.19,59.63,90.23,28.86,Upgrade
13,Long-Term Deferred Tax Assets,-,0.96,0.85,0.85,0.97,1,-,0.01,0.2,0.2,Upgrade
14,Other Long-Term Assets,-,-,-,-,1.67,3.45,5.57,4.87,12.13,11.44,Upgrade
15,Total Assets,313.7,318.06,327.89,346.83,342.8,351.35,335.53,240.84,195.04,181.88,Upgrade
16,Accounts Payable,21.81,20.82,26.19,24.63,35.69,29.08,27.69,22.71,21.66,12.75,Upgrade
17,Accrued Expenses,1.56,3.06,4.14,15.02,3.01,18.2,3.97,3.32,1.4,1.95,Upgrade
18,Short-Term Debt,62.02,63.12,64.43,65.53,66.54,68.23,-,-,-,-,Upgrade
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,18.05,-,-,-,Upgrade
20,Current Portion of Leases,0.16,0.61,1.56,2.1,1.94,0.72,1.9,2.59,2.39,3.02,Upgrade
21,Current Income Taxes Payable,1.99,9.3,4.86,13.15,8.89,20.32,15.11,10.48,2.09,5.65,Upgrade
22,Current Unearned Revenue,-,0.3,-,0.5,3.22,2.39,2.85,2.69,1.25,0.86,Upgrade
23,Other Current Liabilities,3.15,2.49,3.37,2.93,1.36,1.74,3.77,3.53,2.15,1.64,Upgrade
24,Total Current Liabilities,90.7,99.7,104.55,123.86,120.65,140.69,73.33,45.33,30.94,25.87,Upgrade
25,Long-Term Debt,-,-,-,-,-,-,66.7,-,-,-,Upgrade
26,Long-Term Leases,-,-,0.12,0.61,1.4,-,0.13,0.72,1.61,2.74,Upgrade
27,Long-Term Deferred Tax Liabilities,0.27,0.03,0.04,0.03,0.08,0.06,0.13,-,-,-,Upgrade
28,Total Liabilities,90.97,99.74,104.7,124.51,122.13,140.75,140.29,46.05,32.54,28.61,Upgrade
29,Common Stock,4.03,4.03,4.03,4,4,4,4,4,4,4,Upgrade
30,Additional Paid-In Capital,40.94,40.94,40.94,39.12,39.12,39.12,39.12,39.12,39.12,39.12,Upgrade
31,Retained Earnings,172.47,172.42,178.73,176.61,175.93,165.35,150.69,148.03,117.07,107,Upgrade
32,Comprehensive Income & Other,5.3,0.94,-0.51,2.59,1.61,2.13,1.42,3.64,2.3,3.15,Upgrade
33,Total Common Equity,222.73,218.33,223.19,222.32,220.67,210.6,195.24,194.79,162.5,153.27,Upgrade
34,Minority Interest,-,-,-,-,-,-,-,-,-,0,Upgrade
35,Shareholders' Equity,222.73,218.33,223.19,222.32,220.67,210.6,195.24,194.79,162.5,153.27,Upgrade
36,Total Liabilities & Equity,313.7,318.06,327.89,346.83,342.8,351.35,335.53,240.84,195.04,181.88,Upgrade
37,Total Debt,62.18,63.73,66.11,68.24,69.87,68.96,86.78,3.31,3.99,5.76,Upgrade
38,Net Cash (Debt),18.93,22.96,16.78,35.74,12.65,24.88,-25.82,102.85,41.79,99.52,Upgrade
39,Net Cash Growth,12.86%,-35.77%,32.59%,43.67%,-,-75.81%,-,3.34%,-62.24%,-18.75%,Upgrade
40,Net Cash Per Share,0.05,0.06,0.04,0.09,0.03,0.06,-0.06,0.26,0.10,0.25,Upgrade
41,Filing Date Shares Outstanding,402.46,402.46,402.46,400,400,400,400,400,400,400,Upgrade
42,Total Common Shares Outstanding,402.46,402.46,402.46,400,400,400,400,400,400,400,Upgrade
43,Working Capital,26.55,28.29,35.05,29.15,21.14,1.81,38.54,127.18,54.37,105.54,Upgrade
