,Fiscal Quarter,Current,H1 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Market Capitalization,1690,1750,1990,2080,2170,1310,1680,1910,1890,1850,2120
1,Market Cap Growth,-15.57%,-15.87%,-8.29%,58.78%,29.17%,-31.41%,-11.11%,3.24%,-10.85%,-44.61%,-
2,Enterprise Value,1817,1910,2145,2190,2333,1574,1908,2163,1983,1939,1900
3,Last Close Price,1.69,1.64,1.64,1.71,1.72,1.00,1.27,1.43,1.40,1.37,1.56
4,PE Ratio,7.53,7.50,8.67,10.35,12.83,11.93,24.54,23.45,55.05,-,36.01
5,PS Ratio,0.66,0.67,0.79,0.90,1.01,0.66,0.94,1.17,1.42,1.50,1.55
6,PB Ratio,3.70,3.37,4.15,4.34,4.93,2.99,4.59,5.19,5.52,6.03,6.56
7,P/TBV Ratio,3.92,3.37,4.15,4.34,4.93,2.99,4.59,5.19,5.52,6.03,6.56
8,P/FCF Ratio,4.00,4.18,5.78,6.10,5.48,4.68,7.66,8.72,12.60,19.10,32.15
9,P/OCF Ratio,3.99,3.95,5.34,5.62,5.13,4.28,6.66,7.72,11.30,16.07,24.76
10,EV/Sales Ratio,0.71,0.73,0.85,0.95,1.08,0.79,1.07,1.33,1.49,1.58,1.39
11,EV/EBITDA Ratio,3.74,3.79,6.69,8.55,10.81,9.57,17.09,-,37.56,-,12.47
12,EV/EBIT Ratio,6.52,6.63,7.57,9.50,12.08,11.10,24.08,31.13,99.93,-,20.82
13,EV/FCF Ratio,4.30,4.56,6.23,6.43,5.90,5.62,8.70,9.87,13.22,20.02,28.81
14,Debt / Equity Ratio,0.71,0.66,0.71,0.68,0.69,0.74,0.96,0.93,1.07,1.06,0.95
15,Debt / FCF Ratio,0.77,0.82,0.99,0.95,0.77,1.16,1.60,1.57,2.45,3.37,4.68
16,Return on Capital Employed (ROCE),49.35%,44.94%,46.32%,38.92%,35.72%,25.75%,16.62%,14.97%,4.46%,-,19.88%
17,Earnings Yield,13.28%,13.33%,11.54%,9.66%,7.80%,8.38%,4.07%,4.26%,1.82%,0.65%,2.78%
18,FCF Yield,24.98%,23.95%,17.31%,16.38%,18.23%,21.39%,13.06%,11.47%,7.93%,5.24%,3.11%
19,Dividend Yield,13.61%,11.57%,11.60%,11.10%,9.30%,9.49%,3.14%,3.15%,1.43%,-,0.96%
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-16.33%,-33.33%,
21,Total Shareholder Return,13.61%,11.57%,11.60%,11.10%,9.30%,9.49%,3.14%,3.15%,1.43%,-16.33%,-32.37%
