,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q4 2019,Q4 2018,Q2 2014,Q1 2014,Q2 2013,Q1 2013,Q4 2010
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '10 Dec 31, 2010"
0,Revenue,150000,-,-,-,-,-,-,-,-,-,-,-,-,4345,8668,175.05,233.69,2938,1513,66816
1,Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,47.89%,472.87%,-99.74%,-,-,-,-
2,Cost of Revenue,171000,-,-,-,4957,-,-,-,-,-,-,-,-,743.09,2624,457.63,320.07,2705,1353,65670
3,Gross Profit,-21000,-,-,-,-4957,-,-,-,-,-,-,-,-,3602,6044,-282.58,-86.38,232.98,160.51,1146
4,"Selling, General & Admin",1783,2130,1588,1415,2815,1305,1497,1481,1528,1309,1354,1270,5239,1570,553.72,991.55,1692,10831,6524,4145
5,Operating Expenses,1783,2130,1588,1415,2815,1305,1497,1481,1528,1309,1354,1270,5239,1570,553.72,991.55,1692,10831,6524,4145
6,Operating Income,-22783,-2130,-1588,-1415,-7772,-1305,-1497,-1481,-1528,-1309,-1354,-1270,-5239,2032,5491,-1274,-1778,-10598,-6364,-2999
7,Interest Expense,-,-,-,-,-,-,-,-,-0.39,-0.39,-,-,-,-,-,-,-,-,-,-5406
8,Interest & Investment Income,-,2675,3027,3013,4779,3760,3687,4056,3257,4052,4742,3890,1487,1515,479.02,152.63,95,2495,1873,16301
9,Other Non Operating Income (Expenses),3091,130.37,-1634,634.79,-83.48,890.92,1501,1858,-7876,-580.72,-5861,-673.42,-408.33,-263.39,620.27,-48.79,409.25,-4653,-2840,863.29
10,Pretax Income,-19692,675.95,-195.58,2232,-3077,3347,3692,4433,-6148,2162,-2472,1947,-4160,3283,6590,-1170,-1274,-12755,-7331,8760
11,Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,362.81,1228,-,-,-,-,2166
12,Net Income,-19692,675.95,-195.58,2232,-3077,3347,3692,4433,-6148,2162,-2472,1947,-4160,2921,5362,-1170,-1274,-12755,-7331,6594
13,Net Income to Common,-19692,675.95,-195.58,2232,-3077,3347,3692,4433,-6148,2162,-2472,1947,-4160,2921,5362,-1170,-1274,-12755,-7331,6594
14,Net Income Growth,-,-79.80%,-,-49.65%,-,54.80%,-,127.73%,-,-25.97%,-,-,-,-,-,-,-,-,-,-
15,Shares Outstanding (Basic),37,38,39,37,37,37,37,37,37,37,37,37,37,37,37,-,-,-,-,-
16,Shares Outstanding (Diluted),37,38,39,37,37,37,37,37,37,37,37,37,37,37,37,-,-,-,-,-
17,Shares Change (YoY),-0.52%,2.11%,5.96%,-0.95%,0.70%,-0.32%,0.05%,0.58%,-0.15%,-0.20%,-0.22%,-,-,-,-,-,-,-,-,-
18,EPS (Basic),-534.00,18.00,-5.00,61.00,-83.00,91.00,100.00,120.00,-167.00,58.60,-67.00,53.00,-112.83,79.00,145.00,-,-,-,-,-
19,EPS (Diluted),-534.00,18.00,-5.00,61.00,-83.00,91.00,100.00,120.00,-167.00,58.60,-67.00,53.00,-112.83,79.00,145.00,-,-,-,-,-
20,EPS Growth,-,-80.22%,-,-49.17%,-,55.29%,-,126.42%,-,-25.82%,-,-,-,-,-,-,-,-,-,-
21,Free Cash Flow,-143723,-12240,60247,18580,-30416,27184,-5576,4554,-,-,-21424,-2518,-,-,-,-750.16,-750.16,-2340,-2340,-
22,Free Cash Flow Per Share,-3897.39,-325.95,1540.22,507.78,-820.50,739.16,-151.05,123.29,-,-,-580.67,-68.55,-,-,-,-,-,-,-,-
23,Gross Margin,-14.00%,-,-,-,-,-,-,-,-,-,-,-,-,82.90%,69.73%,-161.43%,-36.96%,7.93%,10.61%,1.72%
24,Operating Margin,-15.19%,-,-,-,-,-,-,-,-,-,-,-,-,46.76%,63.35%,-727.85%,-760.94%,-360.69%,-420.58%,-4.49%
25,Profit Margin,-13.13%,-,-,-,-,-,-,-,-,-,-,-,-,67.21%,61.86%,-668.54%,-545.17%,-434.12%,-484.51%,9.87%
26,Free Cash Flow Margin,-95.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-428.53%,-321.01%,-79.64%,-154.64%,-
27,EBITDA,-22659,-1840,-1549,-1292,-7649,-1181,-1373,-1358,-,-1181,-1262,-1108,-,-,-,-1266,-1770,-10499,-6265,-
28,EBITDA Margin,-15.11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,D&A For EBITDA,123.27,290.28,39.77,123.27,123.27,123.27,123.27,123.27,-,127.51,91.82,162.32,-,-,-,8.61,8.61,99,99,-
30,EBIT,-22783,-2130,-1588,-1415,-7772,-1305,-1497,-1481,-1528,-1309,-1354,-1270,-5239,2032,5491,-1274,-1778,-10598,-6364,-2999
31,EBIT Margin,-15.19%,-,-,-,-,-,-,-,-,-,-,-,-,46.76%,63.35%,-,-,-,-,-4.49%
32,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,11.05%,18.64%,-,-,-,-,24.73%
33,Revenue as Reported,150000,-,-,-,-,-,-,-,-,-,-,-,-,4345,8668,175.05,233.69,2938,1513,66816
