,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q4 2019,Q4 2018,Q2 2014,Q1 2014,Q2 2013,Q1 2013,Q4 2010
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '10 Dec 31, 2010"
0,Market Capitalization,132728,92172,92172,103233,110606,99546,125354,99546,73738,77424,110606,129041,269142,162223,114293,114293,114293,176970,110606,136415,206233
1,Market Cap Growth,-7.41%,-7.41%,-26.47%,3.70%,50.00%,28.57%,13.33%,-22.86%,-72.60%,-52.27%,-3.23%,12.90%,135.48%,-8.33%,3.33%,-16.22%,-44.58%,-,-,-,-
2,Enterprise Value,20405,-15921,-136,42764,66758,51066,101127,74942,61071,64757,64105,82540,222641,115722,103006,103006,127716,190393,124029,149837,-
3,Last Close Price,3600.00,2500.00,2500.00,2800.00,3000.00,2700.00,3400.00,2700.00,2000.00,2100.00,3000.00,3500.00,7300.00,4400.00,3100.00,3100.00,3100.00,4800.00,3000.00,3700.00,10873.58
4,PE Ratio,-,-,-252.95,-,17.86,-,23.55,24.05,-36.42,-,-43.83,-,44.35,-,19.58,-11.62,-,-,-,-,31.28
5,PS Ratio,0.88,0.61,-,-,-,-,-,-,-,-,-,-,-,-,8.52,9.51,23.52,2.48,1.55,2.00,3.09
6,PB Ratio,0.58,0.40,0.37,0.42,0.45,0.41,0.51,0.41,0.31,0.33,0.46,-,-,-,0.49,-,0.47,-,-,-,0.52
7,P/TBV Ratio,0.40,0.40,0.37,0.42,0.45,0.41,0.51,0.41,0.31,0.33,0.46,-,-,-,0.49,-,0.47,-,-,-,0.52
8,P/FCF Ratio,-,-,-,1.37,11.32,-,4.79,-,-4.37,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,1.36,10.90,-,4.73,-,-4.41,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,7.67,8.57,26.28,2.66,1.74,2.19,-
11,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.04,-12.62,-,-,-,-,-
12,EV/FCF Ratio,-0.26,-,-,0.57,6.83,-,3.87,-,-3.62,-,-,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42
14,Asset Turnover,1.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
15,Inventory Turnover,140.34,561.37,-,-,-,16.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Quick Ratio,4.16,4.16,0.77,0.68,0.46,0.51,1.27,1.25,1.23,1.20,1.22,-,-,-,1.79,-,2.08,-,-,-,1.85
17,Current Ratio,4.25,4.25,0.78,0.70,0.47,0.53,1.28,1.26,1.24,1.21,1.23,-,-,-,1.83,-,2.64,-,-,-,1.86
18,Return on Equity (ROE),-33.14%,1.09%,-0.32%,3.63%,-5.00%,5.44%,6.09%,-,-10.28%,-,-,-,-,-,-,-,-,-,-,-,
19,Return on Assets (ROA),-17.29%,-1.32%,-0.99%,-0.88%,-4.84%,-0.81%,-0.94%,-,-0.97%,-,-,-,-,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),-23.97%,-2.15%,-1.61%,-1.44%,-7.89%,-1.33%,-1.54%,-,-1.60%,-,-,-,-,-,-,-,-,-,-,-,
21,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.90%,-,-,-,-,-,-
22,Earnings Yield,-12.79%,-18.42%,-0.40%,2.23%,5.60%,8.43%,4.25%,4.16%,-2.75%,-5.83%,-2.28%,-1.37%,2.25%,1.82%,5.11%,-8.61%,-19.71%,-8.34%,-12.20%,-0.54%,3.20%
23,FCF Yield,-58.12%,-83.69%,39.24%,73.23%,8.83%,-4.27%,20.87%,-1.03%,-22.88%,-,-,-18.55%,-0.94%,-,-,-,-5.41%,-3.07%,-4.23%,-1.72%,-
24,Buyback Yield / Dilution,0.11%,0.52%,-2.11%,-5.96%,0.95%,-0.70%,0.32%,-0.05%,-0.58%,0.15%,0.20%,0.22%,-,-,-,-,-,-,-,-,-
25,Total Shareholder Return,0.11%,0.52%,-2.11%,-5.96%,0.95%,-0.70%,0.32%,-0.05%,-0.58%,0.15%,0.20%,0.22%,-,-,-,-,-,-,-,-,-
