,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,52596,54380,62831,139408,-,-,-
1,Market Cap Growth,-60.99%,-60.99%,-,-,-,-,-
2,Enterprise Value,52995,53644,62099,140890,-,-,-
3,Last Close Price,5.93,6.13,7.13,15.82,-,-,-
4,PE Ratio,119.77,61.57,-18.61,-,-,-,-
5,Forward PE,16.90,21.21,49.09,-,-,-,-
6,PS Ratio,0.65,0.68,0.83,2.02,-,-,-
7,PB Ratio,2.33,2.78,3.29,7.20,-,-,-
8,P/TBV Ratio,4.10,4.10,4.40,10.05,-,-,-
9,P/FCF Ratio,26.86,27.77,26.95,-137.68,-,-,-
10,P/OCF Ratio,8.67,8.67,11.75,52.19,-,-,-
11,EV/Sales Ratio,0.67,0.67,0.82,2.04,-,-,-
12,EV/EBITDA Ratio,10.01,10.13,23.78,-,-,-,-
13,EV/EBIT Ratio,33.33,33.68,-362.19,-,-,-,-
14,EV/FCF Ratio,27.06,27.39,26.63,-139.15,-,-,-
15,Debt / Equity Ratio,0.81,0.81,0.77,0.72,-0.31,-0.32,-
16,Debt / FCF Ratio,8.14,8.14,6.27,-13.82,-,-,-
17,Return on Capital Employed (ROCE),4.21%,4.21%,-0.62%,-,-,-,-
18,Earnings Yield,1.68%,1.62%,-5.37%,-6.17%,-,-,-
19,FCF Yield,3.72%,3.60%,3.71%,-0.73%,-,-,-
20,Buyback Yield / Dilution,-123.12%,-86.33%,-16.85%,27.25%,-4.88%,-,-
21,Total Shareholder Return,-123.12%,-86.33%,-16.85%,27.25%,-4.88%,-,-
