,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,1597,1428,1483,1195,1504,-
1,Short-Term Investments,-,-,81.64,98.49,77.15,-
2,Trading Asset Securities,101.2,207.35,49.96,9.49,16.44,-
3,Cash & Short-Term Investments,1698,1636,1615,1303,1598,-
4,Cash Growth,5.16%,25.50%,1.07%,-,-,-
5,Accounts Receivable,680.18,540.7,555.98,622.56,513.95,-
6,Receivables,680.18,540.7,689.01,625.79,515.63,-
7,Inventory,21.62,24.04,34.76,21.96,29.12,-
8,Prepaid Expenses,-,-,85.34,97.39,76.26,-
9,Restricted Cash,40.86,45.23,41.92,96.3,79.73,-
10,Other Current Assets,1172,1131,671.48,602.71,547.93,-
11,Total Current Assets,3613,3377,3137,2747,2846,-
12,"Property, Plant & Equipment",1863,1672,1682,1677,1534,-
13,Long-Term Investments,574.91,575.13,728.31,534.86,484.64,-
14,Goodwill,-,-,839.63,832.01,803.44,-
15,Other Intangible Assets,1119,942.85,134.89,149.96,160.13,-
16,Long-Term Deferred Tax Assets,74.68,55.87,53.81,51.58,43.11,-
17,Other Long-Term Assets,50.79,31.78,25.7,12.73,27.69,-
18,Total Assets,7295,6654,6601,6073,5936,-
19,Accounts Payable,589.86,450.45,466.9,471.67,484.22,-
20,Accrued Expenses,1024,884.76,250.49,206.32,204.64,-
21,Current Portion of Long-Term Debt,262.64,1271,211.24,151.56,77.48,-
22,Current Portion of Leases,172.44,183.75,204.34,196.58,151.2,-
23,Current Income Taxes Payable,35.38,30.47,30.6,20.15,32.42,-
24,Current Unearned Revenue,322.33,287.96,272.23,241.44,209.93,-
25,Other Current Liabilities,11.33,10.07,648.97,632.85,571.74,-
26,Total Current Liabilities,2418,3118,2085,1921,1732,-
27,Long-Term Debt,1321,125.41,1071,1011,1021,-
28,Long-Term Leases,296.73,291.68,304.32,359.56,341.47,-
29,Long-Term Deferred Tax Liabilities,15.31,14.11,15.81,15.53,22.41,-
30,Other Long-Term Liabilities,715.12,649.41,632.52,8285,7796,-
31,Total Liabilities,4772,4211,4122,11602,10920,-
32,Common Stock,0.02,0.02,0.02,0.02,0.01,-
33,Additional Paid-In Capital,9062,9062,9062,598.26,603.83,-
34,Retained Earnings,-6026,-6099,-6127,-5658,-5017,-
35,Treasury Stock,-19.42,-,-,-,-,-
36,Comprehensive Income & Other,-190.78,-189.4,-185.27,-243.8,-434.11,-
37,Total Common Equity,2825,2773,2750,-5303,-4847,-
38,Minority Interest,-302.77,-330.14,-270.08,-226.33,-137.22,-
39,Shareholders' Equity,2523,2443,2480,-5530,-4984,-
40,Total Liabilities & Equity,7295,6654,6601,6073,5936,-
41,Total Debt,2052,1871,1791,1719,1591,-
42,Net Cash (Debt),-354.24,-235.9,-176.41,-415.33,6.6,-
43,Net Cash Per Share,-0.04,-0.03,-0.03,-0.06,0.00,-
44,Filing Date Shares Outstanding,8607,8812,8812,8812,4778,3005
45,Total Common Shares Outstanding,8607,8812,8812,3295,4778,3005
46,Working Capital,1195,258.82,1053,826.82,1115,-
47,Book Value Per Share,0.33,0.31,0.31,-1.61,-1.01,-
48,Tangible Book Value,1707,1830,1775,-6285,-5811,-
49,Tangible Book Value Per Share,0.20,0.21,0.20,-1.91,-1.22,-
50,Land,-,-,91.25,90.82,58.94,-
51,Buildings,-,-,67.77,70.12,64.27,-
52,Machinery,-,-,1313,1159,1092,-
53,Construction In Progress,-,-,108.28,87.29,88.88,-
54,Leasehold Improvements,-,-,87.76,73.35,70,-
