,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,5397,4862,4819,4030,3865,3403
1,Revenue Growth (YoY),12.01%,20.62%,24.68%,18.45%,-,-
2,Cost of Revenue,4855,4326,4540,3837,4069,3469
3,Gross Profit,542.48,535.73,279.26,193.54,-204.18,-66.06
4,"Selling, General & Admin",445.06,381.66,389.54,1768,451.7,526.33
5,Research & Development,25.32,23.57,27.22,18.87,23.57,20.91
6,Other Operating Expenses,-32.25,18.53,-21.27,44.45,-35.73,-49.61
7,Operating Expenses,449.4,423.76,413.19,1831,447.22,527.17
8,Operating Income,93.09,111.98,-133.94,-1638,-651.4,-593.23
9,Interest Expense,-63.98,-62.2,-49.09,-56,-54.85,-44.65
10,Interest & Investment Income,25.86,20.29,16.59,12.8,19.51,13.61
11,Earnings From Equity Investments,-0.26,-0.09,-0.15,-0.08,-0.08,-0.22
12,Currency Exchange Gain (Loss),-,-,-13.39,-,7.74,-25.07
13,Other Non Operating Income (Expenses),-,-,2.59,-,-4.51,4.51
14,EBT Excluding Unusual Items,54.71,69.98,-177.38,-1681,-683.6,-645.06
15,Impairment of Goodwill,-,-,-,-,-117.5,-
16,Gain (Loss) on Sale of Investments,33.38,-28.91,-312.82,1021,1023,2028
17,Gain (Loss) on Sale of Assets,-,-,12.48,-,-5.34,3.47
18,Legal Settlements,-,-,-1.28,-,-2.17,-17.16
19,Pretax Income,88.08,41.07,-479.01,-660.19,213.93,1369
20,Income Tax Expense,5.41,10.04,10.6,6.58,13.64,-2.88
21,Earnings From Continuing Operations,82.68,31.03,-489.61,-666.77,200.3,1372
22,Minority Interest in Earnings,3.44,-3.44,29.59,25.8,42.39,41.21
23,Net Income,86.12,27.59,-460.02,-640.97,242.69,1413
24,Net Income to Common,86.12,27.59,-460.02,-640.97,242.69,1413
25,Shares Outstanding (Basic),8607,8812,5280,3079,3040,3005
26,Shares Outstanding (Diluted),9838,8812,5280,7541,7258,7190
27,Shares Change (YoY),86.33%,16.85%,-27.25%,4.88%,-,-
28,EPS (Basic),0.01,0.00,-0.09,-0.21,0.08,0.47
29,EPS (Diluted),0.00,0.00,-0.09,-0.22,-0.14,-0.09
30,Free Cash Flow,71.7,180.43,118.19,-247.8,-496.32,-596.72
31,Free Cash Flow Per Share,0.01,0.02,0.02,-0.03,-0.07,-0.08
32,Operating Margin,1.72%,2.30%,-2.78%,-40.63%,-16.85%,-17.43%
33,Profit Margin,1.60%,0.57%,-9.55%,-15.90%,6.28%,41.54%
34,Free Cash Flow Margin,1.33%,3.71%,2.45%,-6.15%,-12.84%,-17.54%
35,EBITDA,337.54,344.52,-10.06,-1386,-524.03,-474.74
36,D&A For EBITDA,244.46,232.54,123.88,251.98,127.38,118.5
37,EBIT,93.09,111.98,-133.94,-1638,-651.4,-593.23
