,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2018,Q1 2018,Q2 2017,+1 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017",+1 Quarters
0,Market Capitalization,11592064,10751204,10840797,10930390,11288764,10584518,11417945,11667973,11417945,10736700,12688827,13255185,16568981,17020862,16568981,18633550,20688200,-,-,-,-,Upgrade
1,Market Cap Growth,1.57%,1.57%,-5.05%,-6.32%,-1.13%,-1.42%,-10.02%,-11.97%,-31.09%,-36.92%,-23.42%,-28.86%,-19.91%,-,-,-,-,-,-,-,-,Upgrade
2,Last Close Price,12100.00,11222.29,11315.81,11409.33,11783.41,11048.31,11918.25,12179.23,11918.25,11483.28,13571.15,14176.89,17721.11,18204.41,17721.11,19929.24,22126.76,-,-,-,-,Upgrade
3,PE Ratio,11.46,10.63,10.22,12.04,13.19,12.39,16.22,13.44,12.43,12.69,16.89,18.00,22.42,23.75,22.96,27.07,29.61,-,-,-,-,Upgrade
4,PS Ratio,3.30,3.06,3.14,3.55,3.71,3.66,4.04,3.78,3.91,3.87,5.41,5.92,7.34,7.61,7.17,8.71,10.14,-,-,-,-,Upgrade
5,PB Ratio,0.98,0.91,0.95,0.98,1.01,0.97,1.09,1.12,1.13,1.10,1.33,1.42,1.83,1.88,-,-,2.47,-,-,-,-,Upgrade
6,P/FCF Ratio,-,-,-,-,-0.66,-,-,-,-,-,-,-,3.26,-,5.47,-,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-0.67,-,-,-,-,-,-,-,3.25,-,5.44,-,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,1.36,1.37,0.88,1.05,0.64,0.66,0.72,0.60,0.88,0.81,0.83,0.91,0.60,0.60,-,-,0.72,0.72,0.16,-,-,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-0.41,-,-,-,-,-,-,-,1.07,-,-,-,-,-,-,-,-,Upgrade
10,Return on Equity (ROE),12.43%,7.67%,5.83%,9.85%,15.39%,2.45%,4.35%,-,10.74%,9.67%,-,8.69%,-,-,-,8.33%,-,-,-,-,Upgrade,
11,Return on Assets (ROA),0.90%,0.56%,0.43%,0.72%,1.10%,0.18%,0.33%,-,0.82%,0.73%,-,-,-,-,-,-,-,-,-,-,Upgrade,
12,Earnings Yield,8.72%,9.41%,9.79%,8.30%,7.58%,8.07%,6.16%,7.44%,8.04%,7.88%,5.92%,5.55%,4.46%,4.21%,4.35%,3.69%,3.38%,-,-,-,-,Upgrade
13,FCF Yield,-65.21%,-70.31%,-90.80%,-93.54%,-152.28%,-192.01%,-168.70%,-129.46%,-61.07%,-23.56%,-2.45%,-,30.65%,-,18.28%,-15.10%,-24.11%,-,-,-,-,Upgrade
14,Payout Ratio,61.81%,-,288.04%,-,230.76%,-,-,-,-,-,264.09%,-,-,-,209.29%,-,-,-,128.26%,132.22%,-,Upgrade
