,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2018,Q1 2018,Q2 2017,+1 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017",+1 Quarters
0,Interest Income on Loans,3015042,2925285,2849624,3022162,3624713,3276354,3404277,3078940,2853571,2630639,2451140,2411362,2368988,2330846,2380882,2379497,2563436,1823741,1807301,1757277,Upgrade
1,Interest Income on Investments,12638,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Total Interest Income,3027680,2925285,2849624,3022162,3624713,3276354,3404277,3078940,2853571,2630639,2451140,2411362,2368988,2330846,2380882,2379497,2563436,1823741,1807301,1757277,Upgrade
3,Interest Paid on Deposits,2175981,2177643,1927831,2209448,2880825,2850115,2763403,2500670,2010532,1993906,1943916,1880466,1814551,1796975,1805143,1865037,1962472,1371435,1361423,1278609,Upgrade
4,Net Interest Income,851699,747642,921793,812714,743888,426239,640874,578270,843039,636733,507224,530896,554437,533871,575739,514460,600964,452306,445878,478668,Upgrade
5,Net Interest Income Growth (YoY),14.49%,75.40%,43.83%,40.54%,-11.76%,-33.06%,26.35%,8.92%,52.05%,19.27%,-11.90%,3.19%,-7.74%,18.03%,29.12%,7.48%,52.13%,-,-,-,Upgrade
6,Gain (Loss) on Sale of Investments,-,144805,-70268,11539,254637,13315,20624,31076,71874,24353,4504,6744,45336,94150,-1181,14962,16320,71759,31122,60,Upgrade
7,Gain (Loss) on Sale of Equity Investments,-,-,-,-,10865,11550,-,5224,2373,4534,-,-,1978,-,-,-,-,4631,4907,2288,Upgrade
8,Other Non-Interest Income,226966,5838,-6141,14376,127277,61088,56103,65283,83669,107927,40090,8411,130860,8727,17017,17943,74341,55795,58312,41543,Upgrade
9,Total Non-Interest Income,226966,150643,-76409,25915,392779,85953,76727,101583,157916,136814,44594,15155,178174,102877,15836,32905,90661,132185,94341,43891,Upgrade
10,Non-Interest Income Growth (YoY),-42.22%,75.26%,-,-74.49%,148.73%,-37.18%,72.06%,570.29%,-11.37%,32.99%,181.60%,-53.94%,96.53%,-22.17%,-83.21%,-25.03%,196.68%,-,-,-,Upgrade
11,Revenues Before Loan Losses,1078665,898285,845384,838629,1136667,512192,717601,679853,1000955,773547,551818,546051,732611,636748,591575,547365,691625,584491,540219,522559,Upgrade
12,Provision for Loan Losses,-11420,41037,121082,714,100568,28083,33160,-9244,35141,23696,33821,7547,192877,-5955,56667,28334,77288,113327,104448,210178,Upgrade
13,Revenue,1090085,857248,724302,837915,1036099,484109,684441,689097,965814,749851,517997,538504,539734,642703,534908,519031,614337,471164,435771,312381,Upgrade
14,Revenue Growth (YoY),5.21%,77.08%,5.82%,21.60%,7.28%,-35.44%,32.13%,27.97%,78.94%,16.67%,-3.16%,3.75%,-12.14%,36.41%,22.75%,66.15%,103.15%,-,-,-,Upgrade
15,Salaries and Employee Benefits,376850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Occupancy Expenses,13042,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Other Non-Interest Expense,253155,585989,520911,499325,526460,406994,545448,354010,642107,465739,315848,292639,333442,376100,329285,301296,401611,247178,218573,160017,Upgrade
18,Total Non-Interest Expense,643047,585989,520911,499325,526460,406994,545448,354010,642107,465739,315848,292639,333442,376100,329285,301296,401611,247178,218573,160017,Upgrade
19,EBT Excluding Unusual Items,447038,271259,203391,338590,509639,77115,138993,335087,323707,284112,202149,245865,206292,266603,205623,217735,212726,223986,217198,152364,Upgrade
20,Pretax Income,447038,271259,203391,338590,509639,77115,138993,335087,323707,284112,202149,245865,206292,266603,205623,217735,212726,223986,217198,152364,Upgrade
21,Income Tax Expense,86375,54252,40577,67718,99412,13276,27775,66004,64080,55965,40521,49249,41573,53332,41088,43561,43152,43871,42472,29877,Upgrade
22,Net Income,360663,217007,162814,270872,410227,63839,111218,269083,259627,228147,161628,196616,164719,213271,164535,174175,169574,180115,174726,122487,Upgrade
23,Net Income to Common,360663,217007,162814,270872,410227,63839,111218,269083,259627,228147,161628,196616,164719,213271,164535,174175,169574,180115,174726,122487,Upgrade
24,Net Income Growth,-12.08%,239.93%,46.39%,0.66%,58.01%,-72.02%,-31.19%,36.86%,57.62%,6.98%,-1.77%,12.88%,-2.86%,18.41%,-5.83%,42.20%,43.30%,-,-,-,Upgrade
25,Basic Shares Outstanding,896,-,958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Diluted Shares Outstanding,896,-,958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,EPS (Basic),402.56,-,169.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,EPS (Diluted),402.56,-,169.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Effective Tax Rate,19.32%,20.00%,19.95%,20.00%,19.51%,17.22%,19.98%,19.70%,19.80%,19.70%,20.05%,20.03%,20.15%,20.00%,19.98%,20.01%,20.29%,19.59%,19.55%,19.61%,Upgrade
