,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,211.8,175.85,165.02,135.61,153.47,120.99,169.32,132.33,124.82,87.19,145.79,167.93,232.04,276.53,229.91,148.24
1,Other Revenue,-,-3.18,3.18,-,2.36,-,-,-,0.08,-,-,-,0.22,-0.17,-,0.17
2,Revenue,211.8,172.67,168.21,135.61,155.83,120.99,169.32,132.33,124.9,87.19,145.79,167.93,232.27,276.36,229.91,148.42
3,Revenue Growth (YoY),35.92%,42.72%,-0.66%,2.48%,24.77%,38.76%,16.14%,-21.20%,-46.23%,-68.45%,-36.59%,13.15%,-,-,-,-
4,Cost of Revenue,-357.24,124.75,132.94,99.56,130.73,90.15,129.38,102.64,111.45,68.85,99.38,105.15,137.79,138.75,125.13,103.09
5,Gross Profit,569.04,47.93,35.27,36.06,25.1,30.84,39.93,29.7,13.45,18.34,46.41,62.78,94.48,137.61,104.78,45.33
6,"Selling, General & Admin",-50.02,18.56,18.47,12.99,15.83,13.22,13.52,11.14,14.02,12.47,10.16,9.92,12.57,10.12,10.2,8.16
7,Research & Development,-128.81,44.03,48.6,36.18,47.43,42.72,36.84,32.29,40.51,30.6,19.47,24.67,28.86,23.19,19.9,14.8
8,Other Operating Expenses,667.34,-10.35,3.03,-8.09,0.89,-1.24,-4.3,-0.31,8.04,-5.21,-1.01,-1.05,5.3,1.25,-2.35,0.48
9,Operating Expenses,488.41,52.19,70.27,41.05,64.31,54.55,46.17,43.24,62.57,37.7,28.39,33.84,46.31,34.6,27.91,23.68
10,Operating Income,80.63,-4.27,-35,-4.99,-39.21,-23.71,-6.23,-13.55,-49.12,-19.36,18.02,28.94,48.16,103.01,76.87,21.64
11,Interest Expense,-12,-0.17,-0.2,-0.19,-0.31,-0.27,-0.38,-0.47,-0.24,-0.26,-0.28,-0.32,-0.14,-0.15,-0.14,-0.1
12,Interest & Investment Income,0.56,3.13,6.54,2.34,6.03,4.82,6,4.99,5.37,2.38,1.39,1.04,1.42,0.96,0.67,0.52
13,Currency Exchange Gain (Loss),-,0.01,-0.01,-,-0.17,-0.01,0.01,-,0.04,-0.01,0.01,-,-0,0,-0,-0
14,Other Non Operating Income (Expenses),-72.67,-0.15,-0.01,-0.01,0.24,-0.34,-0.02,-0.02,-0.21,0.21,-0.22,-0.01,0.01,-0.03,-0.01,-0.01
15,EBT Excluding Unusual Items,-3.48,-1.46,-28.68,-2.85,-33.41,-19.52,-0.62,-9.05,-44.16,-17.05,18.92,29.66,49.45,103.79,77.38,22.05
16,Gain (Loss) on Sale of Investments,-5.97,2.69,-0.21,3.49,-0.6,1.3,0.42,6.03,0.64,1.68,-0.06,0.06,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.23,0.01,0.22,-,1.64,0,-0,-,-0.01,-0,0.01,-,-0.01,0,-0,-
18,Asset Writedown,8.42,-8.42,4.67,-4.67,3.15,-3.15,1.66,-1.66,6.59,-6.59,2.16,-2.16,0.25,-0.25,0,-0
19,Other Unusual Items,-,-7.89,7.89,-0,16.11,-,-,-,11.57,-,-,-,4.73,-,-0.04,0.04
20,Pretax Income,-1.25,-15.07,-16.1,-4.03,-13.11,-21.37,1.47,-4.68,-25.37,-21.96,21.04,27.55,54.43,103.55,77.34,22.08
21,Income Tax Expense,-18.78,0.15,-0.26,-0.4,-3.09,-0.44,1.46,0.61,-24.41,-1.75,-0.5,-1.04,4.13,8.14,7.31,0.33
22,Earnings From Continuing Operations,17.52,-15.22,-15.84,-3.63,-10.01,-20.92,0.01,-5.29,-0.96,-20.21,21.54,28.6,50.3,95.41,70.03,21.75
23,Minority Interest in Earnings,-14.31,5.45,4.95,3.92,5.28,5.27,3.62,2.98,3.72,3.36,1.33,0.58,0.51,0.19,0.89,0.63
24,Net Income,3.21,-9.77,-10.89,0.28,-4.74,-15.66,3.63,-2.31,2.76,-16.85,22.87,29.17,50.81,95.6,70.92,22.38
25,Net Income to Common,3.21,-9.77,-10.89,0.28,-4.74,-15.66,3.63,-2.31,2.76,-16.85,22.87,29.17,50.81,95.6,70.92,22.38
26,Net Income Growth,-,-,-,-,-,-,-84.12%,-,-94.56%,-,-67.75%,30.34%,-,-,-,-
27,Shares Outstanding (Basic),71,62,72,70,68,73,63,69,70,69,57,52,52,52,52,52
28,Shares Outstanding (Diluted),71,62,72,70,68,73,63,69,70,69,57,52,52,52,52,52
29,Shares Change (YoY),4.84%,-14.32%,14.14%,0.72%,-3.27%,4.81%,9.68%,32.46%,34.97%,34.55%,11.36%,0.08%,-,-,-,-
30,EPS (Basic),0.05,-0.16,-0.15,0.00,-0.07,-0.22,0.06,-0.03,0.04,-0.24,0.40,0.56,0.98,1.85,1.37,0.43
31,EPS (Diluted),0.05,-0.16,-0.15,0.00,-0.07,-0.22,0.06,-0.03,0.04,-0.24,0.40,0.56,0.98,1.85,1.37,0.43
32,EPS Growth,-,-,-,-,-,-,-85.52%,-,-95.97%,-,-71.04%,30.23%,-,-,-,-
33,Free Cash Flow,-,-23.6,-8.81,9.89,37.38,-30.66,-8.43,-25.99,24.72,-45.01,-27.04,-63.06,20.69,63.82,53.25,1.37
34,Free Cash Flow Per Share,-,-0.38,-0.12,0.14,0.55,-0.42,-0.13,-0.38,0.35,-0.65,-0.47,-1.21,0.40,1.24,1.03,0.03
35,Gross Margin,268.67%,27.76%,20.97%,26.59%,16.11%,25.49%,23.58%,22.44%,10.77%,21.04%,31.84%,37.38%,40.68%,49.80%,45.57%,30.54%
36,Operating Margin,38.07%,-2.47%,-20.81%,-3.68%,-25.16%,-19.60%,-3.68%,-10.24%,-39.33%,-22.20%,12.36%,17.23%,20.74%,37.27%,33.44%,14.58%
