,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2451,2167,2021,2045,1926,2957,3187,3936,4852,3777,3404,4639,-,-,-,-,-
1,Market Cap Growth,-26.74%,-26.74%,-36.57%,-48.04%,-60.30%,-21.70%,-6.39%,-15.15%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1503,1218,1054,1088,962,2001,2213,2953,3858,2815,2396,4455,-,-,-,-,-
3,Last Close Price,36.09,31.90,29.76,30.07,28.27,42.83,46.15,57.00,70.27,54.70,49.30,67.18,-,-,-,-,-
4,PE Ratio,-,-126.18,-,-,-116.91,-,-,-308.37,-,99.49,-,23.37,-,-,-,-,-
5,Forward PE,-,100.49,85.03,85.91,19.23,33.59,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.60,3.15,3.20,3.52,3.31,5.11,5.82,7.66,9.90,7.18,5.38,5.64,-,-,-,-,-
7,PB Ratio,1.67,1.65,1.54,1.55,1.47,2.26,2.35,2.87,3.58,2.79,2.52,3.39,-,-,-,-,-
8,P/TBV Ratio,1.64,1.64,1.53,1.55,1.48,2.28,2.38,2.92,3.55,2.77,2.51,3.38,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,235.50,-106.78,-,-,-,-34.21,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,93.20,-197.53,-,-,-,-73.54,-183.95,-,-,-,-,-,-
11,EV/Sales Ratio,2.18,1.77,1.67,1.87,1.65,3.46,4.04,5.75,7.87,5.35,3.78,5.42,-,-,-,-,-
12,EV/EBITDA Ratio,34.70,27.60,-,-,-,-,-,-,-,-,-,22.29,-,-,-,-,-
13,EV/EBIT Ratio,41.32,33.50,-,-,-,-,-,-,-,-,-,22.48,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,117.60,-72.25,-,-,-,-25.50,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.06,0.02,-,-,0.02
16,Debt / EBITDA Ratio,0.40,0.05,-,-,-,-,-,-,-,-,-,0.29,0.24,0.05,-,-,0.03
17,Debt / FCF Ratio,-,-,-,-,2.71,-0.64,-,-,-,-0.20,-,-,-,0.08,-,-,2.38
18,Asset Turnover,-,0.48,0.47,0.38,0.43,0.32,0.45,0.36,0.34,0.24,0.55,1.13,-,-,-,-,
19,Inventory Turnover,-,-,2.71,3.38,2.59,3.01,2.01,3.04,2.52,2.70,1.59,2.49,3.19,-,-,-,-
20,Quick Ratio,-,-,9.46,10.37,10.54,8.94,9.82,9.52,11.18,11.80,16.35,12.17,3.15,3.47,-,-,-
21,Current Ratio,-,-,11.40,12.11,12.26,10.51,11.81,11.25,13.17,13.83,19.46,14.35,4.80,4.84,-,-,-
22,Return on Equity (ROE),5.32%,-4.62%,-4.83%,-1.11%,-3.01%,-6.13%,0.00%,-1.56%,-0.28%,-5.94%,9.30%,24.46%,-,-,-,-,
23,Return on Assets (ROA),-,-0.74%,-6.11%,-0.87%,-6.70%,-3.96%,-1.05%,-2.30%,-8.46%,-3.31%,4.28%,12.22%,-,-,-,-,
24,Return on Capital (ROIC),15.12%,-0.80%,-6.58%,-0.94%,-7.26%,-4.28%,-1.12%,-2.46%,-8.92%,-3.49%,4.73%,14.85%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,14.27%,50.60%,54.29%,-,-,-
26,Earnings Yield,-0.70%,-0.79%,-1.24%,-1.52%,-0.86%,-0.64%,-0.36%,-0.32%,0.13%,1.01%,2.53%,4.28%,-,-,-,-,-
27,FCF Yield,-,0.74%,0.38%,0.42%,-0.94%,-1.27%,-1.39%,-1.51%,-2.92%,-3.36%,-0.12%,-,-,-,-,-,
28,Payout Ratio,0.00%,-,-,-,-,-,-,4.33%,-,-,-,0.03%,0.11%,0.07%,0.04%,0.05%,0.17%
29,Buyback Yield / Dilution,-0.83%,-4.84%,14.32%,-14.14%,-0.72%,3.27%,-4.81%,-9.68%,-32.46%,-34.97%,-34.55%,-11.36%,-0.08%,-,-,-,-
30,Total Shareholder Return,-0.83%,-4.84%,14.32%,-14.14%,-0.72%,3.27%,-4.81%,-9.68%,-32.46%,-34.97%,-34.55%,-11.36%,-0.08%,-,-,-,-
