,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,144.2,263.94,208.76,724.17,278.76,238.29,315.3,452.3,430.47,1029,108.87,274.93,-,-,-
1,Trading Asset Securities,-,788.97,689.28,748.49,239.66,684.78,748.27,676.85,552.32,548.68,-,100.06,-,-,-,-
2,Cash & Short-Term Investments,933.17,933.17,953.22,957.25,963.83,963.54,986.56,992.15,1005,979.15,1029,208.93,274.93,-,-,138.6
3,Cash Growth,-3.18%,-3.15%,-3.38%,-3.52%,-4.06%,-1.59%,-4.09%,374.87%,265.41%,-,-,50.75%,-,-,-,-
4,Accounts Receivable,-,93.73,100.94,89.42,88.41,78.93,91.19,78.22,69.39,51.18,91.64,89,72.4,-,-,-
5,Other Receivables,-,32.49,32.38,32.73,32.31,55.04,54.77,54.71,54.53,54.52,56.26,54.47,13.54,-,-,-
6,Receivables,-,126.21,133.32,122.15,120.73,133.98,145.96,132.93,123.92,105.71,147.9,143.47,85.95,-,-,-
7,Inventory,-,201.63,166.98,147.66,160.12,186.78,172.16,168.69,156.82,172.96,174.4,144.48,119.31,-,-,-
8,Other Current Assets,-,15.27,15.04,27.72,30.64,35.83,33.75,31.15,37.51,33.29,37.16,40.92,24.03,-,-,-
9,Total Current Assets,-,1276,1269,1255,1275,1320,1338,1325,1323,1291,1388,537.8,504.22,-,-,-
10,"Property, Plant & Equipment",-,104.85,106.13,114.87,87.26,74.69,76.88,77.48,77.59,38.31,37.09,37.24,17.98,-,-,-
11,Long-Term Investments,-,-,-,-,-,-,-,7.2,7.46,20,12.5,-,-,-,-,-
12,Goodwill,-,22.65,22.65,22.65,22.65,22.65,22.65,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,5.84,6.11,6.37,6.84,7.32,7.71,2.62,3,2.87,2.41,2.7,2.99,-,-,-
14,Long-Term Deferred Tax Assets,-,5.41,5.18,4.49,3.99,0.77,0.96,0.95,0.95,0.76,0.36,0.44,0.24,-,-,-
15,Long-Term Deferred Charges,-,4.37,3.92,2.8,3.11,3.31,3.59,3.67,3.73,3.4,3.42,1.81,1.16,-,-,-
