,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,340.21,189.18,226.1,119.45,227.32,153.98,196.17,114.1,253.16,98.34,91.34,91.34
1,Other Revenue,-,-3.06,3.06,-,5.63,-3.09,3.09,-,4.77,-1.97,0.99,0.99
2,Revenue,340.21,186.12,229.16,119.45,232.95,150.89,199.26,114.1,257.93,96.37,92.33,92.33
3,Revenue Growth (YoY),46.05%,23.35%,15.01%,4.69%,-9.69%,56.58%,115.82%,23.58%,-,-,-,-
4,Cost of Revenue,418.88,125.82,177.64,74.31,154.98,101.6,137.2,79.51,168.11,63.46,61.5,61.5
5,Gross Profit,-78.66,60.3,51.52,45.14,77.97,49.29,62.06,34.59,89.82,32.9,30.83,30.83
6,"Selling, General & Admin",-49.3,15.68,18.01,15.61,15.93,17.14,14.78,11.93,15.98,11.84,10.13,10.13
7,Research & Development,-60.56,26.66,17.76,16.14,19.73,18.5,17.67,13.54,19.01,11.2,8.91,8.91
8,Other Operating Expenses,23.77,-17.06,-7.18,0.48,5.73,-9.31,2.55,-0.58,7.95,-0.12,-3.35,-3.35
9,Operating Expenses,-113.23,39.71,35.33,38.19,52.09,28.26,40.83,27.89,57.3,20.88,18.68,18.68
10,Operating Income,34.57,20.6,16.19,6.94,25.87,21.04,21.23,6.7,32.52,12.03,12.15,12.15
11,Interest Expense,-11.48,-,-2.11,-0.4,-0.01,-0.77,-1.12,-0.93,-0.79,-0.44,-,-
12,Interest & Investment Income,1.33,4.09,5.81,2.75,3.57,2.43,2.8,0.73,1.19,0.97,1.26,1.26
13,Currency Exchange Gain (Loss),-,-0,0,-,-0.01,-,-,-,0.23,-0.11,0.06,0.06
14,Other Non Operating Income (Expenses),1.98,-2.2,-0.23,-0.02,-0.21,-0.23,-0.01,0.15,-0.49,0.17,-0.07,-0.07
15,EBT Excluding Unusual Items,26.41,22.48,19.67,9.28,29.22,22.47,22.89,6.64,32.65,12.62,13.39,13.39
16,Gain (Loss) on Sale of Investments,-10.03,3.23,2.12,4.67,3.52,1.75,-0.55,1.42,0.65,0.84,0.59,0.59
17,Gain (Loss) on Sale of Assets,0,-,-0,-,-0.08,0.01,0.03,-0.01,-0.06,-,1.69,1.69
18,Asset Writedown,4.1,-4.1,0.97,-0.97,5.53,-5.53,1.65,-1.65,4.02,-4.02,-,-
19,Other Unusual Items,0.12,-3.36,1.67,1.57,15.92,-5.26,5.26,-,21.03,-1.36,0.68,0.68
20,Pretax Income,20.61,18.25,24.44,14.55,54.1,13.43,29.28,6.41,58.28,8.09,16.36,16.36
21,Income Tax Expense,10.1,-3.1,0.56,-1.1,3.25,-0.76,1.87,-2.27,5.17,-1.67,0.84,0.84
22,Earnings From Continuing Operations,10.5,21.35,23.87,15.65,50.85,14.19,27.4,8.68,53.11,9.75,15.52,15.52
23,Minority Interest in Earnings,5.29,-6.15,0.67,0.19,0,-,-,-,-,-,-,-
24,Net Income,15.8,15.2,24.54,15.84,50.85,14.19,27.4,8.68,53.11,9.75,15.52,15.52
25,Net Income to Common,15.8,15.2,24.54,15.84,50.85,14.19,27.4,8.68,53.11,9.75,15.52,15.52
26,Net Income Growth,-68.94%,7.09%,-10.44%,82.58%,-4.25%,45.49%,76.60%,-44.09%,-,-,-,-
27,Shares Outstanding (Basic),93,95,95,93,98,87,69,72,70,70,72,72
28,Shares Outstanding (Diluted),93,95,95,93,98,87,69,72,70,70,72,72
29,Shares Change (YoY),-4.76%,8.93%,36.80%,28.88%,39.85%,23.72%,-4.14%,0.18%,-,-,-,-
30,EPS (Basic),0.17,0.16,0.26,0.17,0.52,0.16,0.40,0.12,0.76,0.14,0.21,0.21
31,EPS (Diluted),0.17,0.16,0.26,0.17,0.52,0.16,0.40,0.12,0.76,0.14,0.21,0.21
32,EPS Growth,-67.39%,-1.69%,-34.53%,41.67%,-31.53%,17.59%,84.22%,-44.19%,-,-,-,-
33,Free Cash Flow,-,-21.9,-49.47,-82.44,-50.6,-15.58,6.11,-62.84,14.23,-69.64,28.67,28.67
34,Free Cash Flow Per Share,-,-0.23,-0.52,-0.88,-0.52,-0.18,0.09,-0.87,0.20,-0.99,0.40,0.40
35,Dividend Per Share,-,-,-,-,0.330,-,-,-,-,-,-,-
36,Gross Margin,-23.12%,32.40%,22.48%,37.79%,33.47%,32.67%,31.15%,30.31%,34.82%,34.14%,33.39%,33.39%
37,Operating Margin,10.16%,11.07%,7.07%,5.81%,11.11%,13.94%,10.65%,5.87%,12.61%,12.48%,13.16%,13.16%
38,Profit Margin,4.64%,8.16%,10.71%,13.26%,21.83%,9.40%,13.75%,7.60%,20.59%,10.12%,16.81%,16.81%
39,Free Cash Flow Margin,-,-11.77%,-21.59%,-69.01%,-21.72%,-10.33%,3.06%,-55.07%,5.52%,-72.27%,31.06%,31.06%
40,EBITDA,36.23,22.26,18.46,8.61,27.54,22.19,22.78,7.85,33.67,12.93,13.05,13.05
41,EBITDA Margin,10.65%,11.96%,8.05%,7.21%,11.82%,14.70%,11.43%,6.88%,13.05%,13.41%,14.13%,14.13%
42,D&A For EBITDA,1.66,1.66,2.27,1.66,1.66,1.15,1.55,1.15,1.15,0.9,0.9,0.9
43,EBIT,34.57,20.6,16.19,6.94,25.87,21.04,21.23,6.7,32.52,12.03,12.15,12.15
44,EBIT Margin,10.16%,11.07%,7.07%,5.81%,11.11%,13.94%,10.65%,5.87%,12.61%,12.48%,13.16%,13.16%
45,Effective Tax Rate,49.03%,-,2.29%,-,6.02%,-,6.40%,-,8.88%,-,5.14%,5.14%
46,Revenue as Reported,-,186.12,229.16,119.45,232.95,150.89,199.26,114.1,257.93,96.37,92.33,92.33
