,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3759,3104,2748,2936,2880,3487,4084,-,-,-,-,-,-
1,Market Cap Growth,-10.98%,-10.98%,-32.71%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3191,2535,2043,2132,1778,2385,3920,-,-,-,-,-,-
3,Last Close Price,40.83,33.71,29.15,31.06,29.83,36.12,42.31,-,-,-,-,-,-
4,PE Ratio,53.72,43.49,25.82,27.85,26.59,34.48,39.51,-,-,-,-,-,-
5,PS Ratio,4.38,3.55,3.58,4.01,4.10,5.00,5.66,-,-,-,-,-,-
6,PB Ratio,2.33,1.91,1.70,1.78,1.74,2.09,2.53,-,-,-,-,-,-
7,P/TBV Ratio,2.02,2.02,1.79,1.87,1.79,2.15,2.61,-,-,-,-,-,-
8,P/OCF Ratio,-,-,-43.41,-,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,3.65,2.90,2.66,2.91,2.53,3.42,5.43,-,-,-,-,-,-
10,EV/EBITDA Ratio,37.56,29.63,26.58,27.76,21.92,29.68,45.33,-,-,-,-,-,-
11,EV/EBIT Ratio,40.75,32.38,29.35,30.43,23.68,31.87,48.11,-,-,-,-,-,-
12,Debt / Equity Ratio,0.19,0.19,0.19,0.09,0.14,0.17,0.04,0.19,0.24,0.24,-,-,0.15
13,Debt / EBITDA Ratio,3.62,2.12,3.46,1.78,6.51,2.53,0.79,1.30,4.37,1.02,-,-,1.38
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-1.05,-,71.03,-,-,2.51
15,Asset Turnover,-,0.28,0.37,0.20,0.39,0.33,-,-,-,-,-,-,
16,Inventory Turnover,-,-,0.87,1.47,0.73,1.48,0.95,-,-,-,-,-,-
17,Quick Ratio,-,-,1.33,1.53,2.03,1.75,2.29,0.97,-,0.95,-,-,-
18,Current Ratio,-,-,1.97,2.22,2.70,2.31,3.00,1.67,-,1.64,-,-,-
19,Return on Equity (ROE),2.59%,5.22%,5.78%,3.77%,12.40%,5.11%,18.63%,6.09%,-,-,-,-,
20,Return on Assets (ROA),-,1.96%,1.64%,0.71%,2.69%,2.83%,-,-,-,-,-,-,
21,Return on Capital (ROIC),4.48%,2.76%,2.20%,0.91%,3.56%,4.37%,7.41%,2.37%,-,-,-,-,
22,Return on Capital Employed (ROCE),-,-,4.26%,4.21%,4.51%,4.46%,5.00%,10.86%,-,10.90%,-,-,-
23,Earnings Yield,1.90%,2.30%,3.87%,3.59%,3.76%,2.90%,2.53%,-,-,-,-,-,-
24,FCF Yield,-,-7.44%,-6.75%,-4.95%,-3.53%,-1.42%,-,-,-,-,-,-,
25,Dividend Yield,0.77%,-,-,-,-,0.91%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,10.22%,124.24%,4.15%,5.30%,-,-,10.49%,1.40%,5.20%,1.54%,1.54%
27,Buyback Yield / Dilution,-15.16%,4.76%,-8.93%,-36.80%,-28.88%,-39.85%,-23.72%,4.14%,-0.18%,-,-,-,-
28,Total Shareholder Return,-14.39%,4.76%,-8.93%,-36.80%,-28.88%,-38.94%,-23.72%,4.14%,-0.18%,-,-,-,-
