,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,768.14,883.63,822.73,1061,1114,1103,1368,531.91,496.54,580.23,695.21,784.03,812.85,938.97,65.98,204.23,-,164.1,-
1,Trading Asset Securities,320,250,343.53,253.53,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1088,1134,1166,1314,1229,1103,1368,531.91,496.54,580.23,695.21,784.03,812.85,938.97,65.98,204.23,-,164.1,193.3
3,Cash Growth,-11.49%,2.76%,-14.74%,147.06%,147.59%,90.13%,96.76%,-32.16%,-38.91%,-38.21%,953.61%,283.89%,-,472.21%,-65.86%,-,-,-,-
4,Accounts Receivable,298.34,209.43,267.62,219.45,272.88,238.59,295.48,265.14,186.3,177.77,139.21,200.36,221.93,142.27,140.02,112.73,-,64.47,-
5,Other Receivables,35.3,117.75,32.74,147.67,14.34,76.31,14.83,60.6,-,19.52,-,32.18,-,14.88,-,-,-,4.25,-
6,Receivables,333.64,327.19,300.37,367.11,287.22,314.9,310.31,325.73,186.3,197.29,139.21,232.55,221.93,157.15,140.02,112.73,-,68.72,-
7,Inventory,272.72,260.79,278.39,262.04,278.55,325.61,272.54,312.12,243.41,225.14,246.59,281.94,221.38,197.6,154.98,140.54,-,110.25,-
8,Prepaid Expenses,-,13.13,-,0.97,-,0.11,-,5.41,-,-,-,0.82,-,-,-,-,-,-,-
9,Other Current Assets,121.06,28.62,126.96,32.53,134.92,47.45,85.74,23.46,66,36.72,76.6,33.43,60.04,41.27,53.81,24.94,-,19.63,-
10,Total Current Assets,1816,1763,1872,1977,1930,1791,2036,1199,992.25,1039,1158,1333,1316,1335,414.79,482.45,-,362.69,-
11,"Property, Plant & Equipment",1625,1562,1463,1421,1427,1336,1260,1234,1109,1014,971.57,904.34,753.8,671.41,478.82,374.32,-,300.59,-
12,Long-Term Investments,41.6,41.6,41.88,41.88,35.18,30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,342.36,346.92,318.36,321.26,280.47,272.29,285.8,287.2,290.85,292.25,155.05,155.91,156.52,142.07,69.08,69.04,-,69.83,-
14,Long-Term Deferred Tax Assets,54.42,62.98,67.14,74.99,54.81,46.95,49.27,52,29.27,27.72,25.42,21.01,14.95,9.41,7.06,7.93,-,4.77,-
15,Long-Term Deferred Charges,48.16,42.53,38.59,39.55,35.55,36.13,38.57,40.24,41.52,36.98,34.32,35.58,24.71,15.06,12.87,18.32,-,9.47,-
16,Other Long-Term Assets,109.3,87.52,103.04,64.04,138.81,107.86,107.3,55.86,126.37,126.79,115.21,83.15,74.81,72.98,171.53,22.63,-,9.56,-
17,Total Assets,4036,3907,3904,3940,3902,3621,3778,2868,2590,2537,2459,2533,2341,2246,1154,974.69,-,756.9,-
