,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6987,6078,4716,5576,8221,10778,11586,17948,16287,14604,17603,14560,22366,25232,26248,-,-,-,-,-
1,Market Cap Growth,-43.61%,-43.61%,-59.29%,-68.93%,-49.52%,-26.19%,-34.18%,23.27%,-27.18%,-42.12%,-32.94%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6951,5952,4544,5240,7885,10448,11055,17603,15942,14187,16973,13818,21624,24407,26274,-,-,-,-,-
3,Last Close Price,41.61,36.02,27.95,32.20,47.47,62.24,66.90,102.96,93.43,83.78,100.98,83.03,127.55,143.89,149.68,-,-,-,-,-
4,PE Ratio,59.56,51.63,47.11,55.80,-,53.44,63.81,116.84,113.29,78.51,81.22,58.25,79.00,93.13,89.63,-,-,-,-,-
5,Forward PE,20.20,20.52,15.25,19.09,25.03,32.31,34.33,61.98,57.76,50.49,54.08,41.97,69.72,78.28,76.03,-,-,-,-,-
6,PS Ratio,1.93,1.67,1.29,1.54,2.35,3.13,3.59,5.84,5.60,5.02,6.09,5.08,7.94,9.82,10.98,-,-,-,-,-
7,PB Ratio,2.74,2.38,1.89,2.21,3.31,4.29,4.75,7.34,7.65,7.07,8.76,7.12,11.26,13.43,14.50,-,-,-,-,-
8,P/TBV Ratio,2.76,2.76,2.21,2.55,3.82,4.87,5.38,8.35,8.89,8.26,10.25,7.70,12.22,14.65,15.74,-,-,-,-,-
9,P/FCF Ratio,-,-,124.20,-,-101.87,-84.93,-,-,-69.05,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,14.34,14.34,9.62,16.20,26.98,39.79,63.90,-,47.52,41.01,47.99,50.31,76.75,95.15,82.84,-,-,-,-,-
11,EV/Sales Ratio,1.91,1.64,1.25,1.45,2.25,3.04,3.43,5.72,5.48,4.88,5.87,4.82,7.68,9.49,10.99,-,-,-,-,-
12,EV/EBITDA Ratio,23.92,22.01,19.68,23.61,-,31.81,37.54,69.89,71.00,54.51,58.88,41.77,58.09,65.60,66.67,-,-,-,-,-
13,EV/EBIT Ratio,49.50,37.56,35.83,41.05,-,41.77,49.55,95.28,96.98,68.53,71.27,48.05,65.10,72.85,73.21,-,-,-,-,-
