,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,939.83,861.29,916.15,910.22,949.29,838.77,794.49,853.76,729.51,692.23,629.59,853.2,710.65,672.28,578.51,607.93,531.02,418.49,250.94
1,Other Revenue,-3.98,3.98,-,6.32,-2.9,2.9,-,5.51,-1.88,1.88,-,2.35,-0.82,0.82,-,1.31,-0.65,0.65,-
2,Revenue,935.84,865.27,916.15,916.54,946.39,841.67,794.49,859.27,727.62,694.11,629.59,855.55,709.83,673.1,578.51,609.24,530.37,419.13,250.94
3,Revenue Growth (YoY),-1.11%,2.80%,15.31%,6.67%,30.07%,21.26%,26.19%,0.43%,2.51%,3.12%,8.83%,40.43%,33.84%,60.59%,130.54%,-,-,-,-
4,Cost of Revenue,632.3,593.32,617.6,689.27,633.91,568.65,540.04,595.1,489.89,494.46,421.28,568.72,469.16,436.72,367.43,376.24,319.9,262.2,161.34
5,Gross Profit,303.54,271.95,298.55,227.27,312.49,273.01,254.45,264.16,237.74,199.65,208.31,286.83,240.67,236.38,211.08,233,210.48,156.93,89.6
6,"Selling, General & Admin",162.93,168.56,171.03,294.88,194.81,166.03,152.52,169.92,148.02,138.77,137.67,174.97,127.83,135.43,99.84,121.43,87.3,73.5,57.72
7,Research & Development,33.71,36.09,32.56,38.72,40.47,39.38,29.26,36.72,36.92,26.74,21.87,17.4,25.07,26.54,13.19,17.59,14.39,13,7.7
8,Other Operating Expenses,-5.95,3.67,4.39,-0.39,-1.02,1.42,4.49,15.47,2.93,4.02,3.03,15.04,3.03,-3.26,3.1,10.04,2.35,0.01,0.25
9,Operating Expenses,195.43,206.3,209.59,331.52,236.01,206.54,185.16,226.3,188.27,171.52,159.39,206.33,160.08,158.84,117.55,149.62,106.02,87.2,64.13
10,Operating Income,108.11,65.65,88.96,-104.25,76.47,66.47,69.29,37.87,49.47,28.13,48.92,80.5,80.59,77.54,93.53,83.38,104.46,69.73,25.48
11,Interest Expense,-,-6.32,-3.17,-7.01,-2.07,-4.92,-1.5,-3.57,-0.8,-0.15,-0,-3,-0,-0.32,-0.07,-,-0.57,-0.23,-0.77
12,Interest & Investment Income,0.1,4.32,5.2,0.26,2.23,3.3,0.48,0.69,0.75,10.17,1.79,4.24,1.42,1.24,0.47,0.8,0.41,0.42,0.16
13,Currency Exchange Gain (Loss),0.46,-0.46,-,-0.59,0.01,-0.01,-,-0.45,0.05,-0.05,-,-0.3,0.07,-0.07,-,0.1,-0,0,-
14,Other Non Operating Income (Expenses),-3.73,0.64,-0.83,0.8,-3.62,1.01,-0.93,2.55,-1.43,-0.6,-1.04,4.82,-3.55,-0.97,-0.63,0.08,-0.18,0.13,-0.31
15,EBT Excluding Unusual Items,104.95,63.83,90.16,-110.79,73.03,65.85,67.34,37.09,48.05,37.5,49.66,86.26,78.52,77.42,93.29,84.37,104.12,70.06,24.57
16,Gain (Loss) on Sale of Investments,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.42,0.26,-0.26,1.22,0.01,-,-,-,-0.07,-0,-,-0.31,-0.38,-0,-0.01,-0.18,-,-0.01,-0.09
18,Asset Writedown,-14.27,4.59,-4.97,11.6,-17.5,4.97,-6.06,-2.99,-7.4,2.03,-2.06,2.08,-2.12,1.03,-1.08,1.29,-1.35,1.09,-1.11
