,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,89,93,682,944,672,528,630,400,405,415,575
1,Market Cap Growth,-90.13%,-90.13%,1.52%,78.79%,6.67%,32.00%,55.56%,-3.61%,-29.57%,-15.31%,-
2,Enterprise Value,270,260,898,1129,863,731,874,623,597,453,603
3,Last Close Price,0.11,0.11,0.82,1.18,0.84,0.66,0.92,0.70,0.71,0.73,1.01
4,PE Ratio,-,-,-,-99.76,-,-,-,-,-,-,31.38
5,PS Ratio,0.17,0.18,1.16,1.59,7.77,9.43,6.62,4.49,2.38,0.77,0.75
6,PB Ratio,1.12,1.16,7.72,9.55,6.74,4.85,21.24,11.34,3.21,2.12,2.64
7,P/TBV Ratio,1.21,1.21,8.28,10.60,7.06,5.10,21.26,11.35,3.22,2.12,2.64
8,P/FCF Ratio,1.69,-,70.25,-,-,-,-,102.59,-,-,-
9,P/OCF Ratio,1.65,-,50.59,-,-14.50,-,-,75.32,-,-,-
10,EV/Sales Ratio,0.53,0.51,1.53,1.91,9.98,13.05,9.19,6.98,3.50,0.84,0.79
11,EV/EBITDA Ratio,-,-,-,-216.45,-,-,-15.92,-,-,-,17.97
12,EV/EBIT Ratio,-,-,-,-75.41,-,-,-14.98,-,-,-,20.16
13,EV/FCF Ratio,5.12,-,92.47,-,-,-,-,159.73,-,-,-
14,Debt / Equity Ratio,3.40,3.40,2.59,2.36,2.43,2.40,9.18,7.79,1.99,1.34,1.11
15,Debt / FCF Ratio,5.19,-,23.58,-,-,-,-,70.49,-,-,-
16,Return on Capital Employed (ROCE),-,-,-,-13.93%,-,-,-115.56%,-,-,-,12.29%
17,Earnings Yield,-43.02%,-41.10%,-1.55%,-1.00%,-6.65%,-17.93%,-26.79%,-43.77%,-25.33%,-0.49%,3.19%
18,FCF Yield,59.26%,56.61%,1.42%,-9.48%,-12.36%,-17.91%,-6.21%,0.97%,-1.82%,-20.03%,-21.01%
19,Buyback Yield / Dilution,-3.91%,-4.00%,-3.82%,-11.15%,-26.48%,-43.95%,-26.60%,-,0.20%,-32.60%,-33.60%
20,Total Shareholder Return,-3.91%,-4.00%,-3.82%,-11.15%,-26.48%,-43.95%,-26.60%,-,0.20%,-32.60%,-33.60%
