,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,36,28,26,39,50,69,81,63,100,91,104,Upgrade
1,Market Cap Growth,-26.90%,-26.90%,-48.40%,-44.23%,-38.36%,9.47%,-18.67%,-30.15%,-3.85%,-58.54%,-36.91%,Upgrade
2,PE Ratio,-,-,-0.20,-,-0.88,-,-,-,-,5.93,-,Upgrade
3,PS Ratio,-0.54,1.30,1.69,-2.86,7.18,1.17,-,1.17,-,3.89,-,Upgrade
4,PB Ratio,0.07,0.06,0.05,0.08,0.08,0.11,0.11,0.10,0.15,0.14,0.17,Upgrade
5,P/FCF Ratio,3.90,-,1.84,-3.61,-,3.75,-,-,-,26.09,-,Upgrade
6,P/OCF Ratio,3.90,-,1.84,-3.98,-,3.75,-,-,-,26.09,-,Upgrade
7,Debt / Equity Ratio,0.23,0.23,0.20,0.21,0.20,0.22,0.22,0.24,0.24,0.25,0.21,Upgrade
8,Debt / FCF Ratio,15.15,-,7.20,-9.89,-,7.32,-,-,-,45.47,-,Upgrade
9,Earnings Yield,-93.31%,-117.96%,-504.78%,-269.10%,-113.84%,-131.62%,-,-1.18%,-,16.88%,-,Upgrade
10,Earnings Yield,-93.31%,-117.96%,-504.78%,-269.10%,-113.84%,-131.62%,-,-1.18%,-,16.88%,-,Upgrade
11,FCF Yield,25.62%,25.62%,54.32%,-27.72%,8.98%,26.70%,-,-20.80%,-,3.83%,-,Upgrade
12,Buyback Yield / Dilution,-,-,-,-,-98.95%,-,-0.53%,-,-0.40%,-,Upgrade,
13,Total Shareholder Return,-,-,-,-,-98.95%,-,-0.53%,-,-0.40%,-,Upgrade,
