,Fiscal Quarter,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+7 Quarters
,Period Ending,"Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011",+7 Quarters
0,Revenue,66642,66642,98675,98675,67566,71673,85823,135289,74617,60981,73608,75075,67553,102270,116152,50547,84755,115858,126261,79980,Upgrade
1,Revenue Growth (YoY),-1.37%,-7.02%,14.97%,-27.06%,-9.45%,17.53%,16.59%,80.20%,10.46%,-40.37%,-36.63%,48.53%,-20.30%,-11.73%,-8.01%,-36.80%,21.35%,27.93%,31.59%,-12.05%,Upgrade
2,Cost of Revenue,52202,52202,71492,71492,48084,51678,65439,114325,57762,49149,60543,62269,60331,85933,97961,41883,67553,89339,97220,62387,Upgrade
3,Gross Profit,14440,14440,27183,27183,19482,19995,20384,20964,16855,11832,13065,12806,7222,16337,18190,8664,17202,26519,29041,17594,Upgrade
4,"Selling, General & Admin",7954,7954,11127,11127,10461,10200,9199,8539,8731,4663,4122,5389,4240,5083,4580,5232,4678,5286,4602,5205,Upgrade
5,Operating Expenses,7954,7954,11127,11127,10461,10200,9199,8539,8731,4663,4122,5389,4240,5083,4580,5232,4678,5286,4602,5205,Upgrade
6,Operating Income,6485,6485,16056,16056,9021,9795,11185,12425,8124,7169,8944,7417,2983,11254,13610,3432,12524,21233,24439,12389,Upgrade
7,Interest Expense,-222.01,-222.01,-230.42,-230.42,-106.18,-182.8,-51.17,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Interest & Investment Income,162.81,162.81,312.52,312.52,178.73,131.28,173.21,2504,221.78,2990,455.39,483.62,592.43,487.73,544.06,1766,674.52,719.59,683.74,813.06,Upgrade
9,Other Non Operating Income (Expenses),569.02,569.02,25.84,25.84,-76.84,10.39,40.46,94.17,162.57,694.62,16.42,3.79,3.8,0.02,4.13,154.71,0.01,0.42,0.09,-0.06,Upgrade
10,EBT Excluding Unusual Items,6995,6995,16164,16164,9017,9754,11347,15023,8509,10854,9415,7905,3579,11742,14158,5352,13198,21953,25123,13202,Upgrade
11,Gain (Loss) on Sale of Investments,-,-,-1651,-1651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
