,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,527.49,618.17,729.25,874.58,857.51,796.01,860.38,1481,722.81,625.12,Upgrade
1,Revenue Growth (YoY),-27.67%,-29.32%,-14.96%,9.87%,-0.33%,-46.25%,19.03%,136.91%,13.70%,-7.89%,Upgrade
2,Cost of Revenue,428.41,472.27,593.01,676.96,726.54,677.41,718.77,1213,575.53,541.85,Upgrade
3,Gross Profit,99.09,145.9,136.24,197.62,130.96,118.6,141.61,267.58,147.28,83.27,Upgrade
4,"Selling, General & Admin",51.07,74.65,46.94,64.92,50.89,59.6,57.81,105.54,56.39,52.26,Upgrade
5,Other Operating Expenses,-0.59,8.29,-1.53,21.35,-0.11,-6.94,-1.32,9.37,-1.2,1.76,Upgrade
6,Operating Expenses,49.23,81.97,49.84,90.27,65.04,54.66,56.5,124.55,60.4,54.01,Upgrade
7,Operating Income,49.86,63.93,86.41,107.35,65.92,63.93,85.11,143.03,86.88,29.26,Upgrade
8,Interest Expense,-7.7,-13.19,-9.16,-8.82,-6.93,-7.38,-5.73,-8.11,-8.02,-8.06,Upgrade
9,Interest & Investment Income,2.45,1.84,0.66,0.74,1.11,1.43,0.7,3.08,1.69,2.26,Upgrade
10,Earnings From Equity Investments,-,-,-,-0.28,-5.83,-26.11,-0.92,-7.01,-2.05,-2.3,Upgrade
11,Currency Exchange Gain (Loss),4.65,5.91,4.01,4.09,0.37,-2.4,-10.41,-15.4,2.58,9.88,Upgrade
12,Other Non Operating Income (Expenses),-,4.2,-5.41,-6.13,-,-1.15,-,-8.05,-,-,Upgrade
13,EBT Excluding Unusual Items,49.26,62.7,76.5,96.95,54.64,28.32,68.76,107.55,81.08,31.03,Upgrade
14,Gain (Loss) on Sale of Investments,0.31,18.74,0.29,-0.31,0.32,3.52,-3.58,19.51,-19.72,-269.47,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-0.34,Upgrade
16,Other Unusual Items,-,-5.21,-,-4.93,-,-1.7,-,-7.83,-,-,Upgrade
17,Pretax Income,49.57,76.24,76.79,91.71,54.96,30.14,65.18,119.23,61.37,-238.78,Upgrade
18,Income Tax Expense,9.06,17.35,21.55,14.43,10.75,10.51,17.66,34.83,17.27,3.79,Upgrade
19,Earnings From Continuing Operations,40.5,58.89,55.24,77.28,44.21,19.63,47.52,84.41,44.09,-242.56,Upgrade
20,Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-0,Upgrade
21,Net Income to Company,40.5,58.89,55.24,77.28,44.21,19.63,47.52,84.41,44.09,-242.56,Upgrade
22,Minority Interest in Earnings,-4.37,-2.68,-3.02,-5.66,-3.77,1.65,0.56,-4.29,-1.77,-2.67,Upgrade
23,Net Income,36.13,56.2,52.22,71.61,40.44,21.28,48.07,80.12,42.33,-245.24,Upgrade
24,Net Income to Common,36.13,56.2,52.22,71.61,40.44,21.28,48.07,80.12,42.33,-245.24,Upgrade
25,Net Income Growth,-30.81%,-21.51%,29.12%,236.60%,-15.87%,-73.45%,13.58%,-,-,-,Upgrade
26,Shares Outstanding (Basic),473,473,473,473,473,473,473,473,473,473,Upgrade
27,Shares Outstanding (Diluted),473,473,473,473,473,473,473,473,473,473,Upgrade
28,EPS (Basic),0.08,0.12,0.11,0.15,0.09,0.04,0.10,0.17,0.09,-0.52,Upgrade
29,EPS (Diluted),0.08,0.12,0.11,0.15,0.09,0.04,0.10,0.17,0.09,-0.52,Upgrade
30,EPS Growth,-30.81%,-21.52%,29.12%,236.60%,-15.87%,-73.45%,13.58%,-,-,-,Upgrade
31,Free Cash Flow,53.38,84.92,149.26,166.37,54.74,-75.88,82.17,73.79,117.5,52.97,Upgrade
32,Free Cash Flow Per Share,0.11,0.18,0.32,0.35,0.12,-0.16,0.17,0.16,0.25,0.11,Upgrade
33,Dividend Per Share,0.030,0.020,0.020,0.020,0.020,-,0.020,0.040,0.030,-,Upgrade
34,Dividend Growth,50.00%,0%,0%,-,0%,-,-33.33%,-,-,-,Upgrade
35,Operating Margin,9.45%,10.34%,11.85%,12.27%,7.69%,8.03%,9.89%,9.66%,12.02%,4.68%,Upgrade
36,Profit Margin,6.85%,9.09%,7.16%,8.19%,4.72%,2.67%,5.59%,5.41%,5.86%,-39.23%,Upgrade
37,Free Cash Flow Margin,10.12%,13.74%,20.47%,19.02%,6.38%,-9.53%,9.55%,4.98%,16.26%,8.47%,Upgrade
38,EBITDA,57.51,72.8,95.1,117.43,75.59,74.14,95.43,153.55,97.09,39.53,Upgrade
39,D&A For EBITDA,7.66,8.86,8.7,10.08,9.68,10.21,10.32,10.52,10.21,10.27,Upgrade
40,EBIT,49.86,63.93,86.41,107.35,65.92,63.93,85.11,143.03,86.88,29.26,Upgrade
