,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q1 2014,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Mar '14 Mar 31, 2014","Mar '13 Mar 31, 2013"
0,Cash & Equivalents,126205,138463,120033,325522,-,-,-,64150,-,-,-,27021,-
1,Short-Term Investments,57300,105517,109067,14978,-,-,-,35934,-,-,-,3463,-
2,Trading Asset Securities,113.64,-,-,58176,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,183619,243980,229101,398676,-,-,-,100084,-,-,-,30484,13013
4,Cash Growth,-,-,-,298.34%,-,-,-,228.31%,-,-,-,-,-
5,Accounts Receivable,621526,637895,687005,590587,-,-,-,89170,-,-,-,44317,-
6,Other Receivables,65794,74033,29263,70943,-,-,-,19541,-,-,-,1907,-
7,Receivables,694819,711927,716269,665530,-,-,-,108710,-,-,-,46225,-
8,Inventory,523976,494898,612989,470278,-,-,-,4780,-,-,-,27237,-
9,Prepaid Expenses,1950,3331,754.49,554.17,-,-,-,26.21,-,-,-,270.57,-
10,Other Current Assets,260171,276655,284021,290524,-,-,-,10184,-,-,-,25523,-
11,Total Current Assets,1664535,1730792,1843134,1825563,-,-,-,223784,-,-,-,129740,-
12,"Property, Plant & Equipment",2553342,2666311,1930069,1988470,-,-,-,14960,-,-,-,21645,-
13,Long-Term Investments,43018,43018,232056,116397,-,-,-,453763,-,-,-,550,-
14,Goodwill,74134,21941,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,1893,2005,2117,21.87,-,-,-,103.12,-,-,-,21984,-
16,Long-Term Deferred Tax Assets,2462,2427,2427,2739,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,88744,85297,87628,91591,-,-,-,1593,-,-,-,17613,-
18,Total Assets,4428128,4551791,4097432,4024781,-,-,-,694203,-,-,-,191530,-
19,Accounts Payable,182341,251722,264922,288898,-,-,-,50542,-,-,-,4478,-
20,Accrued Expenses,111553,83518,86234,234540,-,-,-,1256,-,-,-,9515,-
21,Short-Term Debt,489242,813280,685319,181203,-,-,-,-,-,-,-,23089,-
22,Current Portion of Long-Term Debt,170179,-,-,143703,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,-,-,-,-,-,-,3188,-,-,-,-,-
24,Current Income Taxes Payable,13125,11940,6981,22563,-,-,-,4255,-,-,-,9961,-
25,Current Unearned Revenue,274731,161871,256566,310647,-,-,-,52988,-,-,-,-,-
26,Other Current Liabilities,27446,44260,67849,87161,-,-,-,52092,-,-,-,6955,-
27,Total Current Liabilities,1268616,1366591,1367870,1268715,-,-,-,164321,-,-,-,53997,-
28,Long-Term Debt,1410370,1434611,1055720,1076942,-,-,-,-,-,-,-,-,-
29,Long-Term Leases,13742,-,-,15733,-,-,-,90577,-,-,-,-,-
30,Long-Term Deferred Tax Liabilities,11500,11395,10862,4497,-,-,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,40935,36026,87212,118178,-,-,-,56.82,-,-,-,-,-
32,Total Liabilities,2745163,2848622,2521664,2484065,-,-,-,254955,-,-,-,53997,-
33,Common Stock,991343,991343,939974,939974,-,-,-,388491,-,-,-,124969,-
34,Additional Paid-In Capital,-,-,-,-,-,-,-,982.17,-,-,-,982.17,-
35,Retained Earnings,295900,380636,422789,391731,-,-,-,49775,-,-,-,11582,-
36,Comprehensive Income & Other,67692,16877,17039,17039,-,-,-,-,-,-,-,-,-
37,Total Common Equity,1354936,1388857,1379801,1348743,-,-,-,439248,-,-,-,137533,136377
38,Minority Interest,328030,314312,195967,191973,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,1682966,1703169,1575768,1540716,-,-,-,439248,-,-,-,137533,136377
40,Total Liabilities & Equity,4428128,4551791,4097432,4024781,-,-,-,694203,-,-,-,191530,-
41,Total Debt,2083533,2247891,1741039,1417580,-,-,-,93765,-,-,-,23089,36092
42,Net Cash (Debt),-1899915,-2003910,-1511939,-1018905,-,-,-,6319,-,-,-,7396,-23079
43,Net Cash Growth,-,-,-,-,-,-,-,-14.56%,-,-,-,-,-
44,Net Cash Per Share,-73317.75,-16954.20,-,-10838.29,-,-,-,-,-,-,-,-,-
45,Filing Date Shares Outstanding,25.91,118.2,-,94.01,-,85.43,85.43,-,-,-,-,-,-
46,Total Common Shares Outstanding,25.91,118.2,-,94.01,-,85.43,85.43,-,-,-,-,-,-
47,Working Capital,395919,364201,475264,556847,-,-,-,59463,-,-,-,75743,-
48,Book Value Per Share,52287.00,11750.50,-,14346.85,-,-,-,-,-,-,-,-,-
49,Tangible Book Value,1278909,1364910,1377684,1348721,-,-,-,439145,-,-,-,115550,136191
50,Tangible Book Value Per Share,49353.12,11547.91,-,14346.61,-,-,-,-,-,-,-,-,-
51,Buildings,1618473,-,-,1478619,-,-,-,-,-,-,-,-,-
52,Machinery,2130041,-,-,1261884,-,-,-,-,-,-,-,-,-
53,Construction In Progress,9445,87884,34463,21651,-,-,-,90.91,-,-,-,4078,-
