,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q1 2014,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Mar '14 Mar 31, 2014","Mar '13 Mar 31, 2013"
0,Revenue,331143,364433,332870,849517,239799,286967,266699,58895,42465,6070,5919,24013,27656
1,Revenue Growth (YoY),38.09%,26.99%,24.81%,1342.43%,464.70%,4627.71%,4405.83%,145.26%,53.54%,-,-,-,-
2,Cost of Revenue,274033,311336,286138,820211,206551,226214,205137,52826,38314,3197,3776,17160,17197
3,Gross Profit,57110,53097,46732,29306,33248,60753,61562,6069,4151,2873,2143,6853,10460
4,"Selling, General & Admin",30245,22969,19055,-73022,48144,16379,18547,2057,2080,12852,10294,3330,3590
5,Operating Expenses,30245,22969,19055,-73022,48144,16379,18547,2057,2080,12852,10294,3330,3590
6,Operating Income,26865,30128,27676,102328,-14896,44374,43016,4012,2071,-9979,-8151,3523,6869
7,Interest Expense,-62719,-53555,-28699,-86405,-25597,-25597,-25305,-3625,-2974,-3359,-3005,-647.72,-1138
8,Interest & Investment Income,-,6472,14121,-,41319,18980,11799,4628,5310,20584,25244,1461,2823
9,Earnings From Equity Investments,-,-993.56,-318.93,2510,-869.95,-1919,-18.91,-,-,-,-,-,-
10,Currency Exchange Gain (Loss),8020,-,-,4182,-,-,-,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),26924,30082,4664,-26885,59354,-3940,-4838,-253.56,-732.76,1997,-7698,-3438,-7231
12,EBT Excluding Unusual Items,-910.12,12133,17443,-4270,59309,31897,24653,4761,3674,9243,6390,897.88,1323
13,Gain (Loss) on Sale of Investments,-4723,-,-,19255,-,-,-,-,-,-,-,-,-
14,Pretax Income,-5633,12133,17443,14986,59309,31897,24653,4761,3674,9243,6390,897.88,1323
15,Income Tax Expense,4045,1376,1704,-950.62,10753,4445,3021,916.89,466.35,928.63,817.63,197.53,328.82
16,Earnings From Continuing Operations,-9678,10757,15739,15936,48556,27453,21632,3845,3207,8315,5573,700.35,994.53
17,Minority Interest in Earnings,-5581,-3522,738.34,-5822,-2053,-1517,-3735,-,-,-,-,-,-
18,Net Income,-15259,7235,16478,10114,46503,25935,17897,3845,3207,8315,5573,700.35,994.53
19,Net Income to Common,-15259,7235,16478,10114,46503,25935,17897,3845,3207,8315,5573,700.35,994.53
20,Net Income Growth,-,-72.10%,-7.93%,163.09%,1349.88%,211.92%,221.16%,448.94%,222.50%,-,-,-,-
21,Shares Outstanding (Basic),26,118,-,94,-,85,85,-,-,-,-,-,-
22,Shares Outstanding (Diluted),26,118,-,94,-,85,85,-,-,-,-,-,-
23,Shares Change (YoY),-,38.36%,-,-,-,-,-,-,-,-,-,-,-
24,EPS (Basic),-588.83,61.21,-,107.59,-,303.60,209.50,-,-,-,-,-,-
25,EPS (Diluted),-588.83,61.21,-,107.59,-,303.60,209.50,-,-,-,-,-,-
26,EPS Growth,-,-79.84%,-,-,-,-,-,-,-,-,-,-,-
27,Free Cash Flow,153366,-455492,-260210,180008,-46487,21786,21786,55316,55316,67452,67452,10342,6832
28,Free Cash Flow Per Share,5918.40,-3853.72,-,1914.79,-,255.02,255.02,-,-,-,-,-,-
29,Gross Margin,17.25%,14.57%,14.04%,3.45%,13.86%,21.17%,23.08%,10.30%,9.77%,47.34%,36.21%,28.54%,37.82%
30,Operating Margin,8.11%,8.27%,8.31%,12.05%,-6.21%,15.46%,16.13%,6.81%,4.88%,-164.39%,-137.71%,14.67%,24.84%
31,Profit Margin,-4.61%,1.99%,4.95%,1.19%,19.39%,9.04%,6.71%,6.53%,7.55%,136.98%,94.15%,2.92%,3.60%
32,Free Cash Flow Margin,46.31%,-124.99%,-78.17%,21.19%,-19.39%,7.59%,8.17%,93.92%,130.26%,1111.26%,1139.59%,43.07%,24.70%
33,EBITDA,99833,101818,-,195335,32267,85453,84095,5256,3315,-8767,-6939,-,-
34,EBITDA Margin,30.15%,27.94%,-,22.99%,13.46%,29.78%,31.53%,8.92%,7.81%,-144.43%,-117.24%,-,-
35,D&A For EBITDA,72968,71691,-,93008,47164,41079,41079,1245,1245,1212,1212,-,-
36,EBIT,26865,30128,27676,102328,-14896,44374,43016,4012,2071,-9979,-8151,3523,6869
37,EBIT Margin,8.11%,8.27%,8.31%,12.05%,-6.21%,15.46%,16.13%,6.81%,4.88%,-164.39%,-137.71%,14.67%,24.84%
38,Effective Tax Rate,-,11.34%,9.77%,-,18.13%,13.93%,12.25%,19.26%,12.69%,10.05%,12.80%,22.00%,24.85%
39,Revenue as Reported,331143,364433,332870,849517,239799,286967,266699,58895,42465,6070,5919,24013,27656
