,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q1 2014,Q1 2013
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Mar '14 Mar 31, 2014","Mar '13 Mar 31, 2013"
0,Market Capitalization,773248,793075,862469,1033971,855376,864776,808377,675087,248634,194246,192400,229400,127469,51237
1,Market Cap Growth,1455.21%,-8.29%,6.69%,53.16%,244.03%,345.20%,320.15%,194.28%,95.06%,279.11%,-,-,-,-
2,Enterprise Value,3001192,3111297,2570374,1027652,849057,858457,802058,668768,241239,186850,185004,222004,150547,74316
3,Last Close Price,7800.00,8000.00,8700.00,10476.19,8666.67,8761.90,8190.48,6839.83,4308.93,3366.35,3334.29,3975.50,6143.93,2469.62
4,PE Ratio,22.03,-,10.74,10.44,8.52,9.18,15.89,20.29,11.87,10.92,12.35,31.57,75.21,51.52
5,PS Ratio,0.53,0.42,0.48,0.60,0.52,1.01,1.23,1.80,2.19,2.48,3.02,3.98,2.47,1.85
6,PB Ratio,0.15,0.47,0.51,0.66,0.56,-,-,-,0.57,-,-,-,0.93,0.38
7,P/TBV Ratio,0.62,0.62,0.63,0.75,0.63,-,-,-,0.57,-,-,-,1.10,0.38
8,P/FCF Ratio,-,-2.07,-,-,4.83,-,5.24,3.38,1.01,0.97,1.27,2.71,7.42,7.50
9,P/OCF Ratio,-,2.39,5.74,-,2.09,-,2.05,2.11,1.01,0.97,1.26,2.71,7.40,7.45
10,EV/Sales Ratio,2.15,1.66,1.44,0.60,0.52,1.01,1.22,1.79,2.13,2.38,2.91,3.85,2.91,2.69
11,EV/EBITDA Ratio,7.69,7.84,7.80,-,2.14,4.15,4.50,7.97,-33.81,-15.08,-,-,-,-
12,EV/EBIT Ratio,29.33,16.64,17.70,6.44,4.86,-,8.58,17.10,-20.02,-14.90,-,-,14.49,10.82
13,EV/FCF Ratio,-3.65,-8.14,-,-,4.79,-,5.20,3.35,0.98,0.93,1.22,2.62,8.77,10.88
14,Debt / Equity Ratio,1.24,1.24,1.32,1.10,0.92,-,-,-,0.21,-,-,-,0.17,0.26
15,Debt / EBITDA Ratio,5.34,5.22,5.52,-,1.81,-,-,-,4.46,-,-,-,-,-
16,Debt / FCF Ratio,-,-5.45,-,-,8.00,-,-,-,0.38,-,-,-,1.34,5.28
17,Asset Turnover,0.30,0.34,-,-,-,-,-,-,-,-,-,-,-,
18,Inventory Turnover,2.42,2.15,2.25,-,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,0.69,0.69,0.70,0.69,0.84,-,-,-,1.27,-,-,-,1.42,-
20,Current Ratio,1.31,1.31,1.27,1.35,1.44,-,-,-,1.36,-,-,-,2.40,-
21,Return on Equity (ROE),-2.29%,2.62%,-,-,-,-,-,-,-,-,-,-,-,
22,Return on Assets (ROA),1.50%,1.74%,-,-,-,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.74%,2.07%,-,-,-,-,-,-,-,-,-,-,-,
24,Return on Capital Employed (ROCE),3.24%,5.92%,4.56%,5.84%,6.34%,-,-,-,-2.27%,-,-,-,7.56%,-
25,Earnings Yield,4.35%,2.34%,9.31%,9.58%,11.74%,10.89%,6.29%,4.93%,8.42%,9.16%,8.10%,3.17%,1.33%,1.94%
26,FCF Yield,-106.38%,-48.21%,-67.50%,-10.15%,20.70%,6.06%,19.08%,29.61%,98.75%,103.25%,79.04%,36.89%,13.47%,13.33%
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,20.66%
28,Buyback Yield / Dilution,-,-38.36%,-,-,-,-,-,-,-,-,-,-,-,
29,Total Shareholder Return,-,-38.36%,-,-,-,-,-,-,-,-,-,-,-,
