,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1118,1052,1093,1344,1264,1087,912.58,1420,35.08,44.38,-,143.17,-,29.81,29.81
1,Short-Term Investments,-,-,45.14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,140.18,180.18,-,106.33,296.42,516.88,50.3,68.6,84.31,-,58.74,-,234.33,234.33
3,Cash & Short-Term Investments,1118,1118,1237,1273,1344,1370,1383,1429,1470,103.68,128.69,201.91,201.91,264.14,264.14,264.14
4,Cash Growth,-16.82%,-18.42%,-10.53%,-10.95%,-8.60%,1221.30%,974.72%,607.96%,627.97%,-60.75%,-51.28%,-23.56%,-,-,-,-
5,Accounts Receivable,-,150.2,140.38,128.67,124.3,135.63,146.79,167.36,168.76,115.18,112.82,-,109.26,-,54.56,54.56
6,Other Receivables,-,0.1,18.91,0.15,18.09,0.13,7.13,0.2,10.98,0.71,0.13,-,0.12,-,2.46,2.46
7,Receivables,-,150.3,159.29,128.82,142.39,135.77,153.92,167.56,179.74,115.9,112.96,-,109.39,-,57.02,57.02
8,Inventory,-,136.3,147.82,148.02,140.82,144.23,130.5,115.2,95.92,89.39,77.79,-,56.4,-,43.23,43.23
9,Prepaid Expenses,-,-,-,-,0.61,-,-,-,0.13,-,-,-,-,-,-,-
10,Other Current Assets,-,26.24,4.58,74.58,3.52,29.61,21.91,23.92,2.87,12.65,11.06,-,4.02,-,3.9,3.9
11,Total Current Assets,-,1430,1549,1624,1631,1679,1689,1736,1749,321.61,330.5,-,371.71,-,368.29,368.29
12,"Property, Plant & Equipment",-,574.8,567.4,553.94,553.64,544.77,525.94,524.91,522.18,515.59,424.42,-,289.19,-,202.4,202.4
13,Long-Term Investments,-,118.63,28.98,29.45,30,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,14.91,15.59,16.27,16.96,14.41,14.83,14.15,14.54,14.84,14.86,-,13.31,-,12.39,12.39
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,12.56,5.58,-,4.25,-,2.56,2.56
16,Long-Term Deferred Charges,-,0.34,0.39,0.47,0.53,0.6,0.66,0.86,1.09,-,2.35,-,3.68,-,4.17,4.17
17,Other Long-Term Assets,-,14.63,19.73,6.94,4.71,6.25,18.33,24.41,9.35,7.39,18.68,-,54.7,-,14.28,14.28
18,Total Assets,-,2154,2181,2231,2237,2246,2249,2300,2296,872,796.39,-,736.85,-,604.09,604.09
19,Accounts Payable,-,37.92,51.45,77.36,84.28,83.23,87.86,98.63,137.48,104.85,68.12,-,75.41,-,34.49,34.49
20,Accrued Expenses,-,6.17,6.89,7.3,7.28,8.83,9.23,7.21,16.27,12.91,12.07,-,11.89,-,6.9,6.9
21,Current Portion of Leases,-,0.93,1.04,0.93,0.91,0.9,0.87,0.86,0.83,0.8,0.77,-,1.11,-,1.04,1.04
22,Current Income Taxes Payable,-,0.78,-,1.4,-,0.94,-,1.7,-,-,9.9,-,7.8,-,-,-
23,Current Unearned Revenue,-,1.48,1.54,2.19,2.1,3.61,4.99,7.9,7.58,7.8,8.08,-,3.48,-,0.29,0.29
24,Other Current Liabilities,-,7.98,2.98,1.09,0.7,4.17,2.68,9.42,2.78,9.52,9.02,-,6.38,-,0.34,0.34
25,Total Current Liabilities,-,55.26,63.9,90.27,95.27,101.68,105.63,125.73,164.94,135.89,107.96,-,106.06,-,43.05,43.05
26,Long-Term Leases,-,3.58,3.82,3.83,0.98,0.97,1.39,1.38,1.89,1.89,2.29,-,2.72,-,3.1,3.1
27,Long-Term Unearned Revenue,-,17.35,17.59,16.35,15.48,13.72,13.89,14.05,14.22,14.38,12.28,-,6.29,-,4.08,4.08
28,Long-Term Deferred Tax Liabilities,-,1.24,3.01,4.28,4.52,6.16,7.42,7.15,5.87,18.73,0.2,-,0.11,-,0.35,0.35
29,Other Long-Term Liabilities,-,0.73,0.86,3.83,3.75,4.49,5.45,6.1,6.3,5.94,5.61,-,7.19,-,5.94,5.94
30,Total Liabilities,-,78.16,89.18,118.56,119.99,127.02,133.78,154.41,193.21,176.82,128.34,-,122.37,-,56.51,56.51
31,Common Stock,-,85.46,85.46,85.46,84.84,84.84,84.84,60.6,60,45,45,-,45,-,45,45
32,Additional Paid-In Capital,-,1867,1867,1867,1845,1844,1843,1866,1835,469.28,467.02,-,462.5,-,458.41,458.41
33,Retained Earnings,-,178.32,189.62,197.91,187.37,189.34,187.29,219.13,207.29,180.9,156.03,-,106.98,-,44.17,44.17
34,Treasury Stock,-,-55.42,-49.98,-37.24,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-0.05,-0.02,-0.03,-0.03,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,2076,2076,2092,2113,2117,2118,2115,2146,2102,695.18,668.05,614.48,614.48,547.58,547.58,547.58
37,Total Liabilities & Equity,-,2154,2181,2231,2237,2246,2249,2300,2296,872,796.39,-,736.85,-,604.09,604.09
38,Total Debt,4.51,4.51,4.86,4.76,1.89,1.87,2.26,2.24,2.72,2.69,3.06,3.82,3.82,4.14,4.14,4.14
39,Net Cash (Debt),1113,1113,1232,1268,1342,1368,1381,1427,1467,100.99,125.63,198.09,198.09,260,260,260
40,Net Cash Growth,-17.04%,-18.64%,-10.74%,-11.14%,-8.56%,1254.65%,999.08%,620.49%,640.65%,-61.16%,-51.68%,-23.81%,-,-,-,-
41,Net Cash Per Share,6.00,13.09,15.88,14.45,15.81,16.12,16.28,17.22,23.44,1.59,2.01,3.13,3.16,4.10,4.13,4.13
42,Filing Date Shares Outstanding,185.47,85.01,85.06,85.06,84.84,84.84,84.84,84.84,84.84,63,63,63.39,63,63.41,63,63
43,Total Common Shares Outstanding,85.01,85.01,85.06,85.06,84.84,84.84,84.84,84.84,84,63,63,63.39,63,63.41,63,63
