,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,73.99,59.29,58.83,60.06,44.58,35.02,23.31,34.85,88.2,71.16,63.61,58.68,78.28,66.31,43.76,43.76
1,Other Revenue,-,-1.27,1.27,-,6.64,-3.15,3.15,-,1.26,-0.52,0.52,-,-,-,-,-
2,Revenue,73.99,58.02,60.1,60.06,51.21,31.87,26.47,34.85,89.46,70.64,64.13,58.68,78.28,66.31,43.76,43.76
3,Revenue Growth (YoY),44.48%,82.04%,127.07%,72.33%,-42.75%,-54.88%,-58.73%,-40.60%,14.28%,6.53%,46.55%,34.10%,-,-,-,-
4,Cost of Revenue,-125.27,41.29,44.84,39.14,45.12,17.97,18.88,19.95,36.68,27.67,25.02,19.54,23.83,20.47,18.29,18.29
5,Gross Profit,199.27,16.72,15.26,20.93,6.09,13.9,7.59,14.9,52.78,42.98,39.11,39.14,54.45,45.84,25.47,25.47
6,"Selling, General & Admin",-25.97,10.62,7.34,8.01,8.54,8.14,7.99,7.75,15.52,9.48,8.58,8.88,10.11,8.63,5.1,5.1
7,Research & Development,-36.02,13.97,13.1,8.95,8.32,9.43,6.67,6.53,9.49,6.32,5.63,5.66,5.54,4.87,4.04,4.04
8,Other Operating Expenses,265.07,0.65,0.71,0.69,0.75,0.02,-4.96,-5.99,8.08,-1.6,-3.84,-0.77,0.42,0.61,-0.03,-0.03
9,Operating Expenses,203.68,26.14,20.38,16.91,22.06,16.97,8.98,8.27,36.07,14.37,10.92,13.03,17.22,15.63,8.85,8.85
10,Operating Income,-4.41,-9.42,-5.13,4.01,-15.97,-3.06,-1.39,6.63,16.71,28.61,28.19,26.11,37.23,30.21,16.62,16.62
11,Interest Expense,-15.75,-0.1,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.04,-0.03,-0.04,-0.04
12,Interest & Investment Income,0.14,4.89,5.41,5.45,7.25,7.22,7.63,4.62,0.27,0.36,0.56,0.52,2.06,0.42,1.81,1.81
13,Currency Exchange Gain (Loss),-,-0.06,0.06,-,-0.04,-0.01,0.01,-,0.06,-0.03,0.03,-,-,-,-,-
14,Other Non Operating Income (Expenses),-0.41,-0.44,0.42,0.05,-0.04,-2.99,2.99,-0.01,-0.11,0.08,-0.04,-0.02,0.01,-0.01,-0.03,-0.03
15,EBT Excluding Unusual Items,-20.43,-5.13,0.75,9.5,-8.83,1.13,9.22,11.22,16.9,28.98,28.71,26.58,39.26,30.59,18.35,18.35
16,Gain (Loss) on Sale of Investments,-0.73,0.73,-0.28,0.28,0.27,3.79,-1.79,1.79,-0.3,0.29,0.3,0.34,-0.46,1.2,0.16,0.16
17,Gain (Loss) on Sale of Assets,-0.01,0,-0.03,0.03,-0,0,0.02,-,-0,0,-0.17,-,-,-0.16,-,-
18,Asset Writedown,12.76,-12.76,-0.66,0.66,3.65,-3.65,-0.1,0.1,1.1,-1.1,0.09,-0.09,-,-,-,-
19,Other Unusual Items,-0.78,2.25,-1.75,0.27,1.32,-0.46,0.46,-,8.4,0.11,-0.11,-,1.58,0.16,-0.05,-0.05
20,Pretax Income,-9.18,-14.91,-1.97,10.74,-3.59,0.81,7.82,13.11,26.1,28.29,28.81,26.83,40.39,31.79,18.46,18.46
21,Income Tax Expense,-3.6,-3.61,-2.19,0.21,-1.62,-1.24,0.27,1.27,-0.3,3.42,3.31,3.29,5.21,4.16,2.22,2.22
22,Net Income,-5.58,-11.3,0.22,10.53,-1.97,2.06,7.55,11.85,26.39,24.87,25.51,23.54,35.18,27.63,16.24,16.24
23,Net Income to Common,-5.58,-11.3,0.22,10.53,-1.97,2.06,7.55,11.85,26.39,24.87,25.51,23.54,35.18,27.63,16.24,16.24
24,Net Income Growth,-,-,-97.13%,-11.06%,-,-91.73%,-70.42%,-49.68%,-24.97%,-9.97%,57.06%,44.96%,-,-,-,-
25,Shares Outstanding (Basic),185,85,78,88,85,85,85,83,63,63,63,63,63,63,63,63
26,Shares Outstanding (Diluted),185,85,78,88,85,85,85,83,63,63,63,63,63,63,63,63
27,Shares Change (YoY),118.61%,0.20%,-8.52%,5.91%,35.55%,33.97%,35.51%,30.77%,-0.18%,-0.13%,-0.62%,0.61%,-,-,-,-
28,EPS (Basic),-0.03,-0.13,0.00,0.12,-0.02,0.02,0.09,0.14,0.42,0.39,0.41,0.37,0.56,0.44,0.26,0.26
29,EPS (Diluted),-0.03,-0.13,0.00,0.12,-0.02,0.02,0.09,0.14,0.42,0.39,0.41,0.37,0.56,0.44,0.26,0.26
30,EPS Growth,-,-,-96.87%,-16.03%,-,-93.83%,-78.17%,-61.52%,-24.43%,-9.85%,58.44%,44.43%,-,-,-,-
31,Free Cash Flow,-,-29.62,-63.31,0.27,-7.93,-14.47,-10.8,-51.42,-25.67,-9.4,-19.97,-16.49,-20.39,-35.13,-7.54,-7.54
32,Free Cash Flow Per Share,-,-0.35,-0.82,0.00,-0.09,-0.17,-0.13,-0.62,-0.41,-0.15,-0.32,-0.26,-0.33,-0.55,-0.12,-0.12
33,Dividend Per Share,-,0.100,-,-,0.100,-,-,-,0.464,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-78.46%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,269.30%,28.83%,25.39%,34.84%,11.89%,43.62%,28.67%,42.75%,59.00%,60.84%,60.99%,66.71%,69.56%,69.13%,58.20%,58.20%
36,Operating Margin,-5.96%,-16.23%,-8.53%,6.68%,-31.19%,-9.62%,-5.27%,19.03%,18.68%,40.50%,43.97%,44.50%,47.56%,45.56%,37.97%,37.97%
37,Profit Margin,-7.55%,-19.48%,0.36%,17.54%,-3.84%,6.45%,28.51%,33.99%,29.50%,35.21%,39.78%,40.12%,44.94%,41.66%,37.12%,37.12%
38,Free Cash Flow Margin,-,-51.06%,-105.35%,0.45%,-15.49%,-45.41%,-40.82%,-147.54%,-28.69%,-13.31%,-31.15%,-28.11%,-26.04%,-52.97%,-17.23%,-17.23%
39,EBITDA,5.48,0.47,5.83,13.9,-6.08,3.77,8.45,13.46,25.57,34.25,33.92,31.23,42.38,35.58,21.59,21.59
40,EBITDA Margin,7.40%,0.81%,9.70%,23.15%,-11.88%,11.82%,31.93%,38.63%,28.58%,48.48%,52.89%,53.22%,54.13%,53.66%,49.33%,49.33%
41,D&A For EBITDA,9.89,9.89,10.96,9.89,9.89,6.83,9.84,6.83,8.86,5.64,5.72,5.12,5.15,5.37,4.97,4.97
42,EBIT,-4.41,-9.42,-5.13,4.01,-15.97,-3.06,-1.39,6.63,16.71,28.61,28.19,26.11,37.23,30.21,16.62,16.62
43,EBIT Margin,-5.96%,-16.23%,-8.53%,6.68%,-31.19%,-9.62%,-5.27%,19.03%,18.68%,40.50%,43.97%,44.50%,47.56%,45.56%,37.97%,37.97%
44,Effective Tax Rate,-,-,-,1.94%,-,-,3.49%,9.65%,-,12.08%,11.47%,12.25%,12.90%,13.10%,12.04%,12.04%
45,Revenue as Reported,-,58.02,60.1,60.06,144.4,31.87,26.47,34.85,282.91,-,-,-,232.11,-,43.76,43.76
