,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10795,11408,10456,11142,10683,12639,18686,24179,9612,7172,-,-,-,-,-,-,-
1,Market Cap Growth,-9.74%,-9.74%,-44.05%,-53.92%,11.14%,76.24%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9682,10295,9223,9874,9315,11271,17305,22752,9511,7071,-,-,-,-,-,-,-
3,Last Close Price,126.99,134.09,122.82,130.89,124.81,148.76,219.92,284.58,112.85,85.04,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,1027.85,587.95,-,390.58,342.19,108.46,71.49,-,-,-,-,-,-,-
5,Forward PE,69.97,68.47,73.60,55.50,76.92,74.68,128.10,137.69,61.42,50.59,-,-,-,-,-,-,-
6,PS Ratio,44.13,45.24,45.58,54.82,62.98,87.53,102.30,109.20,37.10,25.35,-,-,-,-,-,-,-
7,PB Ratio,5.20,5.50,5.04,5.33,5.06,5.97,8.82,11.43,4.48,3.41,-,-,-,-,-,-,-
8,P/TBV Ratio,5.54,5.54,5.07,5.37,5.10,6.02,8.88,11.51,4.51,3.43,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-324.32,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,356.45,-726.40,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,38.40,40.83,40.21,48.58,54.92,78.05,94.74,102.75,36.71,24.99,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,418.19,400.83,653.06,566.90,464.89,-,337.67,278.38,88.73,56.58,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-567.30,-,-,-,118.67,70.97,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-282.79,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
16,Debt / EBITDA Ratio,0.18,0.21,2.38,0.19,0.09,-,0.12,0.06,0.04,0.02,0.02,0.02,0.03,0.02,0.03,0.05,0.05
17,Debt / FCF Ratio,-,-,-,-,-0.14,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.11,0.11,0.11,0.09,0.06,0.05,0.06,0.23,0.34,-,-,-,-,0.29,-,
19,Inventory Turnover,-,-,1.16,1.21,1.08,1.27,0.52,0.61,0.76,1.58,1.32,-,-,-,-,1.69,-
20,Quick Ratio,-,-,22.94,21.86,15.53,15.60,14.81,14.55,12.70,10.00,1.62,2.24,-,2.94,-,7.46,7.46
21,Current Ratio,-,-,25.89,24.24,18.00,17.12,16.52,15.99,13.81,10.60,2.37,3.06,-,3.50,-,8.56,8.56
22,Return on Equity (ROE),-1.08%,-2.17%,0.04%,1.99%,-0.37%,0.39%,1.42%,2.23%,7.55%,14.60%,15.91%,15.32%,24.22%,20.18%,11.86%,-,
23,Return on Assets (ROA),-,-1.09%,-0.58%,0.45%,-1.78%,-0.34%,-0.15%,0.72%,2.64%,8.57%,-,-,-,-,6.88%,-,
24,Return on Capital (ROIC),-0.53%,-1.13%,-0.61%,0.47%,-1.88%,-0.36%,-0.16%,0.78%,2.98%,10.45%,10.93%,10.56%,15.91%,13.69%,7.53%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-0.77%,-,-,-,3.69%,4.68%,16.32%,17.69%,-,15.96%,-,5.92%,2.96%
26,Earnings Yield,-0.06%,-0.05%,-0.02%,0.10%,0.17%,0.15%,0.26%,0.29%,0.92%,1.40%,-,-,-,-,-,-,-
27,FCF Yield,-,-0.96%,-0.77%,-0.31%,-0.67%,-0.55%,-0.40%,-1.11%,-1.00%,-,-,-,-,-,-,-,
28,Dividend Yield,0.08%,-,0.16%,-,-,0.07%,-,-,-,0.55%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,3935.81%,-,-,-,522.85%,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-21.46%,-118.61%,-0.20%,8.52%,-5.91%,-35.55%,-33.97%,-35.51%,-30.77%,0.18%,0.13%,0.62%,-0.61%,-,-,-,-
31,Total Shareholder Return,-21.38%,-118.61%,-0.04%,8.52%,-5.91%,-35.48%,-33.97%,-35.51%,-30.77%,0.73%,0.13%,0.62%,-0.61%,-,-,-,-
