,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,425,178,315,500,480,680,1030,130,92,119,-
1,Market Cap Growth,-64.40%,-64.40%,-34.38%,-26.47%,-53.40%,423.08%,1019.57%,9.24%,-,-,-
2,Enterprise Value,438,234,334,539,463,714,960,155,48,233,-
3,Last Close Price,0.42,0.18,0.32,0.50,0.48,0.68,1.03,0.13,0.09,0.12,-
4,PE Ratio,33.52,14.04,48.54,65.68,39.74,30.70,34.19,15.34,-,5.98,-
5,PS Ratio,1.54,0.65,1.22,2.11,1.87,2.37,3.05,0.45,0.43,0.51,-
6,PB Ratio,1.23,0.51,0.91,1.49,1.38,1.92,2.83,0.38,0.29,0.39,-
7,P/TBV Ratio,0.60,0.60,1.08,1.76,1.64,2.09,2.92,0.39,0.30,0.41,-
8,P/FCF Ratio,48.69,20.39,-,-19.72,-,-20.53,-,2.20,4.13,31.01,-
9,P/OCF Ratio,10.72,10.72,-,-143.97,-,-45.51,-,1.93,1.95,5.40,-
10,EV/Sales Ratio,1.59,0.85,1.29,2.27,1.80,2.49,2.84,0.54,0.22,0.99,-
11,EV/EBITDA Ratio,18.20,9.76,23.67,39.29,22.93,20.64,21.30,6.30,3.77,7.37,-
12,EV/EBIT Ratio,24.25,12.94,36.52,57.56,31.02,24.26,24.31,8.31,-,8.77,-
13,EV/FCF Ratio,50.20,26.78,-,-21.25,-,-21.54,-,2.63,2.16,60.60,-
14,Debt / Equity Ratio,0.28,0.28,0.29,0.42,0.26,0.25,0.27,0.26,0.27,0.31,0.69
15,Debt / FCF Ratio,10.96,10.96,-,-5.54,-,-2.66,-,1.48,3.88,24.72,-
16,Return on Capital Employed (ROCE),5.22%,5.22%,2.65%,2.79%,4.30%,8.28%,10.85%,5.46%,-,8.66%,17.50%
17,Earnings Yield,2.98%,7.12%,2.06%,1.52%,2.52%,3.26%,2.92%,6.52%,0.96%,16.71%,-
18,FCF Yield,2.05%,4.90%,-4.32%,-5.07%,2.26%,-4.87%,-2.67%,45.41%,24.21%,3.23%,-
19,Buyback Yield / Dilution,-,-,-,-,-,0.22%,-2.32%,-33.63%,-30.30%,-,
20,Total Shareholder Return,-,-,-,-,-,0.22%,-2.32%,-33.63%,-30.30%,-,
