,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,438.8,613.05,1019,1271,799.14,2980,4683,3824,3878,2862,Upgrade
1,Revenue Growth (YoY),-56.95%,-51.76%,27.55%,-57.35%,-82.94%,-22.08%,20.76%,33.63%,3.99%,35.04%,Upgrade
2,Cost of Revenue,539.11,1194,1450,1915,1529,2496,3560,2838,2696,1912,Upgrade
3,Gross Profit,-100.31,-580.94,-431.07,-644.45,-729.89,484.11,1123,986.31,1182,950.08,Upgrade
4,"Selling, General & Admin",138.02,497.48,165.63,359.16,236.68,377.31,314.14,411.03,317.42,445.01,Upgrade
5,Other Operating Expenses,-4.84,-2.32,0.08,-15.63,-3.18,31.6,-1,-35.37,3.44,-22.38,Upgrade
6,Operating Expenses,127.5,518.28,164.39,231.08,462.62,440.56,323.23,387.05,335.43,435.57,Upgrade
7,Operating Income,-227.81,-1099,-595.46,-875.53,-1193,43.55,799.81,599.26,846.29,514.51,Upgrade
8,Interest Expense,-613.33,-854.65,-300.26,-504.43,-279.8,-12.67,-10.14,-43.83,-1.28,-7.77,Upgrade
9,Interest & Investment Income,0.47,1.46,2.08,4.81,13.36,24.68,18.01,-,59.99,13.07,Upgrade
10,Earnings From Equity Investments,-,-,-,-0.9,-3.73,-1.66,2.08,1.69,-4.87,-12.89,Upgrade
11,Currency Exchange Gain (Loss),-59.99,87.9,-155.9,-151.62,-172.04,54.64,43.21,316.34,-70.17,-23.84,Upgrade
12,Other Non Operating Income (Expenses),-,-310.23,-,-117.03,-,-1.34,-,-,-,2.13,Upgrade
13,EBT Excluding Unusual Items,-900.66,-2175,-1050,-1645,-1635,107.2,852.96,873.47,829.96,485.2,Upgrade
14,Gain (Loss) on Sale of Investments,-,-34.5,-,-269.38,-,-271.38,-,163.88,11.1,4.39,Upgrade
15,Gain (Loss) on Sale of Assets,-,-11.41,-7.73,-0,-77.36,-,-,-,-,-,Upgrade
16,Asset Writedown,-,-279.5,-16,-69.02,-137.1,-20.75,15.41,10.45,31,319.96,Upgrade
17,Other Unusual Items,-,-,-,-12.09,-,-,-,-,-,-,Upgrade
18,Pretax Income,-900.66,-2500,-1073,-1995,-1849,-184.93,868.37,1048,872.06,809.55,Upgrade
19,Income Tax Expense,9.34,328.08,-47.47,-31.58,-218.11,170.54,403.44,476.99,439.87,328.84,Upgrade
20,Earnings From Continuing Operations,-910,-2828,-1026,-1964,-1631,-355.47,464.94,570.82,432.2,480.72,Upgrade
21,Minority Interest in Earnings,57.86,330.71,33.93,94.65,8.76,-126.37,-267.31,111.42,-163.53,-14.93,Upgrade
22,Net Income,-852.15,-2498,-991.87,-1869,-1622,-481.84,197.63,682.23,268.67,465.78,Upgrade
23,Net Income to Common,-852.15,-2498,-991.87,-1869,-1622,-481.84,197.63,682.23,268.67,465.78,Upgrade
24,Net Income Growth,-,-,-,-,-,-,-26.44%,46.47%,-17.71%,42.46%,Upgrade
25,Shares Outstanding (Basic),8446,8446,8446,8794,8099,8357,7841,7821,7769,7621,Upgrade
26,Shares Outstanding (Diluted),8446,8446,8446,8794,8099,8357,7892,7872,7892,7675,Upgrade
27,Shares Change (YoY),-,-3.95%,4.29%,5.22%,2.63%,6.16%,-0.00%,2.57%,-1.92%,-7.33%,Upgrade
28,EPS (Basic),-0.10,-0.30,-0.12,-0.21,-0.20,-0.06,0.03,0.09,0.03,0.06,Upgrade
29,EPS (Diluted),-0.10,-0.30,-0.12,-0.21,-0.20,-0.06,0.03,0.09,0.03,0.06,Upgrade
30,EPS Growth,-,-,-,-,-,-,-26.47%,44.01%,-17.07%,54.22%,Upgrade
31,Free Cash Flow,-14.14,577.75,-312.9,-1037,-1433,-2567,1073,-522.75,-502.85,-383.18,Upgrade
32,Free Cash Flow Per Share,-0.00,0.07,-0.04,-0.12,-0.18,-0.31,0.14,-0.07,-0.06,-0.05,Upgrade
33,Operating Margin,-51.92%,-179.30%,-58.42%,-68.89%,-149.22%,1.46%,17.08%,15.67%,21.82%,17.98%,Upgrade
34,Profit Margin,-194.20%,-407.39%,-97.31%,-147.06%,-203.01%,-16.17%,4.22%,17.84%,6.93%,16.28%,Upgrade
35,Free Cash Flow Margin,-3.22%,94.24%,-30.70%,-81.60%,-179.30%,-86.17%,22.91%,-13.67%,-12.97%,-13.39%,Upgrade
36,EBITDA,-225.76,-1097,-591.18,-866.75,-1184,52.72,808.46,607.95,856.31,524.37,Upgrade
37,D&A For EBITDA,2.05,2.3,4.28,8.78,8.49,9.17,8.65,8.69,10.02,9.86,Upgrade
38,EBIT,-227.81,-1099,-595.46,-875.53,-1193,43.55,799.81,599.26,846.29,514.51,Upgrade
39,Advertising Expenses,25.85,-,69.5,-,12.31,-,98.86,-,103.88,-,Upgrade
